surface,id1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,grass_sample_size1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,hard_sample_size1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,clay_sample_size1,carpet_pts_served1,carpet_service_pts_won1,carpet_pts_received1,carpet_receiving_pts_won1,carpet_aces1,carpet_sample_size1,co2_pts_served1,co2_service_pts_won1,co2_pts_received1,co2_receiving_pts_won1,co2_aces1,co2_sample_size1,co2nsf_pts_served1,co2nsf_service_pts_won1,co2nsf_pts_received1,co2nsf_receiving_pts_won1,co2nsf_aces1,co2nsf_sample_size1,id2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,grass_sample_size2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,hard_sample_size2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,clay_sample_size2,carpet_pts_served2,carpet_service_pts_won2,carpet_pts_received2,carpet_receiving_pts_won2,carpet_aces2,carpet_sample_size2,co2_pts_served2,co2_service_pts_won2,co2_pts_received2,co2_receiving_pts_won2,co2_aces2,co2_sample_size2,co2nsf_pts_served2,co2nsf_service_pts_won2,co2nsf_pts_received2,co2nsf_receiving_pts_won2,co2nsf_aces2,co2nsf_sample_size2
Hard,201492,91,57,113,42,2,1,1785,990,1869,849,49,26,637,345,602,294,13,11,105,59,89,42,1,1,1124,613,1188,540,26,16,1384,759,1448,648,30,21,202469,213,134,219,97,14,3,971,547,920,393,22,12,414,206,458,198,8,7,0,0,0,0,0,0,792,449,755,318,18,10,842,470,837,354,18,11
Hard,201355,545,308,550,236,16,7,2228,1218,2193,993,74,39,1363,728,1481,706,47,24,0,0,0,0,0,0,1589,889,1596,731,54,27,2053,1133,2063,928,72,35,201521,514,287,478,203,9,8,2485,1265,2429,1052,23,42,1547,813,1569,771,17,27,162,83,197,85,2,3,1887,941,1861,797,19,32,3140,1585,3140,1378,35,51
Hard,201492,103,60,126,59,4,1,3791,2142,3910,1813,102,57,1115,591,1038,486,27,23,211,120,198,91,7,2,3042,1696,3150,1432,87,45,3706,2037,3763,1717,98,57,201355,394,208,386,148,14,6,2908,1608,2938,1343,119,46,966,518,1040,493,38,17,0,0,0,0,0,0,2691,1480,2722,1244,98,40,3009,1655,3082,1381,111,47
Hard,201521,374,209,378,156,5,6,2640,1376,2562,1105,27,45,1410,770,1515,714,15,24,80,39,69,38,0,2,1631,839,1525,658,22,28,2156,1138,2047,913,28,36,201450,828,490,830,338,35,13,1487,802,1444,597,57,35,1169,604,1095,459,44,18,134,71,115,39,9,3,1245,671,1234,513,47,27,1789,987,1778,737,74,35
Hard,201492,335,209,380,167,8,4,3811,2155,3956,1835,101,55,1161,623,1110,533,25,21,105,59,89,42,1,1,2428,1369,2474,1159,60,34,2994,1671,3042,1418,72,42,201450,864,518,809,338,33,13,1684,879,1646,661,43,38,1029,537,922,369,33,15,122,72,127,51,6,2,1349,707,1342,554,33,28,2268,1246,2209,926,71,40
Hard,201521,509,280,472,197,7,8,2567,1292,2416,1037,26,41,1267,711,1338,676,14,20,120,58,118,53,0,2,1992,1006,1892,823,18,33,2775,1425,2701,1206,24,44,201492,237,150,218,88,16,3,3288,1857,3364,1550,86,48,880,457,855,408,21,20,211,120,198,91,7,2,2302,1275,2403,1111,61,35,2785,1536,2886,1327,74,43
Hard,201495,650,349,618,260,10,12,4676,2589,4604,2090,73,70,1093,610,1077,511,27,24,83,45,74,28,1,1,3185,1740,3133,1430,44,48,3691,2011,3630,1628,57,60,201450,681,404,626,234,26,11,1786,958,1727,701,57,38,1573,845,1474,636,58,23,128,71,110,40,9,3,1492,791,1466,590,45,33,2124,1160,2065,834,71,43
Hard,201495,702,378,660,275,11,13,4930,2753,4820,2248,83,78,1410,773,1296,596,30,28,83,45,74,28,1,1,3903,2181,3817,1788,68,59,5186,2858,4997,2298,95,80,201521,515,285,508,216,8,8,3368,1786,3345,1448,29,55,1693,915,1792,859,17,31,122,64,148,70,2,2,2807,1475,2796,1199,24,46,4149,2175,4151,1834,41,67
Hard,201492,151,95,176,83,5,2,3452,1920,3505,1604,94,50,1103,595,1054,489,25,25,105,59,89,42,1,1,2840,1581,2907,1306,80,42,3394,1879,3459,1548,92,53,201495,800,443,768,334,15,13,3698,2043,3744,1745,58,61,1059,591,993,457,26,20,162,86,146,66,4,2,3030,1659,3030,1405,45,50,3916,2135,3838,1739,62,65
Hard,202469,178,96,195,87,5,3,891,488,882,375,22,12,446,232,425,186,11,8,0,0,0,0,0,0,663,368,641,278,17,8,663,368,641,278,17,8,201427,144,82,146,61,2,2,934,480,907,394,19,17,297,131,291,129,1,7,0,0,0,0,0,1,539,256,539,226,7,10,666,297,650,282,8,12
Hard,202469,124,73,116,43,9,2,594,324,539,219,16,9,295,153,259,111,3,6,0,0,0,0,0,0,594,324,539,219,16,9,594,324,539,219,16,9,201355,76,37,70,30,0,1,1238,645,1204,555,51,19,711,378,733,325,23,11,0,0,0,0,0,0,855,433,771,350,26,14,1115,567,1027,461,33,19
Hard,201355,406,239,443,201,7,7,2858,1568,2856,1325,111,49,1249,689,1296,635,39,21,0,0,0,0,0,0,1961,1071,1954,904,71,33,2276,1233,2261,1045,81,40,201427,333,195,342,151,10,5,2268,1173,2325,1048,54,44,1271,633,1260,599,31,21,231,125,252,111,8,4,1805,937,1826,806,37,36,2397,1213,2397,1077,50,45
Hard,202469,213,134,219,97,14,3,1111,605,1027,433,27,14,261,123,278,119,4,5,0,0,0,0,0,0,1025,558,939,395,27,13,1075,579,1021,431,27,14,201505,248,138,287,108,13,4,1752,956,1737,747,62,28,403,228,427,149,6,6,0,0,0,0,0,0,1152,625,1062,451,43,19,1574,860,1519,622,59,25
Hard,201427,400,210,342,138,11,6,1923,1008,2019,900,50,36,854,387,860,402,17,14,94,48,91,37,2,1,1607,829,1655,725,38,32,2036,1011,2060,907,46,38,201505,987,599,1027,399,42,13,2652,1439,2571,1057,88,41,1070,626,1048,408,28,17,0,0,0,0,0,0,1839,992,1675,698,53,28,2760,1510,2578,1073,77,41
Hard,201355,516,297,506,224,14,6,1161,625,1163,547,48,18,743,399,759,353,21,14,0,0,0,0,0,0,851,441,870,408,34,14,1165,608,1201,558,44,20,201662,58,28,41,12,2,1,756,454,752,274,78,13,476,262,430,161,36,8,0,0,0,0,0,0,431,252,404,152,43,8,431,252,404,152,43,8
Hard,200033,534,357,605,301,78,9,2451,1631,2473,1236,281,46,1098,745,1247,639,134,24,0,0,0,0,0,0,1053,704,1080,527,105,19,1613,1102,1751,870,201,30,201562,276,156,272,103,9,3,950,468,893,341,19,16,1462,775,1506,614,29,28,0,0,0,0,0,0,770,374,688,248,15,13,1152,570,1078,413,26,19
Hard,201450,1170,702,1099,456,45,17,2124,1112,2030,836,59,45,1180,627,1106,477,42,18,128,71,110,40,9,3,1830,944,1716,703,52,39,2824,1535,2679,1122,95,55,201373,699,442,776,314,33,11,4306,2462,4271,1877,132,66,801,477,797,352,35,16,0,0,0,0,0,0,2758,1576,2773,1259,70,44,3065,1767,3119,1407,91,53
Hard,201621,289,165,273,96,10,4,1700,953,1590,694,90,26,603,338,611,243,24,9,300,175,263,114,19,3,1060,608,1050,471,73,18,1333,761,1310,574,90,21,201318,78,39,52,18,4,1,1261,684,1301,560,29,22,865,475,806,351,14,14,251,123,229,100,14,3,611,326,659,281,13,12,818,446,829,350,18,16
Hard,201425,262,177,252,76,18,4,1532,967,1620,637,78,28,391,228,409,169,19,8,0,0,0,0,0,0,868,549,915,360,39,17,914,584,956,378,41,19,202429,434,249,437,188,11,7,893,495,861,366,28,15,242,129,195,71,11,5,0,0,0,0,0,0,593,337,557,232,20,10,799,453,762,312,31,13
Hard,201427,542,284,525,224,19,8,2492,1330,2566,1136,64,49,1425,720,1404,668,25,22,231,125,252,111,8,4,2104,1108,2119,927,52,40,2775,1445,2783,1248,65,50,201347,444,248,383,147,16,6,4771,2693,4890,2236,168,75,2121,1163,2125,986,66,34,0,0,0,0,0,0,3525,2001,3702,1684,118,53,4517,2524,4684,2111,149,69
Hard,201616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,201325,720,435,685,264,53,10,5343,3261,5272,2262,265,92,1901,1172,1892,800,78,29,0,0,0,0,0,0,4187,2519,4059,1707,188,69,5188,3121,5091,2125,224,85,201212,934,542,822,301,41,13,4020,2156,3821,1610,124,58,2524,1452,2564,1189,62,35,0,0,0,0,0,0,3336,1774,3199,1354,100,48,4874,2659,4681,1983,145,69
Hard,201397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,201614,63,33,41,8,3,1,150,75,145,58,9,3,53,25,39,7,2,1,0,0,0,0,0,0,150,75,145,58,9,3,150,75,145,58,9,3,201533,0,0,0,0,0,0,408,205,401,172,7,6,0,0,0,0,0,0,0,0,0,0,0,0,350,176,348,155,5,5,350,176,348,155,5,5
Hard,200748,212,118,253,101,18,3,1030,584,1064,492,54,18,600,355,564,253,39,9,0,0,0,0,0,0,778,435,795,369,32,14,1165,661,1209,546,61,19,201586,527,291,522,205,28,9,1301,693,1289,539,35,17,47,33,61,31,5,1,0,0,0,0,0,0,1034,542,1049,443,26,13,1069,556,1100,459,27,14
Hard,201505,248,138,287,108,13,4,1752,956,1737,747,62,28,403,228,427,149,6,6,0,0,0,0,0,0,1152,625,1062,451,43,19,1574,860,1519,622,59,25,202469,213,134,219,97,14,3,1111,605,1027,433,27,14,261,123,278,119,4,5,0,0,0,0,0,0,1025,558,939,395,27,13,1075,579,1021,431,27,14
Hard,201555,166,96,190,78,7,2,770,423,794,317,32,14,624,361,644,271,15,12,0,0,0,0,0,0,441,254,452,180,19,8,518,305,548,214,20,9,201662,163,95,158,58,22,3,655,401,634,224,68,11,233,111,209,68,16,4,0,0,0,0,0,0,402,242,407,142,45,7,402,242,407,142,45,7
Hard,201311,614,356,579,246,28,10,3473,1946,3465,1560,142,53,1395,780,1395,570,56,26,211,127,221,102,8,3,2473,1359,2410,1063,98,38,3129,1734,3035,1323,144,51,201468,545,336,592,259,29,9,1423,740,1399,610,56,26,952,552,907,413,20,15,0,0,0,0,0,0,1224,646,1207,506,52,23,1598,866,1571,664,80,28
Hard,201474,619,363,647,261,22,8,3222,1859,3171,1528,99,53,511,320,492,234,30,10,0,0,0,0,0,0,2495,1467,2412,1155,73,39,3085,1822,2988,1403,97,48,201535,227,112,181,63,8,3,1447,789,1456,590,95,23,290,148,269,99,10,4,0,0,0,0,0,0,1447,789,1456,590,95,22,1447,789,1456,590,95,22
Hard,201493,143,81,170,70,4,2,2039,1179,2011,969,54,33,598,340,529,243,9,9,193,119,235,109,7,2,1407,795,1402,692,33,23,1911,1095,1963,937,45,31,201348,266,148,236,97,6,4,1337,683,1295,546,17,21,298,147,256,121,6,4,0,0,0,0,0,0,1224,631,1183,503,16,19,1224,631,1183,503,16,20
Hard,201610,0,0,0,0,0,0,284,154,264,101,8,4,0,0,0,0,0,0,0,0,0,0,0,0,121,58,99,32,2,2,121,58,99,32,2,2,201344,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9
Hard,201320,523,309,576,254,35,7,4280,2390,4440,2022,192,68,1238,686,1194,527,51,19,0,0,0,0,0,0,3497,1950,3678,1678,165,56,4171,2319,4325,1972,208,67,201290,998,611,1000,418,32,14,4031,2226,3765,1588,147,66,1066,651,1064,459,54,22,0,0,0,0,0,0,3568,1961,3332,1392,128,58,5037,2837,4799,2024,180,82
Hard,201597,0,0,0,0,0,0,607,315,588,247,4,10,0,0,0,0,0,0,0,0,0,0,0,0,349,175,358,151,1,6,349,175,358,151,1,6,201506,68,34,60,19,0,1,938,528,942,456,2,13,521,293,544,266,3,8,0,0,0,0,0,0,938,528,942,456,2,13,1224,677,1269,607,3,17
Hard,201355,349,182,348,141,13,6,2906,1599,2944,1361,117,44,941,498,942,469,29,14,0,0,0,0,0,0,2121,1156,2112,963,75,30,2421,1317,2419,1089,88,36,201539,820,486,806,316,24,10,2950,1637,2923,1221,94,42,1161,638,1245,528,39,16,130,73,128,49,5,2,2180,1196,2159,892,63,32,2781,1538,2816,1156,79,40
Hard,201521,429,242,410,167,7,6,2299,1181,2213,973,17,35,1370,730,1411,681,14,23,202,103,217,108,2,3,1022,508,996,423,9,17,1607,804,1569,669,22,26,201465,864,515,908,358,49,13,1341,781,1366,572,57,26,696,365,699,307,29,10,0,0,0,0,0,0,670,373,715,284,30,14,910,522,965,374,41,17
Hard,201345,755,490,796,356,58,12,3127,1853,3265,1651,142,54,1337,838,1428,691,68,24,103,59,131,63,3,2,2473,1467,2579,1311,115,44,3778,2266,3959,1953,191,64,201466,445,249,400,147,25,6,2502,1404,2378,1022,159,35,1649,989,1659,794,81,25,146,78,145,65,13,2,2320,1304,2218,964,147,33,3533,1989,3383,1459,196,49
Hard,201513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,201472,179,98,190,84,8,4,1271,671,1283,539,14,19,748,428,807,374,21,16,0,0,0,0,0,0,1073,575,1099,460,14,17,1150,630,1186,502,16,20,201587,265,153,245,85,7,4,2072,1115,2028,884,47,36,292,174,289,108,4,8,0,0,0,0,0,0,1540,836,1587,682,39,22,1589,862,1646,703,39,26
Hard,201421,98,59,79,35,5,2,450,265,485,202,26,8,0,0,0,0,0,0,0,0,0,0,0,0,403,237,436,170,24,7,452,266,482,179,25,8,202505,0,0,0,0,0,0,164,83,166,60,4,3,86,45,112,57,4,1,0,0,0,0,0,0,164,83,166,60,4,3,164,83,166,60,4,3
Hard,201492,320,201,345,149,16,4,3383,1941,3463,1598,86,51,1121,628,1103,540,31,23,211,120,198,91,7,2,2506,1426,2560,1168,67,36,3219,1811,3222,1479,80,48,201512,451,234,397,170,2,5,2806,1504,2956,1341,36,49,461,241,480,227,4,9,153,76,156,70,3,3,2200,1162,2277,1030,22,38,2415,1271,2501,1121,25,41
Hard,201619,106,78,126,55,9,2,213,131,218,76,18,4,0,0,0,0,0,0,0,0,0,0,0,0,104,60,117,35,11,2,104,60,117,35,11,2,201590,181,115,169,62,5,2,243,148,265,109,5,4,0,0,0,0,0,0,0,0,0,0,0,0,190,111,198,78,5,3,190,111,198,78,5,3
Hard,202684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,201594,433,260,415,197,17,7,2370,1247,2323,1047,53,45,1222,655,1230,579,25,21,107,54,105,33,2,2,2082,1090,1982,875,45,37,2630,1377,2451,1067,60,45,201366,191,103,217,81,7,4,1825,949,1827,768,39,32,762,364,772,336,11,13,147,89,131,48,0,1,1311,659,1274,530,21,24,1719,882,1658,678,24,29
Hard,200033,742,522,842,377,125,12,3623,2375,3657,1753,427,66,1508,1027,1671,851,172,33,0,0,0,0,0,0,2119,1413,2201,1032,280,41,3005,2054,3219,1516,422,57,201450,856,505,800,321,36,14,1455,775,1523,642,28,35,1118,587,1044,457,36,18,122,72,127,51,6,3,1103,575,1142,479,23,26,1738,924,1764,735,49,35
Hard,201425,461,288,491,191,17,7,3670,2198,3790,1483,178,58,881,512,903,364,36,17,229,129,211,72,11,3,2234,1371,2329,886,132,36,2751,1678,2866,1093,156,45,201621,559,317,505,189,24,7,2736,1580,2799,1245,131,38,999,563,997,407,58,16,314,201,306,139,14,4,1679,972,1722,764,75,23,1898,1094,1924,839,95,28
Hard,201427,65,35,60,21,0,1,871,470,924,427,29,18,469,226,481,242,8,8,94,48,91,37,2,2,783,425,825,378,26,17,986,527,1039,493,29,20,201616,183,93,149,60,3,3,987,526,940,386,11,17,0,0,0,0,0,1,0,0,0,0,0,0,759,407,690,309,10,10,759,407,690,309,10,10
Hard,201325,704,428,701,296,44,10,6624,4032,6549,2769,303,109,2435,1529,2397,992,84,39,0,0,0,0,0,0,6040,3656,5906,2487,264,101,8101,4942,7955,3307,347,132,201496,805,476,775,323,39,11,7540,4427,7471,3571,149,123,2334,1338,2223,1029,50,37,0,0,0,0,0,0,6500,3775,6405,3048,130,106,8654,5024,8460,3973,190,138
Hard,201520,1256,810,1310,580,85,19,4618,2757,4784,2172,274,83,1737,1014,1782,796,76,26,157,99,160,76,10,2,4227,2513,4421,2025,249,77,6451,3875,6646,2988,367,108,201397,678,400,674,254,35,10,5413,3087,5342,2388,169,77,1630,945,1525,656,47,22,0,0,0,0,0,0,4158,2338,4065,1793,118,59,5769,3235,5520,2384,169,80
Hard,200748,97,54,108,51,8,2,666,362,691,311,28,8,381,207,370,165,15,6,0,0,0,0,0,0,478,253,509,233,15,6,641,345,677,305,29,9,201614,127,77,98,30,7,2,665,365,613,231,30,9,334,178,317,129,12,4,0,0,0,0,0,0,330,176,310,119,14,5,412,212,383,155,14,6
Hard,201505,908,560,989,383,49,14,3053,1748,3126,1371,118,48,874,511,841,343,21,14,0,0,0,0,0,0,2448,1375,2532,1118,96,38,3485,1974,3627,1547,134,54,201555,265,148,294,110,12,4,2123,1175,2173,863,82,38,1060,642,1145,506,29,21,0,0,0,0,0,0,1857,1015,1929,771,69,34,2561,1433,2668,1082,92,45
Hard,201311,870,517,837,365,40,14,5730,3280,5700,2567,237,95,2262,1245,2350,1026,81,41,365,209,396,179,13,5,5451,3102,5416,2432,221,89,7076,4026,7057,3168,300,117,201474,1081,664,1062,441,38,16,7642,4487,7395,3532,268,134,1324,736,1313,611,52,24,0,0,0,0,0,0,5673,3338,5559,2672,211,100,6918,4068,6767,3171,266,121
Hard,201493,0,0,0,0,0,0,101,64,100,59,2,2,134,79,142,73,5,2,61,43,69,29,3,1,101,64,100,59,2,2,163,99,156,92,5,3,201610,0,0,0,0,0,0,205,104,189,70,6,3,0,0,0,0,0,0,0,0,0,0,0,0,60,25,61,27,0,1,60,25,61,27,0,1
Hard,201320,0,0,0,0,0,0,386,239,393,188,18,6,366,225,396,179,16,5,0,0,0,0,0,0,386,239,393,188,18,6,597,365,613,283,26,9,201597,0,0,0,0,0,0,535,265,496,217,1,7,0,0,0,0,0,0,0,0,0,0,0,0,420,213,387,175,0,5,420,213,387,175,0,5
Hard,201521,514,287,478,203,9,8,2485,1265,2429,1052,23,42,1547,813,1569,771,17,27,162,83,197,85,2,3,1887,941,1861,797,19,32,3140,1585,3140,1378,35,51,201355,545,308,550,236,16,7,2228,1218,2193,993,74,39,1363,728,1481,706,47,24,0,0,0,0,0,0,1589,889,1596,731,54,27,2053,1133,2063,928,72,35
Hard,201345,121,70,141,73,7,4,1004,593,1047,492,37,20,916,531,907,430,38,17,103,59,131,63,3,2,489,303,533,278,20,11,973,598,1116,561,49,22,202494,66,38,64,19,1,1,810,437,793,336,31,14,254,137,275,116,3,8,0,0,0,0,0,0,507,258,500,209,17,10,507,258,500,209,17,10
Hard,201513,1094,652,1014,416,99,12,1478,840,1527,677,90,24,582,346,636,293,40,10,0,0,0,0,0,0,1390,797,1449,643,82,22,2546,1475,2611,1141,175,37,202446,171,94,177,71,8,2,1407,767,1333,570,40,22,292,157,276,121,8,7,0,0,0,0,0,0,1036,556,984,427,29,17,1182,630,1123,485,33,20
