surface,id1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,grass_sample_size1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,hard_sample_size1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,clay_sample_size1,carpet_pts_served1,carpet_service_pts_won1,carpet_pts_received1,carpet_receiving_pts_won1,carpet_aces1,carpet_sample_size1,co2_pts_served1,co2_service_pts_won1,co2_pts_received1,co2_receiving_pts_won1,co2_aces1,co2_sample_size1,co2nsf_pts_served1,co2nsf_service_pts_won1,co2nsf_pts_received1,co2nsf_receiving_pts_won1,co2nsf_aces1,co2nsf_sample_size1,id2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,grass_sample_size2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,hard_sample_size2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,clay_sample_size2,carpet_pts_served2,carpet_service_pts_won2,carpet_pts_received2,carpet_receiving_pts_won2,carpet_aces2,carpet_sample_size2,co2_pts_served2,co2_service_pts_won2,co2_pts_received2,co2_receiving_pts_won2,co2_aces2,co2_sample_size2,co2nsf_pts_served2,co2nsf_service_pts_won2,co2nsf_pts_received2,co2nsf_receiving_pts_won2,co2nsf_aces2,co2nsf_sample_size2
Hard,205925,189,97,158,59,9,3,1366,724,1510,671,38,27,786,402,755,326,14,9,0,0,0,0,0,0,1054,559,1100,493,28,20,1256,658,1267,571,35,22,201540,1063,679,1028,422,98,15,2116,1232,2130,913,115,32,1059,626,1060,453,37,15,0,0,0,0,0,0,1642,958,1631,677,89,24,2446,1447,2419,981,124,35
Hard,201620,327,186,311,119,15,4,2921,1692,2785,1219,129,46,1200,685,1230,508,46,17,0,0,0,0,0,0,2342,1344,2185,968,98,37,2860,1623,2717,1195,118,44,201490,713,424,714,299,12,10,2229,1260,2317,1003,52,38,1558,913,1640,790,41,22,0,0,0,0,0,0,1920,1080,2007,868,47,34,2842,1619,3010,1315,66,48
Hard,204426,401,245,350,159,30,5,1145,637,1139,511,51,19,433,276,449,207,20,7,0,0,0,0,0,0,864,472,871,377,39,14,990,550,1011,441,42,16,201426,146,79,140,34,7,3,1570,878,1506,647,73,20,794,406,806,369,25,10,0,0,0,0,0,0,1124,636,1073,437,51,15,1238,687,1202,495,53,17
Hard,201520,790,495,803,340,75,11,4962,3063,5051,2248,300,88,1131,712,1126,453,60,17,0,0,0,0,0,0,4647,2869,4705,2098,282,81,6080,3719,6101,2653,361,100,201474,1298,778,1217,518,41,17,5166,3013,5093,2395,185,99,960,490,954,472,33,13,0,0,0,0,0,0,4483,2615,4418,2089,162,87,6133,3544,6021,2808,215,108
Hard,201610,149,80,127,51,8,2,1105,614,1088,495,31,18,127,76,120,44,1,2,0,0,0,0,0,0,611,349,582,251,19,9,611,349,582,251,19,9,206289,430,247,424,177,19,6,769,424,854,353,25,11,464,250,454,210,11,8,0,0,0,0,0,0,601,325,685,284,17,9,867,475,952,405,25,12
Hard,202427,1043,633,1050,442,59,16,2971,1810,3184,1440,186,49,418,244,460,189,19,7,0,0,0,0,0,0,1497,927,1574,728,101,25,1824,1106,1922,877,120,30,201696,199,98,194,78,4,3,1119,569,1280,555,10,19,2135,1196,2123,1003,29,28,0,0,0,0,0,0,1048,546,1196,532,10,17,1331,691,1477,667,12,20
Hard,201521,1050,597,1089,454,21,15,5012,2842,5292,2309,75,85,2607,1476,2792,1276,33,36,0,0,0,0,0,0,4576,2596,4886,2140,67,79,6577,3686,7017,3083,94,107,201366,1265,747,1300,560,60,18,6218,3503,6076,2738,193,101,1733,960,1707,754,47,26,0,0,0,0,0,0,5523,3080,5321,2379,167,86,7084,3935,6925,3100,215,108
Hard,201504,275,173,304,132,29,4,3753,2247,3715,1508,316,61,1684,1000,1650,675,116,24,0,0,0,0,0,0,3443,2050,3410,1372,281,55,4687,2798,4622,1899,365,73,201495,893,500,805,369,12,10,5276,2981,5155,2353,53,73,909,522,945,429,13,12,0,0,0,0,0,0,4503,2551,4420,2032,43,63,5906,3337,5827,2675,62,79
Hard,215035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,201517,842,493,772,318,49,12,1913,1065,1867,766,86,30,77,45,73,26,0,2,0,0,0,0,0,0,1536,852,1508,628,62,24,1705,946,1677,696,76,27,201535,1070,666,1165,480,103,16,2616,1558,2624,1049,213,45,325,194,309,99,29,4,0,0,0,0,0,0,1891,1137,1926,764,152,33,2460,1490,2582,1021,198,41
Hard,201505,703,388,723,293,23,10,4960,2859,4877,2090,196,74,1442,817,1461,620,43,23,0,0,0,0,0,0,4326,2472,4200,1762,156,62,5646,3208,5558,2332,202,83,201662,1430,919,1524,639,168,21,5814,3597,6004,2566,578,96,1487,923,1528,602,146,20,0,0,0,0,0,0,4607,2841,4719,1976,445,78,6634,4098,6774,2786,663,106
