name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Novak Djokovic,2130,1520,2401,982,229,9537,6472,10111,4438,720,2994,1965,3163,1330,153,John Isner,833,626,920,301,176,7029,4941,7047,2121,1292,2558,1755,2445,740,331,0,0,0
Novak Djokovic,1786,1256,1955,811,194,9171,6260,9764,4288,702,3215,2137,3485,1496,158,Roger Federer,1956,1404,2089,769,213,7568,5310,8004,3120,708,2764,1928,2859,1104,232,0,0,0
Rafael Nadal,752,491,759,271,56,4957,3297,5050,2012,203,4248,2860,4454,2020,149,Fabio Fognini,780,468,687,243,32,3181,1819,2962,1085,128,3827,2274,3861,1604,95,0,0,0
Milos Raonic,618,454,612,182,123,4377,3151,4526,1484,915,1167,799,1216,444,173,Benjamin Becker,544,335,581,202,58,2864,1788,2823,938,257,329,191,285,75,27,0,0,0
Alexandr Dolgopolov,749,483,749,272,78,5803,3667,5873,2189,599,2640,1656,2704,1013,222,Stan Wawrinka,587,392,578,205,62,5211,3418,5404,2086,477,4522,2877,4387,1729,260,0,0,0
Tomas Berdych,1247,883,1331,476,149,8566,5771,8723,3287,944,2956,1936,2866,1115,240,John Isner,985,766,1082,329,226,7425,5248,7479,2321,1358,1894,1281,1795,530,220,0,0,0
Roger Federer,2173,1569,2373,886,250,8339,5813,8818,3447,752,2494,1654,2632,1041,190,Richard Gasquet,865,592,915,331,75,6769,4426,7061,2719,505,2550,1632,2514,975,128,0,0,0
Kei Nishikori,1301,820,1371,524,47,5781,3604,6003,2381,204,1902,1191,2006,826,40,David Ferrer,1071,744,1146,421,55,7381,4738,7617,3155,351,4740,3081,4936,2193,152,0,0,0
Andy Murray,2377,1652,2522,997,282,7373,4788,7646,3255,634,2292,1373,2364,1020,126,Jo-Wilfried Tsonga,1837,1283,1768,563,220,7870,5335,7790,2743,984,2193,1431,2258,857,138,0,0,0
Novak Djokovic,1185,810,1239,476,114,7536,5044,7925,3435,520,2629,1712,2807,1196,121,Tommy Robredo,200,139,174,48,15,2098,1306,2028,721,125,2259,1415,2269,866,86,0,0,0
Rafael Nadal,1084,753,1140,403,83,6171,4085,6486,2593,249,4657,3106,4922,2274,159,Milos Raonic,748,548,832,260,152,6342,4508,6555,2138,1298,2008,1364,2072,723,279,0,0,0
Tomas Berdych,1034,725,1108,392,135,8842,5929,9007,3497,924,2801,1818,2742,1077,220,Alexandr Dolgopolov,789,483,693,221,83,6753,4266,6804,2551,701,2488,1573,2464,925,215,0,0,0
Kei Nishikori,1062,664,1132,428,42,5063,3138,5218,2055,176,1688,1057,1736,727,34,Roger Federer,2136,1547,2332,895,244,7870,5452,8353,3298,700,2613,1768,2687,1023,220,0,0,0
Novak Djokovic,1627,1179,1801,737,170,8965,6177,9479,4150,711,2927,1931,3152,1324,154,Andy Murray,2405,1681,2607,1044,296,5986,3940,6210,2639,539,1931,1173,1990,847,108,0,0,0
Rafael Nadal,1141,773,1201,440,82,5825,3864,6120,2461,244,5376,3626,5763,2661,190,Tomas Berdych,1019,720,1088,361,109,7930,5303,8004,3036,814,2860,1845,2819,1128,219,0,0,0
Novak Djokovic,1766,1240,1963,795,179,9549,6501,10114,4458,725,2965,1936,3137,1332,147,Kei Nishikori,1031,641,1095,402,45,5020,3104,5201,1980,168,1340,829,1328,514,30,0,0,0
Novak Djokovic,1720,1225,1975,799,183,8962,6130,9478,4168,668,2495,1690,2621,1109,153,Rafael Nadal,818,562,839,297,65,5241,3542,5631,2300,226,4083,2758,4393,2063,141,0,0,0
Rafael Nadal,993,686,1030,356,77,5872,3904,6126,2440,236,4661,3125,5017,2287,169,Andreas Seppi,1660,1073,1670,615,95,4607,2875,4680,1671,301,2865,1705,2810,1060,133,0,0,0
David Ferrer,1500,1031,1576,564,80,7078,4530,7324,3016,319,4133,2615,4226,1826,121,Grigor Dimitrov,1101,710,1078,379,105,5063,3299,5021,1731,524,1800,1127,1787,666,113,0,0,0
Stan Wawrinka,801,530,811,294,91,5520,3609,5738,2214,515,4790,3070,4785,1891,324,Nicolas Almagro,700,482,718,216,130,4762,3161,4843,1711,530,6202,4040,6377,2533,567,0,0,0
Milos Raonic,739,542,763,227,154,4085,2868,4214,1370,798,1293,852,1258,421,174,Tommy Robredo,177,105,150,37,8,2311,1431,2276,830,137,2784,1743,2786,1117,111,0,0,0
Jo-Wilfried Tsonga,1788,1255,1777,575,241,7155,4823,7019,2507,831,2002,1258,2064,821,119,Fabio Fognini,807,481,724,254,32,3219,1803,2902,1060,111,4005,2350,4075,1727,94,0,0,0
Roger Federer,1172,880,1263,489,150,5538,3800,5804,2277,467,2188,1464,2296,886,175,Lukas Rosol,584,400,547,149,51,2473,1470,2332,767,213,2103,1306,1905,656,155,0,0,0
Guillermo Garcia Lopez,648,419,699,250,48,3542,2091,3434,1222,163,3271,1931,3203,1270,104,Tomas Berdych,1012,718,1063,405,142,7823,5254,7985,3048,818,2394,1539,2294,876,187,0,0,0
Novak Djokovic,288,199,275,103,27,1726,1147,1796,761,115,778,524,782,325,40,Pablo Carreno Busta,0,0,0,0,0,0,0,0,0,0,786,443,696,269,25,0,0,0
David Ferrer,1436,986,1531,567,77,7595,4898,7823,3211,371,3990,2676,4112,1815,145,Rafael Nadal,1157,799,1237,466,91,6453,4335,6733,2710,282,4414,3002,4751,2183,165,0,0,0
Stan Wawrinka,478,302,444,159,50,5949,3834,6100,2346,515,4580,2921,4455,1755,290,Milos Raonic,797,598,860,258,155,5701,4061,5869,1886,1185,1952,1301,1949,661,267,0,0,0
Roger Federer,2011,1431,2163,818,224,7624,5279,8092,3192,706,3115,2137,3364,1313,278,Jo-Wilfried Tsonga,2050,1415,1959,628,266,6790,4612,6692,2392,857,2398,1540,2401,930,155,0,0,0
Novak Djokovic,1725,1231,1954,804,165,8515,5862,9102,4009,663,2610,1736,2822,1201,132,Guillermo Garcia Lopez,502,308,527,179,33,3235,1882,3179,1140,135,2938,1754,2887,1140,99,0,0,0
Stan Wawrinka,564,358,576,197,60,5743,3719,5856,2216,495,4535,2890,4461,1727,280,David Ferrer,1291,882,1371,483,69,7290,4722,7506,3056,379,4840,3141,5020,2213,159,0,0,0
Roger Federer,1956,1404,2089,769,213,7568,5310,8004,3120,708,2764,1928,2859,1104,232,Novak Djokovic,1786,1256,1955,811,194,9171,6260,9764,4288,702,3215,2137,3485,1496,158,0,0,0
