name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Ashleigh Barty,1031,680,1011,465,114,6061,3863,6209,2767,580,2093,1322,2128,953,173
Jessica Pegula,612,364,594,244,22,4349,2563,4405,2016,167,1324,717,1229,548,37
Barbora Krejcikova,304,190,295,119,15,3140,1909,3187,1372,185,1962,1156,2060,961,63
Madison Keys,614,391,639,264,49,3495,2108,3560,1537,296,1612,965,1639,707,115
Danielle Collins,420,239,365,143,8,4982,2965,4751,2041,281,2013,1165,2007,947,91
Alize Cornet,1077,662,1093,480,26,5531,3116,5436,2467,142,1739,893,1837,897,32
Iga Swiatek,486,273,553,235,29,3615,2173,3770,1660,190,1911,1167,2013,979,51
Kaia Kanepi,221,115,229,94,14,2197,1252,2204,930,112,1051,586,1040,469,36
Anett Kontaveit,844,508,819,337,49,7220,4316,7077,3230,341,1805,1056,1778,777,103
Maria Sakkari,725,448,724,309,55,6419,3760,6627,2844,390,2577,1474,2606,1236,127
Jelena Ostapenko,1185,665,1174,577,39,5449,3006,5483,2493,208,1948,1045,1873,874,43
Aryna Sabalenka,1257,778,1219,518,99,7921,4790,7844,3466,576,2371,1393,2257,1050,119
Cori Gauff,713,439,683,269,56,3770,2207,3658,1525,215,1684,966,1758,824,77
Ons Jabeur,1385,849,1438,626,97,6524,3861,6897,3065,390,1651,952,1632,788,73
Garbine Muguruza,451,286,544,249,17,6670,3998,6813,3052,371,1579,907,1529,726,68
Simona Halep,627,389,614,300,14,5159,3020,5457,2546,166,2210,1287,2268,1176,58
Paula Badosa,793,455,816,343,45,2884,1708,2831,1185,162,2316,1368,2452,1175,111
Petra Martic,1076,651,1049,407,45,4347,2613,4493,1852,223,2973,1725,2949,1307,83
Veronika Kudermetova,859,511,852,343,69,5958,3456,6035,2503,444,2692,1551,2685,1209,138
