name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Borna Coric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denis Shapovalov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Zverev,0,0,0,0,0,281,186,255,67,14,0,0,0,0,0,Nick Kyrgios,0,0,0,0,0,255,188,281,95,38,0,0,0,0,0,0,4,0
Kevin Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frances Tiafoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Carreno Busta,0,0,0,0,0,60,41,85,41,5,50,37,55,27,5,Fernando Verdasco,0,0,0,0,0,85,44,60,19,5,55,28,50,13,2,0,1,1
John Isner,0,0,0,0,0,77,64,93,34,30,79,56,62,17,14,Hyeon Chung,0,0,0,0,0,93,59,77,13,4,62,45,79,23,3,0,1,1
Juan Martin del Potro,0,0,0,0,0,76,46,68,19,4,0,0,0,0,0,Milos Raonic,0,0,0,0,0,68,49,76,30,17,0,0,0,0,0,0,1,0
Alexander Zverev,0,0,0,0,0,257,175,256,82,36,0,0,0,0,0,Borna Coric,0,0,0,0,0,256,174,257,82,9,0,0,0,0,0,0,2,0
Pablo Carreno Busta,0,0,0,0,0,226,132,168,44,1,0,0,0,0,0,Kevin Anderson,0,0,0,0,0,168,124,226,94,36,0,0,0,0,0,0,2,0
John Isner,77,55,65,21,25,237,169,227,60,54,0,0,0,0,0,Juan Martin del Potro,65,44,77,22,5,227,167,237,68,28,0,0,0,0,0,1,3,0
Alexander Zverev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pablo Carreno Busta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Isner,0,0,0,0,0,159,112,168,43,33,89,58,82,17,8,Alexander Zverev,0,0,0,0,0,168,125,159,47,18,82,65,89,31,12,0,2,1
Marin Cilic,0,0,0,0,0,0,0,0,0,0,79,56,81,34,9,Milos Raonic,0,0,0,0,0,0,0,0,0,0,81,47,79,23,8,0,0,1
Kei Nishikori,17,8,9,1,0,0,0,0,0,0,0,0,0,0,0,Andreas Seppi,9,8,17,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Alexander Zverev,0,0,0,0,0,0,0,0,0,0,153,102,165,59,15,Jan Lennard Struff,0,0,0,0,0,0,0,0,0,0,165,106,153,51,13,0,0,2
Richard Gasquet,0,0,0,0,0,83,56,103,44,3,0,0,0,0,0,Mischa Zverev,0,0,0,0,0,103,59,83,27,10,0,0,0,0,0,0,1,0
David Goffin,0,0,0,0,0,225,136,207,79,23,0,0,0,0,0,Roberto Bautista Agut,0,0,0,0,0,207,128,225,89,15,0,0,0,0,0,0,2,0
Grigor Dimitrov,0,0,0,0,0,0,0,0,0,0,79,53,81,30,9,Philipp Kohlschreiber,0,0,0,0,0,0,0,0,0,0,81,51,79,26,4,0,0,1
Dominic Thiem,0,0,0,0,0,155,88,182,64,6,202,109,220,84,4,Novak Djokovic,0,0,0,0,0,182,118,155,67,5,220,136,202,93,6,0,2,3
Rafael Nadal,94,69,103,43,7,59,41,68,31,3,0,0,0,0,0,Karen Khachanov,103,60,94,25,13,68,37,59,18,7,0,0,0,0,0,1,1,0
