surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Clay,Rafael Nadal,627,428,683,293,27,Tomas Berdych,301,186,280,111,24,12
Clay,Roberto Bautista Agut,142,84,146,56,8,Santiago Giraldo,135,81,135,57,7,4
Clay,Kei Nishikori,54,28,47,12,0,Feliciano Lopez,122,74,95,27,16,2
Clay,David Ferrer,521,289,543,213,15,Ernests Gulbis,321,203,310,110,33,10
Clay,Rafael Nadal,296,199,320,150,12,Roberto Bautista Agut,226,134,243,86,9,7
Clay,Kei Nishikori,138,85,155,58,5,David Ferrer,371,190,398,170,4,7
Clay,Rafael Nadal,303,223,316,149,10,Kei Nishikori,389,238,420,152,6,11
Clay,Rafael Nadal,690,450,700,300,23,Mikhail Youzhny,751,469,719,295,29,16
Clay,Andy Murray,0,0,0,0,0,Jurgen Melzer,0,0,0,0,0,0
Clay,Tommy Haas,430,266,416,155,26,Stan Wawrinka,423,255,453,183,18,12
Clay,Grigor Dimitrov,422,247,421,146,26,Tomas Berdych,328,209,316,107,28,9
Clay,Milos Raonic,327,212,328,112,30,Jo-Wilfried Tsonga,312,213,302,113,26,8
Clay,Jeremy Chardy,0,0,0,0,0,Ivan Dodig,0,0,0,0,0,0
Clay,David Ferrer,521,289,543,213,15,Ernests Gulbis,321,203,310,110,33,10
Clay,Novak Djokovic,354,239,400,167,21,Philipp Kohlschreiber,281,179,273,86,10,9
Clay,Rafael Nadal,162,125,189,87,8,Andy Murray,129,69,123,41,6,5
Clay,Grigor Dimitrov,324,191,302,108,18,Tommy Haas,251,155,198,72,12,7
Clay,Milos Raonic,57,27,42,13,6,Jeremy Chardy,42,22,49,13,4,2
Clay,Novak Djokovic,547,371,572,235,26,David Ferrer,663,381,673,292,15,15
Clay,Rafael Nadal,355,234,377,159,16,Grigor Dimitrov,289,170,283,96,17,7
Clay,Novak Djokovic,427,268,421,168,10,Milos Raonic,201,127,199,62,19,7
Clay,Novak Djokovic,553,370,565,232,24,Rafael Nadal,410,284,463,210,12,14
Clay,Rafael Nadal,110,78,95,43,3,Dusan Lajovic,164,92,158,57,5,4
Clay,David Ferrer,118,85,117,61,2,Kevin Anderson,95,64,101,32,5,3
