name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Hubert Hurkacz,155,102,140,43,10,187,138,204,55,21,0,0,0,0,0,Daniil Medvedev,140,97,155,53,13,204,149,187,49,38,0,0,0,0,0,1,2,0
Carlos Alcaraz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miomir Kecmanovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Cerundolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jannik Sinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casper Ruud,0,0,0,0,0,115,67,95,21,5,0,0,0,0,0,Alexander Zverev,0,0,0,0,0,95,74,115,48,10,0,0,0,0,0,0,3,0
Daniil Medvedev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jenson Brooksby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hubert Hurkacz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lloyd Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,0,0,0,0,0,170,102,156,57,2,0,0,0,0,0,Stefanos Tsitsipas,0,0,0,0,0,156,99,170,68,15,0,0,0,0,0,0,1,0
Miomir Kecmanovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taylor Fritz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jannik Sinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nick Kyrgios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Cerundolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frances Tiafoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casper Ruud,0,0,0,0,0,112,78,118,50,11,0,0,0,0,0,Cameron Norrie,0,0,0,0,0,118,68,112,34,7,0,0,0,0,0,0,2,0
Alexander Zverev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thanasi Kokkinakis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefanos Tsitsipas,0,0,0,0,0,0,0,0,0,0,37,24,41,19,1,Alejandro Davidovich Fokina,0,0,0,0,0,0,0,0,0,0,41,22,37,13,1,0,0,1
Alejandro Davidovich Fokina,0,0,0,0,0,0,0,0,0,0,76,51,69,25,3,Grigor Dimitrov,0,0,0,0,0,0,0,0,0,0,69,44,76,25,3,0,0,1
Stefanos Tsitsipas,0,0,0,0,0,195,114,178,68,13,138,94,142,51,8,Alexander Zverev,0,0,0,0,0,178,110,195,81,19,142,91,138,44,11,0,2,1
Alejandro Davidovich Fokina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taylor Fritz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grigor Dimitrov,0,0,0,0,0,97,64,104,36,0,0,0,0,0,0,Hubert Hurkacz,0,0,0,0,0,104,68,97,33,14,0,0,0,0,0,0,1,0
Stefanos Tsitsipas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diego Schwartzman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Zverev,0,0,0,0,0,107,73,106,38,17,0,0,0,0,0,Jannik Sinner,0,0,0,0,0,106,68,107,34,5,0,0,0,0,0,0,1,0
