name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Elise Mertens,749,410,732,332,33,1913,1078,1857,855,86,1485,810,1512,714,51
Elina Svitolina,1001,607,978,401,47,8739,5022,9049,4241,326,3023,1794,3079,1416,115
Sloane Stephens,811,493,841,349,28,4378,2582,4317,1837,122,1621,976,1609,710,46
Anastasija Sevastova,1155,673,1160,508,33,3663,2028,3527,1564,125,2498,1427,2554,1148,62
Kiki Bertens,729,429,642,255,26,3918,2197,4149,1781,263,3906,2365,3954,1845,231
Ashleigh Barty,839,530,904,378,58,2263,1381,2156,951,182,260,156,243,116,10
Caroline Garcia,1442,901,1396,559,101,7847,4711,7614,3134,458,3138,1904,3246,1363,220
Simona Halep,1171,708,1249,564,41,6922,4064,7252,3400,194,3347,1979,3427,1684,87
Catherine Cartan Bellis,322,181,346,155,9,2247,1260,2310,1007,48,836,475,749,312,14
Garbine Muguruza,1667,1014,1703,717,99,6782,4006,6793,3041,345,2468,1525,2571,1186,113
Julia Goerges,636,385,633,272,45,6070,3749,6120,2522,508,3137,1886,3045,1257,219
Petra Kvitova,1019,666,1077,472,100,6097,3778,6271,2776,385,1852,1159,1897,795,89
Angelique Kerber,1739,1117,1867,824,38,8383,4889,8837,4030,181,2711,1582,2827,1288,47
Caroline Wozniacki,1604,979,1693,764,74,8560,5118,8442,3959,278,2159,1229,2050,969,70
Monica Puig,1127,678,1104,440,64,6172,3650,6152,2656,316,2260,1338,2271,974,123
Qiang Wang,393,231,359,130,11,3923,2199,4131,1868,139,1011,590,1090,456,45
Katerina Siniakova,1065,616,1031,414,29,4247,2311,3988,1734,150,2770,1574,2775,1233,65
Anett Kontaveit,1038,652,993,414,73,3223,1861,3335,1462,152,1453,870,1449,623,65
Anastasia Pavlyuchenkova,1146,676,1172,469,25,7794,4476,7766,3449,343,1772,1015,1905,846,49
Aryna Sabalenka,169,109,150,55,10,1395,819,1379,604,82,0,0,0,0,0
Dominika Cibulkova,1618,944,1559,682,20,8278,4680,8122,3740,98,1196,696,1226,551,17
Yulia Putintseva,647,379,682,255,14,5471,2983,5415,2358,119,2543,1413,2614,1226,38
Madison Keys,1303,845,1346,551,128,5536,3470,5640,2397,448,2201,1320,2296,1024,152
Daria Kasatkina,437,254,442,195,15,5462,3015,5651,2626,137,2212,1263,2247,1062,38
Jelena Ostapenko,1311,764,1290,567,59,4969,2667,5149,2440,202,1860,1023,1989,950,76
Serena Williams,843,583,977,464,154,3837,2539,4093,1892,561,1714,1085,1714,812,169
Camila Giorgi,1606,1029,1523,599,75,4584,2640,4429,1922,171,1187,666,1191,511,26
Karolina Pliskova,2026,1301,2096,880,253,9171,5707,9455,4048,949,2589,1601,2620,1094,239
Carla Suarez Navarro,1382,794,1403,581,32,6346,3611,6653,2992,112,3389,1939,3601,1689,45
Naomi Osaka,540,322,535,200,35,3801,2271,3829,1639,264,740,404,830,357,39
Lesia Tsurenko,1263,709,1242,526,26,5354,3029,5194,2383,136,1411,731,1386,628,19
Venus Williams,1260,790,1259,537,56,6418,3742,6464,3010,339,1604,931,1554,695,64
Petra Martic,331,199,326,140,12,355,186,349,134,20,879,524,930,376,51
Danielle Collins,0,0,0,0,0,95,33,86,33,1,0,0,0,0,0
Victoria Azarenka,800,499,874,383,45,2789,1737,2916,1458,108,1063,635,1141,528,27
Maria Sharapova,400,246,401,187,17,2462,1535,2597,1221,213,1508,963,1569,705,99
Shuai Zhang,565,307,569,230,12,5073,2841,5050,2301,153,1714,959,1738,741,43
Johanna Konta,2415,1507,2570,1107,146,5765,3621,6305,2830,382,1062,617,1070,440,56
Alize Cornet,806,426,822,361,15,6350,3510,6492,2982,142,2196,1196,2048,926,34
Sorana Cirstea,565,321,535,214,17,2531,1377,2511,1115,88,2149,1223,2171,978,55
Anna Blinkova,86,51,106,41,8,550,288,561,231,16,158,69,155,59,2
Mihaela Buzarnescu,0,0,0,0,0,499,294,506,209,18,0,0,0,0,0
Monica Niculescu,1215,704,1217,529,21,4992,2646,5206,2473,68,1244,653,1357,624,22
Daria Saville,1240,713,1167,471,52,6535,3691,6458,2862,210,2684,1523,2750,1270,60
Sofia Kenin,0,0,0,0,0,533,292,502,204,9,55,29,68,28,0
Barbora Strycova,1516,903,1600,690,73,8008,4531,8024,3666,256,2406,1364,2359,1049,67
Su Wei Hsieh,658,363,650,279,18,2165,1142,2167,970,40,1061,599,1055,451,9
Aliaksandra Sasnovich,476,253,477,202,18,2655,1459,2890,1297,87,1130,578,1102,484,23
Alison Van Uytvanck,543,305,589,224,36,2743,1627,2656,1026,177,831,485,792,317,44
Belinda Bencic,1695,1055,1775,756,68,4771,2768,4827,2027,141,719,414,816,323,19
Donna Vekic,827,518,827,313,62,3455,1860,3442,1459,155,991,542,937,368,52
Evgeniya Rodina,900,505,853,369,16,2410,1302,2388,1011,57,1375,696,1263,541,5
Kate Makarova,930,551,963,404,33,6332,3744,6392,2764,249,1932,1111,2012,862,56
Kaia Kanepi,63,34,48,10,4,1255,720,1228,543,65,268,144,263,95,7
Marketa Vondrousova,182,106,179,60,9,581,349,613,289,20,519,290,569,266,24
Denisa Allertova,537,298,542,213,13,2851,1587,2863,1238,76,881,491,909,365,17
Magdalena Rybarikova,1410,840,1316,561,103,3193,1830,3226,1361,170,470,266,439,172,23
Amanda Anisimova,0,0,0,0,0,92,46,79,34,0,118,60,116,56,4
Maria Sakkari,662,387,651,273,26,2155,1165,2282,1002,65,1093,590,1156,503,22
Yafan Wang,0,0,0,0,0,1417,744,1438,643,23,0,0,0,0,0
Agnieszka Radwanska,2000,1232,1918,857,78,7637,4534,7614,3592,281,1231,657,1225,595,39
Kristina Mladenovic,2480,1537,2334,959,223,6920,3923,7036,3023,381,3313,1964,3322,1476,131
Bernarda Pera,0,0,0,0,0,97,43,92,46,3,0,0,0,0,0
