surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Grass,Angelique Kerber,0,0,0,0,0,Daria Kasatkina,0,0,0,0,0,0
Grass,Julia Goerges,59,41,73,36,4,Kiki Bertens,71,35,63,30,4,2
Grass,Serena Williams,0,0,0,0,0,Camila Giorgi,0,0,0,0,0,0
Grass,Angelique Kerber,81,38,59,24,1,Jelena Ostapenko,90,53,117,51,4,2
Grass,Serena Williams,0,0,0,0,0,Julia Goerges,0,0,0,0,0,0
Grass,Angelique Kerber,0,0,0,0,0,Serena Williams,0,0,0,0,0,0
Hard,Serena Williams,0,0,0,0,0,Kaia Kanepi,0,0,0,0,0,0
Hard,Karolina Pliskova,1137,699,1202,514,98,Ashleigh Barty,833,464,706,286,60,28
Hard,Sloane Stephens,206,116,220,101,3,Elise Mertens,225,123,242,98,9,7
Hard,Anastasija Sevastova,743,405,697,300,19,Elina Svitolina,870,508,911,431,37,25
Hard,Carla Suarez Navarro,151,91,174,78,4,Maria Sharapova,86,48,78,41,8,4
Hard,Madison Keys,358,212,325,132,22,Dominika Cibulkova,454,250,453,210,4,11
Hard,Naomi Osaka,0,0,0,0,0,Aryna Sabalenka,0,0,0,0,0,0
Hard,Lesia Tsurenko,0,0,0,0,0,Marketa Vondrousova,0,0,0,0,0,0
Hard,Serena Williams,300,192,364,169,30,Karolina Pliskova,385,232,381,187,31,11
Hard,Anastasija Sevastova,491,284,465,179,27,Sloane Stephens,705,406,680,270,15,19
Hard,Madison Keys,57,40,51,23,5,Carla Suarez Navarro,69,39,107,45,2,2
Hard,Naomi Osaka,363,198,363,135,13,Lesia Tsurenko,337,196,367,153,10,10
Hard,Serena Williams,135,83,135,61,19,Anastasija Sevastova,115,70,105,39,8,4
Hard,Naomi Osaka,235,128,241,99,9,Madison Keys,204,135,219,93,19,6
Hard,Naomi Osaka,114,68,116,44,10,Serena Williams,119,78,117,54,20,5
Hard,Simona Halep,329,189,317,146,9,Naomi Osaka,124,75,120,42,13,7
Hard,Karolina Pliskova,1290,794,1370,613,121,Barbora Strycova,1074,597,1031,496,38,35
Hard,Angelique Kerber,163,104,172,72,6,Su Wei Hsieh,200,110,181,66,2,5
Hard,Madison Keys,575,338,543,229,32,Caroline Garcia,604,348,615,271,33,14
Hard,Elise Mertens,53,23,45,16,3,Petra Martic,70,38,67,22,2,2
Hard,Elina Svitolina,0,0,0,0,0,Denisa Allertova,0,0,0,0,0,0
Hard,Carla Suarez Navarro,528,311,607,278,11,Anett Kontaveit,485,296,531,219,16,14
Hard,Caroline Wozniacki,697,403,731,380,18,Magdalena Rybarikova,771,410,773,335,27,22
Hard,Simona Halep,586,342,689,282,17,Karolina Pliskova,1126,696,1153,491,104,29
Hard,Angelique Kerber,807,457,863,357,14,Madison Keys,611,393,566,241,45,21
Hard,Elise Mertens,427,236,462,187,16,Elina Svitolina,738,431,784,375,26,16
Hard,Caroline Wozniacki,1005,584,998,440,50,Carla Suarez Navarro,595,313,648,259,10,23
Hard,Simona Halep,818,484,868,390,24,Angelique Kerber,963,572,1084,456,14,28
Hard,Caroline Wozniacki,866,527,840,392,36,Elise Mertens,830,468,794,346,35,25
Hard,Caroline Wozniacki,1180,661,1077,506,43,Simona Halep,1172,656,1226,560,26,36
Hard,Daria Kasatkina,1155,603,1132,518,30,Caroline Wozniacki,1375,814,1353,634,49,36
Hard,Angelique Kerber,1131,644,1226,506,35,Caroline Garcia,955,549,932,389,56,26
Hard,Carla Suarez Navarro,0,0,0,0,0,Danielle Collins,0,0,0,0,0,0
Hard,Venus Williams,660,371,629,297,26,Anastasija Sevastova,852,486,843,354,31,22
Hard,Karolina Pliskova,0,0,0,0,0,Amanda Anisimova,0,0,0,0,0,0
Hard,Naomi Osaka,126,74,143,62,7,Maria Sakkari,112,53,111,42,1,5
Hard,Petra Martic,0,0,0,0,0,Marketa Vondrousova,0,0,0,0,0,0
Hard,Simona Halep,667,366,745,350,17,Qiang Wang,718,414,786,366,27,22
Hard,Daria Kasatkina,466,235,456,199,9,Angelique Kerber,772,438,824,353,19,16
Hard,Venus Williams,449,272,451,191,28,Carla Suarez Navarro,371,189,420,162,8,12
Hard,Naomi Osaka,369,211,347,148,20,Karolina Pliskova,418,267,430,194,41,13
Hard,Simona Halep,0,0,0,0,0,Petra Martic,0,0,0,0,0,0
Hard,Daria Kasatkina,1101,597,1100,530,29,Venus Williams,845,460,862,423,44,26
Hard,Naomi Osaka,124,75,120,42,13,Simona Halep,329,189,317,146,9,7
Hard,Naomi Osaka,683,377,665,252,29,Daria Kasatkina,705,377,726,322,16,21
Hard,Danielle Collins,0,0,0,0,0,Monica Puig,0,0,0,0,0,0
Hard,Venus Williams,583,326,597,258,39,Johanna Konta,505,323,565,237,49,16
Hard,Elina Svitolina,1129,633,1279,601,57,Ashleigh Barty,871,533,824,343,68,27
Hard,Jelena Ostapenko,514,267,581,286,10,Petra Kvitova,526,323,511,206,35,13
Hard,Angelique Kerber,69,36,67,28,1,Yafan Wang,64,25,74,36,0,2
Hard,Sloane Stephens,770,409,718,305,5,Garbine Muguruza,711,388,788,354,22,24
Hard,Karolina Pliskova,372,250,420,187,50,Zarina Diyas,222,136,212,92,10,9
Hard,Victoria Azarenka,0,0,0,0,0,Agnieszka Radwanska,0,0,0,0,0,0
Hard,Danielle Collins,0,0,0,0,0,Venus Williams,0,0,0,0,0,0
Hard,Jelena Ostapenko,1010,533,1051,467,46,Elina Svitolina,977,586,1029,512,42,31
Hard,Sloane Stephens,246,146,226,102,5,Angelique Kerber,329,189,360,147,14,7
Hard,Victoria Azarenka,0,0,0,0,0,Karolina Pliskova,0,0,0,0,0,0
Hard,Jelena Ostapenko,73,44,87,38,11,Danielle Collins,48,17,45,18,1,2
Hard,Sloane Stephens,0,0,0,0,0,Victoria Azarenka,0,0,0,0,0,0
Hard,Sloane Stephens,529,287,535,226,9,Jelena Ostapenko,536,258,564,268,12,15
Clay,Caroline Wozniacki,156,82,113,57,4,Anastasija Sevastova,153,86,162,73,4,4
Clay,Anett Kontaveit,193,116,191,77,9,Venus Williams,80,45,70,25,2,3
Clay,Elina Svitolina,218,121,177,81,5,Daria Kasatkina,67,28,57,22,0,3
Clay,Angelique Kerber,0,0,0,0,0,Maria Sakkari,0,0,0,0,0,0
Clay,Jelena Ostapenko,96,50,100,52,3,Johanna Konta,53,24,57,21,1,2
Clay,Maria Sharapova,0,0,0,0,0,Daria Saville,0,0,0,0,0,0
Clay,Caroline Garcia,0,0,0,0,0,Sloane Stephens,0,0,0,0,0,0
Clay,Simona Halep,0,0,0,0,0,Madison Keys,0,0,0,0,0,0
Clay,Anett Kontaveit,64,43,62,32,5,Caroline Wozniacki,129,69,105,50,2,2
Clay,Elina Svitolina,0,0,0,0,0,Angelique Kerber,0,0,0,0,0,0
Clay,Maria Sharapova,155,94,185,83,7,Jelena Ostapenko,106,59,89,39,6,3
Clay,Simona Halep,143,95,151,67,3,Caroline Garcia,151,89,163,72,14,4
Clay,Elina Svitolina,306,176,268,127,7,Anett Kontaveit,305,180,298,126,15,8
Clay,Simona Halep,259,163,272,116,6,Maria Sharapova,215,141,255,111,23,6
Clay,Elina Svitolina,119,73,122,64,7,Simona Halep,136,84,165,79,0,4
Hard,Caroline Wozniacki,630,379,624,277,25,Anett Kontaveit,731,400,764,295,19,21
Hard,Katerina Siniakova,233,120,234,103,6,Kiki Bertens,169,91,164,70,14,6
Hard,Aryna Sabalenka,136,82,144,63,12,Caroline Garcia,128,81,115,51,9,4
Hard,Qiang Wang,669,357,756,349,24,Karolina Pliskova,986,569,1011,440,79,24
Hard,Naomi Osaka,221,136,254,114,22,Julia Goerges,335,215,328,135,30,10
Hard,Shuai Zhang,483,269,461,184,21,Angelique Kerber,399,263,485,210,8,14
Hard,Dominika Cibulkova,521,273,522,222,5,Sloane Stephens,388,235,403,174,10,11
Hard,Anastasija Sevastova,700,394,691,296,23,Donna Vekic,476,248,436,197,17,17
Hard,Caroline Wozniacki,884,496,904,427,26,Katerina Siniakova,877,472,798,320,27,26
Hard,Qiang Wang,524,299,531,252,24,Aryna Sabalenka,345,207,379,175,27,11
Hard,Naomi Osaka,326,176,338,148,18,Shuai Zhang,490,271,484,208,29,14
Hard,Anastasija Sevastova,543,308,575,244,21,Dominika Cibulkova,807,443,761,324,7,17
Hard,Caroline Wozniacki,1282,767,1221,563,52,Qiang Wang,925,493,973,459,26,32
Hard,Anastasija Sevastova,127,71,125,58,3,Naomi Osaka,151,90,121,53,13,4
