surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Serena Williams,1638,1070,1681,828,179,Caroline Wozniacki,1453,824,1378,640,24,52
Hard,Venus Williams,514,288,504,220,22,Carla Suarez Navarro,479,256,474,210,2,14
Hard,Agnieszka Radwanska,1689,960,1708,812,62,Victoria Azarenka,1628,904,1713,888,41,55
Hard,Kate Makarova,216,134,216,111,14,Coco Vandeweghe,172,97,200,100,22,7
Hard,Venus Williams,940,534,982,475,36,Serena Williams,1446,943,1471,718,164,41
Hard,Agnieszka Radwanska,1695,965,1715,802,50,Kate Makarova,1104,640,1090,455,51,42
Hard,Agnieszka Radwanska,786,467,740,345,31,Venus Williams,654,366,660,315,27,22
Hard,Alize Cornet,741,375,684,309,28,Kirsten Flipkens,1185,638,1219,492,57,28
Hard,Eugenie Bouchard,71,33,57,21,1,Alison Riske Amritraj,147,94,159,68,4,3
Hard,Timea Bacsinszky,62,30,62,26,0,Maria Sharapova,209,133,227,103,6,4
Hard,Caroline Wozniacki,94,55,97,45,5,Casey Dellacqua,64,32,47,14,0,2
Hard,Caroline Garcia,0,0,0,0,0,Coco Vandeweghe,0,0,0,0,0,0
Hard,Petra Kvitova,611,355,623,299,23,Karolina Pliskova,397,232,362,125,30,15
Hard,Angelique Kerber,90,48,104,50,2,Barbora Strycova,74,42,85,35,0,2
Hard,Elina Svitolina,59,29,67,28,1,Garbine Muguruza,157,95,147,57,5,4
Hard,Eugenie Bouchard,732,406,737,348,23,Alize Cornet,617,327,599,259,19,19
Hard,Caroline Wozniacki,122,76,143,72,2,Timea Bacsinszky,62,30,62,26,0,3
Hard,Petra Kvitova,484,262,474,225,40,Caroline Garcia,177,90,135,36,10,9
Hard,Elina Svitolina,461,236,437,182,14,Angelique Kerber,1169,663,1099,481,42,27
Hard,Eugenie Bouchard,733,392,743,310,16,Caroline Wozniacki,883,524,857,382,20,24
Hard,Petra Kvitova,656,370,638,272,37,Elina Svitolina,229,115,217,86,8,18
Hard,Petra Kvitova,862,496,870,372,43,Eugenie Bouchard,660,352,603,271,20,21
Clay,Serena Williams,423,297,446,232,39,Varvara Lepchenko,349,173,413,180,6,15
Clay,Shuai Zhang,0,0,0,0,0,Christina Mchale,0,0,0,0,0,0
Clay,Carla Suarez Navarro,192,84,186,81,3,Simona Halep,152,69,161,54,2,9
Clay,Ana Ivanovic,113,63,112,52,4,Maria Sharapova,76,46,104,45,4,5
Clay,Jelena Jankovic,187,108,190,93,5,Flavia Pennetta,228,136,226,109,8,11
Clay,Agnieszka Radwanska,116,66,140,69,3,Francesca Schiavone,69,43,54,26,1,3
Clay,Sara Errani,106,50,143,73,0,Petra Cetkovska,78,37,93,43,1,4
Clay,Na Li,465,252,485,240,15,Samantha Stosur,311,178,308,119,6,11
Clay,Serena Williams,0,0,0,0,0,Shuai Zhang,0,0,0,0,0,0
Clay,Ana Ivanovic,66,38,49,26,1,Carla Suarez Navarro,203,108,168,81,1,5
Clay,Jelena Jankovic,159,82,141,72,3,Agnieszka Radwanska,269,160,300,144,6,6
Clay,Sara Errani,424,201,448,204,0,Na Li,545,301,505,234,19,14
Clay,Serena Williams,302,195,300,150,27,Ana Ivanovic,252,132,245,108,14,8
Clay,Sara Errani,528,284,509,234,1,Jelena Jankovic,879,480,877,391,24,24
Clay,Serena Williams,963,635,984,500,98,Sara Errani,893,453,938,453,2,41
Hard,Petra Cetkovska,98,53,70,31,8,Na Li,45,32,57,31,4,2
Hard,Angelique Kerber,1031,566,1059,485,39,Klara Koukalova,0,0,0,0,0,31
Hard,Petra Kvitova,1087,644,1084,494,53,Lucie Safarova,765,450,823,319,34,33
Hard,Jelena Jankovic,146,86,133,68,4,Alisa Kleybanova,137,71,123,52,11,5
Hard,Simona Halep,538,300,495,252,15,Annika Beck,529,252,531,225,7,17
Hard,Sara Errani,555,295,543,260,0,Monica Niculescu,450,257,506,236,6,20
Hard,Yanina Wickmayer,173,104,166,74,0,Jana Cepelova,166,84,143,49,0,4
Hard,Agnieszka Radwanska,109,72,137,69,6,Mirjana Lucic,44,34,46,23,9,4
Hard,Angelique Kerber,64,38,76,40,2,Petra Cetkovska,60,31,45,12,0,2
Hard,Jelena Jankovic,1258,694,1238,547,30,Petra Kvitova,1424,795,1458,669,63,38
Hard,Simona Halep,792,450,783,394,27,Sara Errani,1304,678,1343,669,3,38
Hard,Agnieszka Radwanska,710,414,682,297,27,Yanina Wickmayer,749,414,686,293,19,24
Hard,Angelique Kerber,1908,1085,1920,824,65,Jelena Jankovic,1886,1067,1803,822,58,54
Hard,Simona Halep,1190,661,1230,591,40,Agnieszka Radwanska,1668,958,1645,753,65,52
Hard,Simona Halep,1177,664,1227,601,39,Angelique Kerber,1745,993,1722,731,62,49
Hard,Serena Williams,739,465,720,373,72,Flavia Pennetta,598,308,635,289,21,26
Hard,Jelena Jankovic,944,483,946,428,27,Sloane Stephens,925,514,958,395,16,26
Hard,Agnieszka Radwanska,1108,637,1175,545,21,Sabine Lisicki,879,496,883,366,64,31
Hard,Caroline Wozniacki,1148,668,1076,492,24,Angelique Kerber,1282,745,1307,546,31,34
Hard,Ana Ivanovic,895,514,894,417,36,Svetlana Kuznetsova,1023,563,1108,483,58,30
Hard,Elina Svitolina,112,52,121,48,2,Carla Suarez Navarro,561,279,554,264,4,10
Hard,Maria Sharapova,675,406,751,331,39,Anastasia Pavlyuchenkova,374,224,362,139,11,19
Hard,Simona Halep,519,328,555,263,21,Lucie Safarova,627,375,635,250,22,20
Hard,Serena Williams,1703,1091,1631,801,166,Jelena Jankovic,1388,763,1323,629,32,50
Hard,Caroline Wozniacki,980,565,944,429,20,Agnieszka Radwanska,1137,646,1158,489,34,35
Hard,Ana Ivanovic,797,448,833,388,43,Elina Svitolina,486,269,522,220,15,25
Hard,Maria Sharapova,974,586,1019,459,57,Simona Halep,823,431,893,402,21,33
Hard,Serena Williams,1638,1070,1681,828,179,Caroline Wozniacki,1453,824,1378,640,24,52
Hard,Ana Ivanovic,501,295,462,205,22,Maria Sharapova,575,350,620,302,38,21
Hard,Serena Williams,2031,1294,1987,993,213,Ana Ivanovic,1649,911,1655,756,80,62
Hard,Ana Ivanovic,1649,911,1655,756,80,Serena Williams,2031,1294,1987,993,213,62
Hard,Eugenie Bouchard,144,94,166,76,6,Casey Dellacqua,165,87,156,61,3,6
Hard,Na Li,1336,762,1277,610,41,Kate Makarova,1005,605,1021,440,55,34
Hard,Flavia Pennetta,589,299,579,252,16,Angelique Kerber,849,480,807,345,24,21
Hard,Simona Halep,1094,579,1151,548,30,Jelena Jankovic,1176,649,1176,544,24,34
Hard,Dominika Cibulkova,431,227,413,170,5,Maria Sharapova,818,467,839,363,33,23
Hard,Agnieszka Radwanska,1178,649,1246,530,34,Garbine Muguruza,802,459,748,302,24,29
Hard,Victoria Azarenka,1101,613,1133,571,29,Sloane Stephens,1177,646,1198,514,31,37
Hard,Eugenie Bouchard,479,246,431,195,13,Ana Ivanovic,436,257,437,192,20,17
Hard,Na Li,690,387,737,334,25,Flavia Pennetta,488,246,446,201,25,18
Hard,Dominika Cibulkova,1039,557,1020,441,10,Simona Halep,649,317,619,264,14,28
Hard,Agnieszka Radwanska,1689,960,1708,812,62,Victoria Azarenka,1628,904,1713,888,41,55
Hard,Na Li,1186,678,1254,576,35,Eugenie Bouchard,545,282,542,216,16,28
Hard,Dominika Cibulkova,1332,724,1335,587,15,Agnieszka Radwanska,1817,1029,1914,850,42,48
Hard,Na Li,1357,744,1326,600,35,Dominika Cibulkova,1052,571,1014,435,12,37
Clay,Garbine Muguruza,0,0,0,0,0,Pauline Parmentier,0,0,0,0,0,0
Clay,Maria Sharapova,340,225,345,178,21,Samantha Stosur,525,303,530,245,20,14
Clay,Carla Suarez Navarro,0,0,0,0,0,Ajla Tomljanovic,0,0,0,0,0,0
Clay,Eugenie Bouchard,93,43,99,28,0,Angelique Kerber,179,102,136,61,5,5
Clay,Svetlana Kuznetsova,241,127,282,128,12,Lucie Safarova,154,82,227,93,8,7
Clay,Simona Halep,0,0,0,0,0,Sloane Stephens,54,32,73,42,0,3
Clay,Sara Errani,528,284,509,234,1,Jelena Jankovic,879,480,877,391,24,24
Clay,Andrea Petkovic,0,0,0,0,0,Kiki Bertens,0,0,0,0,0,0
Clay,Maria Sharapova,108,70,133,68,3,Garbine Muguruza,52,21,40,13,0,3
Clay,Eugenie Bouchard,219,115,186,89,3,Carla Suarez Navarro,427,232,434,211,4,12
Clay,Simona Halep,149,74,165,66,1,Svetlana Kuznetsova,130,73,171,74,3,5
Clay,Andrea Petkovic,0,0,0,0,0,Sara Errani,0,0,0,0,0,0
Clay,Maria Sharapova,303,176,307,155,14,Eugenie Bouchard,170,91,178,78,4,8
Clay,Simona Halep,94,52,95,51,2,Andrea Petkovic,64,35,58,34,0,2
Clay,Maria Sharapova,482,269,505,211,17,Simona Halep,291,147,245,102,7,11
Grass,Eugenie Bouchard,0,0,0,0,0,Alize Cornet,0,0,0,0,0,0
Grass,Angelique Kerber,0,0,0,0,0,Maria Sharapova,0,0,0,0,0,0
Grass,Simona Halep,0,0,0,0,0,Zarina Diyas,0,0,0,0,0,0
Grass,Sabine Lisicki,0,0,0,0,0,Yaroslava Shvedova,0,0,0,0,0,0
Grass,Lucie Safarova,0,0,0,0,0,Tereza Smitkova,0,0,0,0,0,0
Grass,Kate Makarova,0,0,0,0,0,Agnieszka Radwanska,0,0,0,0,0,0
Grass,Petra Kvitova,0,0,0,0,0,Shuai Peng,0,0,0,0,0,0
Grass,Barbora Strycova,0,0,0,0,0,Caroline Wozniacki,0,0,0,0,0,0
Grass,Eugenie Bouchard,0,0,0,0,0,Angelique Kerber,0,0,0,0,0,0
Grass,Simona Halep,0,0,0,0,0,Sabine Lisicki,0,0,0,0,0,0
Grass,Lucie Safarova,0,0,0,0,0,Kate Makarova,0,0,0,0,0,0
Grass,Petra Kvitova,0,0,0,0,0,Barbora Strycova,0,0,0,0,0,0
Grass,Eugenie Bouchard,82,40,80,36,2,Simona Halep,204,104,225,120,4,4
Grass,Petra Kvitova,0,0,0,0,0,Lucie Safarova,0,0,0,0,0,0
Grass,Petra Kvitova,145,90,129,55,10,Eugenie Bouchard,82,40,80,36,2,3
Hard,Serena Williams,46,35,49,25,5,Kaia Kanepi,154,88,134,44,7,3
Hard,Flavia Pennetta,0,0,0,0,0,Casey Dellacqua,0,0,0,0,0,0
Hard,Victoria Azarenka,0,0,0,0,0,Aleksandra Krunic,0,0,0,0,0,0
Hard,Kate Makarova,597,325,560,240,25,Eugenie Bouchard,608,324,561,252,12,19
Hard,Belinda Bencic,63,37,64,22,3,Jelena Jankovic,89,54,85,46,1,2
Hard,Shuai Peng,441,231,421,175,8,Lucie Safarova,435,260,472,174,15,14
Hard,Caroline Wozniacki,225,136,238,114,8,Maria Sharapova,517,297,553,227,17,12
Hard,Sara Errani,0,0,0,0,0,Mirjana Lucic,0,0,0,0,0,0
Hard,Serena Williams,739,465,720,373,72,Flavia Pennetta,598,308,635,289,21,26
Hard,Kate Makarova,816,439,729,303,33,Victoria Azarenka,1003,533,1012,536,24,27
Hard,Shuai Peng,314,159,301,119,8,Belinda Bencic,114,61,115,41,3,6
Hard,Caroline Wozniacki,1178,652,1173,522,20,Sara Errani,1371,701,1370,663,1,37
Hard,Serena Williams,1849,1194,1808,924,199,Kate Makarova,1325,778,1315,580,64,50
Hard,Caroline Wozniacki,658,402,637,286,10,Shuai Peng,627,337,604,260,10,17
Hard,Serena Williams,1638,1070,1681,828,179,Caroline Wozniacki,1453,824,1378,640,24,52
Hard,Serena Williams,1638,1070,1681,828,179,Caroline Wozniacki,1453,824,1378,640,24,52
Hard,Simona Halep,1190,661,1230,591,40,Agnieszka Radwanska,1668,958,1645,753,65,52
Hard,Serena Williams,1225,830,1244,620,150,Simona Halep,991,528,999,484,19,43
Hard,Caroline Wozniacki,980,565,944,429,20,Agnieszka Radwanska,1137,646,1158,489,34,35
Hard,Caroline Wozniacki,1054,588,1079,472,17,Petra Kvitova,1188,702,1197,528,64,33
Hard,Agnieszka Radwanska,2250,1283,2339,1060,67,Petra Kvitova,2175,1214,2241,984,95,68
Hard,Caroline Wozniacki,225,136,238,114,8,Maria Sharapova,517,297,553,227,17,12
Hard,Maria Sharapova,1113,675,1206,551,65,Agnieszka Radwanska,1410,793,1386,641,52,42
Hard,Petra Kvitova,1862,1060,1884,817,83,Maria Sharapova,1202,745,1282,616,68,52
Hard,Ana Ivanovic,436,257,437,192,20,Eugenie Bouchard,479,246,431,195,13,17
Hard,Ana Ivanovic,1067,617,1095,544,58,Simona Halep,922,508,860,407,15,36
Hard,Simona Halep,730,421,805,356,29,Eugenie Bouchard,855,450,788,363,20,25
Hard,Serena Williams,2031,1294,1987,993,213,Ana Ivanovic,1649,911,1655,756,80,62
Hard,Serena Williams,1035,676,1038,494,99,Eugenie Bouchard,722,384,695,302,14,29
Hard,Simona Halep,991,528,999,484,19,Serena Williams,1225,830,1244,620,150,43
