surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Clay,Carlos Alcaraz,290,169,287,114,10,Alexander Zverev,672,420,776,321,93,14
Clay,Carlos Alcaraz,501,288,527,226,11,Novak Djokovic,1350,889,1409,628,118,27
Clay,Alexander Zverev,3187,2087,3434,1325,397,Stefanos Tsitsipas,3613,2340,3562,1303,260,85
Clay,Novak Djokovic,1384,940,1331,536,114,Hubert Hurkacz,947,592,875,317,81,27
Clay,Carlos Alcaraz,301,185,301,117,15,Rafael Nadal,357,266,412,187,26,10
Clay,Stefanos Tsitsipas,2551,1739,2514,887,227,Andrey Rublev,2621,1719,2839,1168,206,66
Clay,Alexander Zverev,2474,1548,2648,1097,258,Felix Auger Aliassime,2012,1254,1916,694,158,59
Clay,Novak Djokovic,0,0,0,0,0,Andy Murray,0,0,0,0,0,0
Clay,Hubert Hurkacz,1003,627,1026,383,96,Dusan Lajovic,753,465,758,274,21,23
Clay,Rafael Nadal,1713,1166,1758,730,86,David Goffin,964,552,939,351,46,36
Clay,Carlos Alcaraz,480,271,469,201,5,Cameron Norrie,894,528,859,309,54,17
Clay,Andrey Rublev,1157,752,1239,461,93,Daniel Evans,593,352,581,229,10,23
Clay,Stefanos Tsitsipas,2332,1575,2341,819,180,Grigor Dimitrov,1958,1268,1947,713,115,51
Clay,Felix Auger Aliassime,1447,900,1358,438,144,Jannik Sinner,1203,715,1209,461,40,36
Clay,Alexander Zverev,2568,1675,2796,1091,256,Lorenzo Musetti,1377,827,1357,499,22,48
Clay,Novak Djokovic,4050,2685,4171,1740,332,Stefanos Tsitsipas,4022,2706,4024,1484,306,103
Clay,Novak Djokovic,3829,2619,4232,1797,228,Casper Ruud,2417,1612,2530,954,119,84
Clay,Stefanos Tsitsipas,3613,2340,3562,1303,260,Alexander Zverev,3187,2087,3434,1325,397,85
Clay,Novak Djokovic,3332,2245,3355,1354,240,Felix Auger Aliassime,2228,1409,2128,769,176,69
Clay,Casper Ruud,2214,1464,2259,906,130,Denis Shapovalov,2758,1723,2690,953,218,65
Clay,Stefanos Tsitsipas,3347,2155,3292,1188,279,Jannik Sinner,1549,927,1517,584,64,58
Clay,Alexander Zverev,2504,1644,2690,1116,238,Cristian Garin,1645,987,1651,652,54,51
Clay,Novak Djokovic,1406,913,1459,612,86,Stan Wawrinka,482,296,440,149,34,20
Clay,Felix Auger Aliassime,251,144,251,104,8,Marcos Giron,114,58,105,38,6,4
Clay,Denis Shapovalov,2240,1412,2254,775,209,Rafael Nadal,1748,1157,1834,830,98,56
Clay,Casper Ruud,0,0,0,0,0,Jenson Brooksby,0,0,0,0,0,0
Clay,Jannik Sinner,1176,723,1155,457,44,Filip Krajinovic,1078,692,1099,432,43,30
Clay,Stefanos Tsitsipas,2023,1335,1984,713,167,Karen Khachanov,1572,971,1524,548,110,45
Clay,Cristian Garin,996,632,934,339,46,Marin Cilic,961,618,916,319,109,24
Clay,Alexander Zverev,1621,1024,1744,693,165,Alex De Minaur,1235,728,1276,469,31,34
Clay,Novak Djokovic,4383,2977,4610,1922,333,Diego Schwartzman,2783,1632,2811,1113,35,89
Clay,Rafael Nadal,2213,1470,2233,943,122,Felix Auger Aliassime,1899,1204,1885,672,152,57
Clay,Alexander Zverev,668,435,718,289,88,Bernabe Zapata Miralles,239,133,202,87,3,10
Clay,Carlos Alcaraz,277,167,274,112,5,Karen Khachanov,558,359,531,200,41,10
Clay,Casper Ruud,1287,807,1214,438,78,Hubert Hurkacz,1439,891,1375,479,144,35
Clay,Holger Rune,138,70,149,53,2,Stefanos Tsitsipas,255,186,284,127,23,8
Clay,Andrey Rublev,1335,841,1394,536,103,Jannik Sinner,777,451,751,288,37,26
Clay,Marin Cilic,731,451,696,229,58,Daniil Medvedev,1692,1083,1751,642,172,31
Clay,Rafael Nadal,2548,1706,2504,1019,131,Novak Djokovic,3464,2381,3576,1436,241,76
Clay,Alexander Zverev,672,420,776,321,93,Carlos Alcaraz,290,169,287,114,10,14
Clay,Casper Ruud,526,353,544,221,34,Holger Rune,386,233,403,149,17,12
Clay,Marin Cilic,654,420,623,176,38,Andrey Rublev,1602,1086,1723,661,156,29
Clay,Rafael Nadal,2900,1913,3025,1267,131,Alexander Zverev,3909,2500,4144,1581,417,82
Clay,Casper Ruud,955,605,951,330,44,Marin Cilic,1065,674,1098,399,91,27
Clay,Rafael Nadal,3592,2399,3720,1551,196,Casper Ruud,2213,1395,2147,758,141,81
Grass,Novak Djokovic,0,0,0,0,0,Tim Van Rijthoven,0,0,0,0,0,0
Grass,Jannik Sinner,0,0,0,0,0,Carlos Alcaraz,0,0,0,0,0,0
Grass,David Goffin,0,0,0,0,0,Frances Tiafoe,0,0,0,0,0,0
Grass,Cameron Norrie,0,0,0,0,0,Tommy Paul,0,0,0,0,0,0
Grass,Cristian Garin,168,98,169,60,14,Alex De Minaur,189,115,176,62,6,4
Grass,Nick Kyrgios,0,0,0,0,0,Brandon Nakashima,0,0,0,0,0,0
Grass,Taylor Fritz,0,0,0,0,0,Jason Kubler,0,0,0,0,0,0
Grass,Rafael Nadal,0,0,0,0,0,Botic Van De Zandschulp,0,0,0,0,0,0
Grass,Novak Djokovic,327,238,382,165,37,Jannik Sinner,385,217,386,157,12,8
Grass,Cameron Norrie,294,199,252,60,24,David Goffin,529,328,507,178,40,10
Grass,Nick Kyrgios,0,0,0,0,0,Cristian Garin,0,0,0,0,0,0
Grass,Rafael Nadal,92,65,92,41,10,Taylor Fritz,55,41,51,19,6,2
Grass,Novak Djokovic,1530,1090,1692,671,122,Cameron Norrie,518,350,462,144,33,23
Grass,Nick Kyrgios,0,0,0,0,0,Rafael Nadal,0,0,0,0,0,0
