,D-ATP14,D-WTA18,D-ATP18,D-WTA22,D-ATP22,C-ATP14,C-WTA18,C-ATP18,C-WTA22,C-ATP22,M-ATP14,M-WTA18,M-ATP18,M-WTA22,M-ATP22,E-ATP14,E-WTA18,E-ATP18,E-WTA22,E-ATP22
H2H+CO+OAF+PSU.E,40.545,48.803,42.147,32.416,44.147,0.73856,0.66781,0.74088,0.63889,0.69397,,,,,,0.63233,0.61977,0.625,0.61488,0.65
H2H+CO+OAF+PSD.E,40.242,48.789,42.11,32.394,43.965,0.7291,0.67128,0.73162,0.63256,0.69456,,,,,,0.62105,0.61153,0.6365,0.61196,0.63197
H2H+CO+CO(OAF)+PSU.E,40.685,48.808,42.1,32.557,44.075,0.75,0.65385,0.74725,0.66047,0.69333,,,,,,0.69474,0.60673,0.67101,0.60686,0.65492
H2H+CO+CO(OAF)+PSD.E,40.336,48.793,42.023,32.533,43.828,0.74576,0.65734,0.73801,0.65094,0.69264,,,,,,0.70226,0.61496,0.68328,0.61342,0.59344
H2H+CO+PSU.E+PSD.E,40.89,48.89,42.383,32.603,44.306,0.71429,0.64353,0.71667,0.62069,0.65399,,,,,,0.68421,0.59643,0.67255,0.60467,0.57705
H2H+OAF+CO(OAF)+PSU.E,40.112,48.675,41.884,32.491,43.895,0.75602,0.66667,0.75175,0.66055,0.70213,,,,,,0.6391,0.62526,0.63267,0.61123,0.6541
H2H+OAF+CO(OAF)+PSD.E,39.812,48.663,41.862,32.471,43.728,0.74608,0.6678,0.74648,0.65,0.70042,,,,,,0.62932,0.62663,0.63727,0.60977,0.63934
H2H+OAF+PSU.E+PSD.E,40.325,48.78,42.145,32.571,44.116,0.73765,0.66667,0.7446,0.63025,0.69295,,,,,,0.62256,0.60329,0.64954,0.60832,0.64262
H2H+CO(OAF)+PSU.E+PSD.E,40.285,48.729,41.938,32.643,43.922,0.74921,0.6532,0.7509,0.65753,0.69231,,,,,,0.69323,0.61496,0.67715,0.61488,0.59098
CO+OAF+CO(OAF)+PSU.E,40.778,48.883,41.907,32.635,44.052,0.74817,0.65714,0.72103,0.67336,0.6955,,,,,,0.63759,0.61839,0.63267,0.62217,0.63852
CO+OAF+CO(OAF)+PSD.E,40.508,48.867,41.875,32.612,43.889,0.7578,0.65736,0.71635,0.67121,0.69217,,,,,,0.62932,0.62526,0.6388,0.62071,0.62377
CO+OAF+PSU.E+PSD.E,40.901,48.941,42.121,32.664,44.227,0.74816,0.65606,0.71304,0.66281,0.68885,,,,,,0.61579,0.60124,0.65951,0.61269,0.62951
CO+CO(OAF)+PSU.E+PSD.E,40.959,48.915,42.018,32.746,44.111,0.7373,0.64548,0.71067,0.65152,0.6711,,,,,,0.69098,0.60192,0.68021,0.61488,0.58279
OAF+CO(OAF)+PSU.E+PSD.E,40.438,48.801,41.79,32.678,43.941,0.75488,0.65271,0.71955,0.66494,0.68145,,,,,,0.62632,0.62869,0.66334,0.61269,0.63279
CO+OAF+CO(OAF)+PSU.E+PSD.E,40.655,48.858,41.88,32.627,43.992,0.75841,0.6558,0.72114,0.67222,0.69134,0.68579,0.60608,0.67413,0.60781,0.64072,0.63008,0.61702,0.65951,0.61196,0.63279
H2H+OAF+CO(OAF)+PSU.E+PSD.E,40.093,48.684,41.823,32.501,43.834,0.75241,0.66549,0.75746,0.66351,0.69778,0.70943,0.63528,0.69467,0.63241,0.65423,0.62857,0.62251,0.65951,0.61561,0.64098
H2H+CO+CO(OAF)+PSU.E+PSD.E,40.542,48.787,42.01,32.564,43.98,0.74825,0.65704,0.74717,0.65865,0.69091,0.68718,0.60229,0.66535,0.60229,0.63124,0.68722,0.61084,0.67945,0.60904,0.5918
H2H+CO+OAF+PSU.E+PSD.E,40.49,48.802,42.098,32.471,44.076,0.7363,0.67021,0.7406,0.63981,0.69163,0.69266,0.6042,0.67807,0.61714,0.63645,0.61805,0.60535,0.66028,0.60832,0.63361
H2H+CO+OAF+CO(OAF)+PSD.E,40.115,48.743,41.891,32.422,43.778,0.74653,0.67033,0.74621,0.6601,0.69955,0.69184,0.63366,0.68209,0.61413,0.6605,0.62707,0.62594,0.64034,0.62436,0.63115
H2H+CO+OAF+CO(OAF)+PSU.E,40.356,48.754,41.914,32.439,43.924,0.75338,0.66788,0.75564,0.66342,0.70046,0.69169,0.63366,0.68115,0.61611,0.65755,0.63158,0.62388,0.6319,0.62363,0.65
H2H+CO+OAF+CO(OAF)+PSU.E+PSD.E,40.31,48.744,41.873,32.46,43.875,0.75177,0.66917,0.75581,0.665,0.69811,,,,,,0.62481,0.62114,0.66411,0.61196,0.63852
