P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score,SetNo
M Fucsovics,M Polmans,hard,1,2,0,15,5
M Fucsovics,M Polmans,hard,1,1,15,15,5
M Fucsovics,M Polmans,hard,1,2,15,30,5
M Fucsovics,M Polmans,hard,1,1,30,30,5
M Fucsovics,M Polmans,hard,1,2,30,40,5
M Fucsovics,M Polmans,hard,1,2,30,GAME,5
M Fucsovics,M Polmans,hard,2,2,0,15,5
M Fucsovics,M Polmans,hard,2,2,0,30,5
M Fucsovics,M Polmans,hard,2,1,15,30,5
M Fucsovics,M Polmans,hard,2,2,15,40,5
M Fucsovics,M Polmans,hard,2,2,15,GAME,5
M Fucsovics,M Polmans,hard,1,2,0,15,5
M Fucsovics,M Polmans,hard,1,1,15,15,5
M Fucsovics,M Polmans,hard,1,1,30,15,5
M Fucsovics,M Polmans,hard,1,1,40,15,5
M Fucsovics,M Polmans,hard,1,1,GAME,15,5
M Fucsovics,M Polmans,hard,2,1,15,0,5
M Fucsovics,M Polmans,hard,2,1,30,0,5
M Fucsovics,M Polmans,hard,2,2,30,15,5
M Fucsovics,M Polmans,hard,2,1,40,15,5
M Fucsovics,M Polmans,hard,2,1,GAME,15,5
M Fucsovics,M Polmans,hard,1,1,15,0,5
M Fucsovics,M Polmans,hard,1,1,30,0,5
M Fucsovics,M Polmans,hard,1,1,40,0,5
M Fucsovics,M Polmans,hard,1,1,GAME,0,5
M Fucsovics,M Polmans,hard,2,2,0,15,5
M Fucsovics,M Polmans,hard,2,1,15,15,5
M Fucsovics,M Polmans,hard,2,1,30,15,5
M Fucsovics,M Polmans,hard,2,2,30,30,5
M Fucsovics,M Polmans,hard,2,2,30,40,5
M Fucsovics,M Polmans,hard,2,1,40,40,5
M Fucsovics,M Polmans,hard,2,1,AD,40,5
M Fucsovics,M Polmans,hard,2,2,40,40,5
M Fucsovics,M Polmans,hard,2,2,40,AD,5
M Fucsovics,M Polmans,hard,2,2,40,GAME,5
M Fucsovics,M Polmans,hard,1,2,0,15,5
M Fucsovics,M Polmans,hard,1,2,0,30,5
M Fucsovics,M Polmans,hard,1,2,0,40,5
M Fucsovics,M Polmans,hard,1,1,15,40,5
M Fucsovics,M Polmans,hard,1,1,30,40,5
M Fucsovics,M Polmans,hard,1,1,40,40,5
M Fucsovics,M Polmans,hard,1,1,AD,40,5
M Fucsovics,M Polmans,hard,1,2,40,40,5
M Fucsovics,M Polmans,hard,1,1,AD,40,5
M Fucsovics,M Polmans,hard,1,2,40,40,5
M Fucsovics,M Polmans,hard,1,1,AD,40,5
M Fucsovics,M Polmans,hard,1,2,40,40,5
M Fucsovics,M Polmans,hard,1,1,AD,40,5
M Fucsovics,M Polmans,hard,1,2,40,40,5
M Fucsovics,M Polmans,hard,1,1,AD,40,5
M Fucsovics,M Polmans,hard,1,1,GAME,40,5
M Fucsovics,M Polmans,hard,2,1,15,0,5
M Fucsovics,M Polmans,hard,2,1,30,0,5
M Fucsovics,M Polmans,hard,2,2,30,15,5
M Fucsovics,M Polmans,hard,2,1,40,15,5
M Fucsovics,M Polmans,hard,2,1,GAME,15,5
M Fucsovics,M Polmans,hard,1,2,0,15,5
M Fucsovics,M Polmans,hard,1,1,15,15,5
M Fucsovics,M Polmans,hard,1,1,30,15,5
M Fucsovics,M Polmans,hard,1,2,30,30,5
M Fucsovics,M Polmans,hard,1,1,40,30,5
M Fucsovics,M Polmans,hard,1,2,40,40,5
M Fucsovics,M Polmans,hard,1,2,40,AD,5
M Fucsovics,M Polmans,hard,1,1,40,40,5
M Fucsovics,M Polmans,hard,1,1,AD,40,5
M Fucsovics,M Polmans,hard,1,1,GAME,40,5
C Moutet,J Millman,hard,2,2,0,15,5
C Moutet,J Millman,hard,2,2,0,30,5
C Moutet,J Millman,hard,2,1,15,30,5
C Moutet,J Millman,hard,2,1,30,30,5
C Moutet,J Millman,hard,2,2,30,40,5
C Moutet,J Millman,hard,2,1,40,40,5
C Moutet,J Millman,hard,2,2,40,AD,5
C Moutet,J Millman,hard,2,1,40,40,5
C Moutet,J Millman,hard,2,2,40,AD,5
C Moutet,J Millman,hard,2,2,40,GAME,5
C Moutet,J Millman,hard,1,1,15,0,5
C Moutet,J Millman,hard,1,1,30,0,5
C Moutet,J Millman,hard,1,2,30,15,5
C Moutet,J Millman,hard,1,1,40,15,5
C Moutet,J Millman,hard,1,2,40,30,5
C Moutet,J Millman,hard,1,1,GAME,30,5
C Moutet,J Millman,hard,2,2,0,15,5
C Moutet,J Millman,hard,2,2,0,30,5
C Moutet,J Millman,hard,2,2,0,40,5
C Moutet,J Millman,hard,2,1,15,40,5
