surface,id1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,grass_sample_size1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,hard_sample_size1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,clay_sample_size1,carpet_pts_served1,carpet_service_pts_won1,carpet_pts_received1,carpet_receiving_pts_won1,carpet_aces1,carpet_sample_size1,co2_pts_served1,co2_service_pts_won1,co2_pts_received1,co2_receiving_pts_won1,co2_aces1,co2_sample_size1,co2nsf_pts_served1,co2nsf_service_pts_won1,co2nsf_pts_received1,co2nsf_receiving_pts_won1,co2nsf_aces1,co2nsf_sample_size1,id2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,grass_sample_size2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,hard_sample_size2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,clay_sample_size2,carpet_pts_served2,carpet_service_pts_won2,carpet_pts_received2,carpet_receiving_pts_won2,carpet_aces2,carpet_sample_size2,co2_pts_served2,co2_service_pts_won2,co2_pts_received2,co2_receiving_pts_won2,co2_aces2,co2_sample_size2,co2nsf_pts_served2,co2nsf_service_pts_won2,co2nsf_pts_received2,co2nsf_receiving_pts_won2,co2nsf_aces2,co2nsf_sample_size2
Hard,200175,0,0,0,0,0,0,266,162,237,71,18,3,198,121,204,64,5,3,0,0,0,0,0,0,179,113,180,57,11,2,179,113,180,57,11,2,106099,0,0,0,0,0,0,411,239,391,116,20,5,67,40,75,27,1,1,0,0,0,0,0,0,168,91,154,51,7,2,168,91,154,51,7,2
Hard,126205,0,0,0,0,0,0,138,102,153,60,11,3,47,36,59,25,1,1,0,0,0,0,0,0,61,41,57,23,6,2,108,77,116,48,7,3,105062,121,62,117,31,5,2,106,56,107,34,2,2,0,0,0,0,0,0,0,0,0,0,0,0,106,56,107,34,2,2,106,56,107,34,2,2
Hard,106214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,132283,85,65,75,25,14,1,61,36,68,21,6,1,110,66,129,51,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105023,306,205,302,90,54,4,161,92,160,44,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,104792,0,0,0,0,0,0,284,193,331,139,40,6,0,0,0,0,0,0,0,0,0,0,0,0,56,47,74,28,9,1,56,47,74,28,9,1,105948,0,0,0,0,0,0,112,64,101,46,4,1,394,223,355,122,11,4,0,0,0,0,0,0,112,64,101,46,4,1,112,64,101,46,4,1
Hard,122330,0,0,0,0,0,0,129,81,147,53,25,1,0,0,0,0,0,0,0,0,0,0,0,0,129,81,147,53,25,1,129,81,147,53,25,1,124014,0,0,0,0,0,0,58,31,42,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,58,31,42,9,3,1,58,31,42,9,3,1
Hard,124079,0,0,0,0,0,0,457,265,425,153,17,4,108,72,111,39,4,1,0,0,0,0,0,0,101,65,116,61,7,1,101,65,116,61,7,1,105643,114,64,104,32,7,1,136,72,139,50,1,2,172,93,171,69,2,2,0,0,0,0,0,0,88,50,90,35,1,1,88,50,90,35,1,1
Hard,106426,0,0,0,0,0,0,0,0,0,0,0,0,173,110,181,88,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105487,0,0,0,0,0,0,76,44,68,21,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,200624,468,295,444,172,40,4,1178,745,1160,459,89,16,287,178,276,113,18,4,0,0,0,0,0,0,826,512,793,301,55,11,890,554,843,325,58,12,111815,61,42,64,30,3,1,1625,1016,1651,666,109,20,372,245,365,132,25,5,0,0,0,0,0,0,935,601,914,375,58,12,935,601,914,375,58,12
Hard,144895,0,0,0,0,0,0,54,38,65,27,3,1,266,141,221,96,4,3,0,0,0,0,0,0,54,38,65,27,3,1,137,80,125,52,5,2,106298,136,79,127,42,12,1,292,166,230,81,27,2,0,0,0,0,0,0,0,0,0,0,0,0,182,113,144,44,18,1,182,113,144,44,18,1
