surface,id1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,grass_sample_size1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,hard_sample_size1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,clay_sample_size1,carpet_pts_served1,carpet_service_pts_won1,carpet_pts_received1,carpet_receiving_pts_won1,carpet_aces1,carpet_sample_size1,co2_pts_served1,co2_service_pts_won1,co2_pts_received1,co2_receiving_pts_won1,co2_aces1,co2_sample_size1,co2nsf_pts_served1,co2nsf_service_pts_won1,co2nsf_pts_received1,co2nsf_receiving_pts_won1,co2nsf_aces1,co2nsf_sample_size1,id2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,grass_sample_size2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,hard_sample_size2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,clay_sample_size2,carpet_pts_served2,carpet_service_pts_won2,carpet_pts_received2,carpet_receiving_pts_won2,carpet_aces2,carpet_sample_size2,co2_pts_served2,co2_service_pts_won2,co2_pts_received2,co2_receiving_pts_won2,co2_aces2,co2_sample_size2,co2nsf_pts_served2,co2nsf_service_pts_won2,co2nsf_pts_received2,co2nsf_receiving_pts_won2,co2nsf_aces2,co2nsf_sample_size2
Hard,104745,0,0,0,0,0,0,950,656,1043,422,48,16,683,484,744,337,20,11,0,0,0,0,0,0,618,424,686,277,24,10,840,576,934,395,31,14,106071,451,296,376,97,51,3,1175,765,1202,396,119,13,58,31,52,13,4,1,0,0,0,0,0,0,538,337,503,165,51,7,704,453,644,196,70,8
Hard,106423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,106058,0,0,0,0,0,0,201,126,204,74,15,3,0,0,0,0,0,0,0,0,0,0,0,0,201,126,204,74,15,3,201,126,204,74,15,3,104735,0,0,0,0,0,0,198,113,191,69,3,3,0,0,0,0,0,0,0,0,0,0,0,0,198,113,191,69,3,3,198,113,191,69,3,3
Hard,104792,0,0,0,0,0,0,774,495,775,253,80,9,411,268,459,181,39,4,0,0,0,0,0,0,774,495,775,253,80,9,940,595,933,307,82,10,105992,171,108,152,44,15,2,863,533,781,248,74,10,332,210,292,80,17,3,0,0,0,0,0,0,616,375,507,149,54,7,960,590,787,218,71,10
Hard,104312,434,279,407,130,23,4,871,548,892,327,50,10,527,302,535,210,34,8,0,0,0,0,0,0,659,423,694,247,43,8,911,588,929,318,58,10,103720,386,230,354,137,28,4,1078,643,1063,398,61,14,138,69,118,51,4,1,0,0,0,0,0,0,422,259,403,134,21,6,521,322,508,178,26,7
Hard,105385,0,0,0,0,0,0,74,49,57,37,3,1,0,0,0,0,0,0,0,0,0,0,0,0,74,49,57,37,3,1,74,49,57,37,3,1,104898,0,0,0,0,0,0,80,58,92,33,14,1,50,29,70,23,1,1,0,0,0,0,0,0,80,58,92,33,14,1,130,87,162,56,15,2
Hard,105583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,105453,0,0,0,0,0,0,482,297,500,197,23,9,263,159,281,117,2,3,0,0,0,0,0,0,448,280,470,189,22,8,448,280,470,189,22,8,104594,76,37,66,19,5,2,819,501,866,332,36,10,194,95,206,75,2,3,0,0,0,0,0,0,632,385,691,271,28,8,742,436,800,313,32,10
Hard,105683,72,58,104,44,19,1,1106,795,1162,404,252,15,208,137,212,77,26,3,0,0,0,0,0,0,307,235,308,101,75,5,307,235,308,101,75,5,104593,39,17,40,8,1,1,338,230,342,123,27,5,889,526,905,349,49,13,0,0,0,0,0,0,266,171,267,106,15,4,266,171,267,106,15,4
Hard,103812,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,105376,0,0,0,0,0,0,103,69,128,55,8,1,0,0,0,0,0,0,0,0,0,0,0,0,103,69,128,55,8,1,103,69,128,55,8,1
Hard,104229,0,0,0,0,0,0,104,57,115,44,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104499,89,52,74,13,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,105777,0,0,0,0,0,0,43,36,66,29,5,1,0,0,0,0,0,0,0,0,0,0,0,0,43,36,66,29,5,1,43,36,66,29,5,1,105614,0,0,0,0,0,0,126,98,158,53,6,1,0,0,0,0,0,0,0,0,0,0,0,0,126,98,158,53,6,1,126,98,158,53,6,1
Hard,105332,77,40,88,30,8,1,184,102,162,70,20,2,199,127,243,114,16,3,0,0,0,0,0,0,184,102,162,70,20,2,343,196,352,148,37,4,104433,0,0,0,0,0,0,283,164,269,100,23,4,0,0,0,0,0,0,0,0,0,0,0,0,198,120,197,79,19,2,198,120,197,79,19,2
Hard,106401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,105138,142,87,131,45,2,1,325,189,324,119,4,4,78,46,84,33,3,1,0,0,0,0,0,0,325,189,324,119,4,4,467,276,455,164,6,5,105065,0,0,0,0,0,0,525,311,475,182,27,6,0,0,0,0,0,0,0,0,0,0,0,0,350,210,345,129,14,4,350,210,345,129,14,4
Hard,105223,66,39,81,30,10,1,546,365,605,244,49,7,93,50,84,39,3,1,0,0,0,0,0,0,420,270,472,198,28,5,579,359,637,267,41,7,105733,0,0,0,0,0,0,368,220,351,114,45,4,41,16,45,14,1,1,0,0,0,0,0,0,368,220,351,114,45,4,368,220,351,114,45,4
Hard,104918,127,88,137,60,8,2,252,168,250,117,24,3,0,0,0,0,0,0,0,0,0,0,0,0,92,56,98,46,3,1,92,56,98,46,3,1,104424,124,65,107,37,2,1,326,209,302,99,17,4,67,34,77,23,3,1,0,0,0,0,0,0,45,33,37,20,1,1,45,33,37,20,1,1
Hard,104672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,103582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,103852,65,51,65,19,14,1,282,184,257,87,47,3,0,0,0,0,0,0,0,0,0,0,0,0,282,184,257,87,47,3,282,184,257,87,47,3,104500,0,0,0,0,0,0,275,155,209,54,12,4,0,0,0,0,0,0,0,0,0,0,0,0,201,111,145,36,11,3,201,111,145,36,11,3
Hard,103565,98,65,105,33,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105379,0,0,0,0,0,0,0,0,0,0,0,0,103,58,91,38,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
