name,t_grass_serve_total,t_grass_serve_won,t_grass_receive_total,t_grass_receive_won,t_hard_serve_total,t_hard_serve_won,t_hard_receive_total,t_hard_receive_won,t_clay_serve_total,t_clay_serve_won,t_clay_receive_total,t_clay_receive_won,1_grass_serve_total,1_grass_serve_won,1_grass_receive_total,1_grass_receive_won,1_hard_serve_total,1_hard_serve_won,1_hard_receive_total,1_hard_receive_won,1_clay_serve_total,1_clay_serve_won,1_clay_receive_total,1_clay_receive_won,2_grass_serve_total,2_grass_serve_won,2_grass_receive_total,2_grass_receive_won,2_hard_serve_total,2_hard_serve_won,2_hard_receive_total,2_hard_receive_won,2_clay_serve_total,2_clay_serve_won,2_clay_receive_total,2_clay_receive_won,3_grass_serve_total,3_grass_serve_won,3_grass_receive_total,3_grass_receive_won,3_hard_serve_total,3_hard_serve_won,3_hard_receive_total,3_hard_receive_won,3_clay_serve_total,3_clay_serve_won,3_clay_receive_total,3_clay_receive_won,4_grass_serve_total,4_grass_serve_won,4_grass_receive_total,4_grass_receive_won,4_hard_serve_total,4_hard_serve_won,4_hard_receive_total,4_hard_receive_won,4_clay_serve_total,4_clay_serve_won,4_clay_receive_total,4_clay_receive_won,5_grass_serve_total,5_grass_serve_won,5_grass_receive_total,5_grass_receive_won,5_hard_serve_total,5_hard_serve_won,5_hard_receive_total,5_hard_receive_won,5_clay_serve_total,5_clay_serve_won,5_clay_receive_total,5_clay_receive_won,6_grass_serve_total,6_grass_serve_won,6_grass_receive_total,6_grass_receive_won,6_hard_serve_total,6_hard_serve_won,6_hard_receive_total,6_hard_receive_won,6_clay_serve_total,6_clay_serve_won,6_clay_receive_total,6_clay_receive_won,7_grass_serve_total,7_grass_serve_won,7_grass_receive_total,7_grass_receive_won,7_hard_serve_total,7_hard_serve_won,7_hard_receive_total,7_hard_receive_won,7_clay_serve_total,7_clay_serve_won,7_clay_receive_total,7_clay_receive_won,8_grass_serve_total,8_grass_serve_won,8_grass_receive_total,8_grass_receive_won,8_hard_serve_total,8_hard_serve_won,8_hard_receive_total,8_hard_receive_won,8_clay_serve_total,8_clay_serve_won,8_clay_receive_total,8_clay_receive_won,9_grass_serve_total,9_grass_serve_won,9_grass_receive_total,9_grass_receive_won,9_hard_serve_total,9_hard_serve_won,9_hard_receive_total,9_hard_receive_won,9_clay_serve_total,9_clay_serve_won,9_clay_receive_total,9_clay_receive_won,10_grass_serve_total,10_grass_serve_won,10_grass_receive_total,10_grass_receive_won,10_hard_serve_total,10_hard_serve_won,10_hard_receive_total,10_hard_receive_won,10_clay_serve_total,10_clay_serve_won,10_clay_receive_total,10_clay_receive_won,11_grass_serve_total,11_grass_serve_won,11_grass_receive_total,11_grass_receive_won,11_hard_serve_total,11_hard_serve_won,11_hard_receive_total,11_hard_receive_won,11_clay_serve_total,11_clay_serve_won,11_clay_receive_total,11_clay_receive_won,12_grass_serve_total,12_grass_serve_won,12_grass_receive_total,12_grass_receive_won,12_hard_serve_total,12_hard_serve_won,12_hard_receive_total,12_hard_receive_won,12_clay_serve_total,12_clay_serve_won,12_clay_receive_total,12_clay_receive_won,13_grass_serve_total,13_grass_serve_won,13_grass_receive_total,13_grass_receive_won,13_hard_serve_total,13_hard_serve_won,13_hard_receive_total,13_hard_receive_won,13_clay_serve_total,13_clay_serve_won,13_clay_receive_total,13_clay_receive_won,14_grass_serve_total,14_grass_serve_won,14_grass_receive_total,14_grass_receive_won,14_hard_serve_total,14_hard_serve_won,14_hard_receive_total,14_hard_receive_won,14_clay_serve_total,14_clay_serve_won,14_clay_receive_total,14_clay_receive_won,15_grass_serve_total,15_grass_serve_won,15_grass_receive_total,15_grass_receive_won,15_hard_serve_total,15_hard_serve_won,15_hard_receive_total,15_hard_receive_won,15_clay_serve_total,15_clay_serve_won,15_clay_receive_total,15_clay_receive_won,16_grass_serve_total,16_grass_serve_won,16_grass_receive_total,16_grass_receive_won,16_hard_serve_total,16_hard_serve_won,16_hard_receive_total,16_hard_receive_won,16_clay_serve_total,16_clay_serve_won,16_clay_receive_total,16_clay_receive_won,17_grass_serve_total,17_grass_serve_won,17_grass_receive_total,17_grass_receive_won,17_hard_serve_total,17_hard_serve_won,17_hard_receive_total,17_hard_receive_won,17_clay_serve_total,17_clay_serve_won,17_clay_receive_total,17_clay_receive_won,18_grass_serve_total,18_grass_serve_won,18_grass_receive_total,18_grass_receive_won,18_hard_serve_total,18_hard_serve_won,18_hard_receive_total,18_hard_receive_won,18_clay_serve_total,18_clay_serve_won,18_clay_receive_total,18_clay_receive_won
L Fernandez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,23,43,24,16,7,18,5,0,0,0,0,23,15,19,10,7,6,13,7,0,0,0,0,21,12,24,12,9,5,5,4,0,0,0,0,15,3,9,3,6,3,6,3,0,0,0,0,20,9,22,11,6,5,8,3,0,0,0,0,9,5,12,4,4,2,4,3,0,0,0,0,3,3,6,1,3,1,3,1,0,0,0,0,21,8,14,8,8,6,8,3,0,0,0,0,16,7,19,7,3,2,4,3,0,0,0,0,4,3,4,2,2,2,3,2,0,0,0,0,8,4,7,4,8,3,6,3,0,0,0,0,20,9,20,7,4,2,4,2,0,0,0,0,12,6,9,4,3,1,4,2,0,0,0,0,13,5,17,12,7,4,5,2,0,0,0,0,17,10,12,2,3,3,4,1,0,0,0,0,30,14,49,20,13,7,17,6,0,0,0,0,14,10,29,17,7,3,11,8,0,0,0,0,16,8,20,10,6,3,6,2
M Linette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,12,7,26,13,25,15,0,0,0,0,7,2,5,1,13,8,10,3,0,0,0,0,5,3,7,5,13,7,15,5,0,0,0,0,2,1,4,3,8,5,7,2,0,0,0,0,8,4,3,3,12,7,13,7,0,0,0,0,2,1,5,2,6,5,5,3,0,0,0,0,1,1,1,0,5,4,5,2,0,0,0,0,5,1,3,1,10,6,8,0,0,0,0,0,5,3,6,4,10,3,9,5,0,0,0,0,1,1,2,1,1,0,3,1,0,0,0,0,1,0,2,1,7,5,10,4,0,0,0,0,7,5,3,2,7,5,4,2,0,0,0,0,3,2,5,1,7,5,7,4,0,0,0,0,6,0,2,1,7,5,6,4,0,0,0,0,4,3,6,2,7,4,5,1,0,0,0,0,16,10,6,2,10,6,16,10,0,0,0,0,10,5,4,0,6,5,6,0,0,0,0,0,6,2,2,1,4,3,10,2
A Kerber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,17,6,9,3,9,7,0,0,0,0,5,2,11,3,3,1,2,1,0,0,0,0,12,5,6,3,6,4,7,1,0,0,0,0,2,0,8,4,1,1,1,1,0,0,0,0,8,2,6,0,6,3,7,2,0,0,0,0,7,3,3,1,2,0,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,4,1,10,5,3,0,6,3,0,0,0,0,9,5,2,0,3,2,3,1,0,0,0,0,4,2,1,0,2,2,0,0,0,0,0,0,1,0,6,2,0,0,3,2,0,0,0,0,8,4,7,3,5,4,5,4,0,0,0,0,6,2,1,0,3,1,1,1,0,0,0,0,5,4,6,2,4,2,3,1,0,0,0,0,6,3,4,3,2,0,4,1,0,0,0,0,12,5,5,0,5,2,8,3,0,0,0,0,5,3,5,2,2,0,5,2,0,0,0,0,7,6,0,0,3,1,3,1
K Juvan,0,0,0,0,11,7,12,6,0,0,0,0,0,0,0,0,49,20,47,16,9,4,9,4,0,0,0,0,20,14,31,16,4,3,5,2,0,0,0,0,29,16,16,12,5,2,4,1,0,0,0,0,14,8,15,8,3,2,3,1,0,0,0,0,22,13,20,9,3,3,5,0,0,0,0,0,13,8,12,5,3,2,1,0,0,0,0,0,8,4,7,4,2,1,2,1,0,0,0,0,19,11,19,9,4,2,6,5,0,0,0,0,17,8,16,9,2,0,1,0,0,0,0,0,5,4,5,3,1,0,0,0,0,0,0,0,15,11,14,6,3,1,2,1,0,0,0,0,16,9,16,7,2,0,6,2,0,0,0,0,13,8,11,7,2,2,0,0,0,0,0,0,13,8,15,4,2,1,5,0,0,0,0,0,15,9,11,3,4,2,2,0,0,0,0,0,36,20,38,13,9,3,3,2,0,0,0,0,20,9,25,13,3,1,1,0,0,0,0,0,16,11,13,0,6,4,2,1
A Rus,0,0,0,0,12,6,13,5,0,0,0,0,0,0,0,0,25,15,24,11,12,6,12,7,0,0,0,0,15,8,13,5,6,3,5,2,0,0,0,0,10,5,11,5,6,4,7,4,0,0,0,0,8,3,8,5,3,2,3,2,0,0,0,0,12,5,11,5,7,4,5,1,0,0,0,0,5,3,5,2,2,2,4,3,0,0,0,0,3,2,3,1,2,2,1,1,0,0,0,0,10,2,11,6,5,2,6,2,0,0,0,0,10,4,8,4,5,1,2,1,0,0,0,0,2,0,2,1,0,0,3,0,0,0,0,0,3,1,6,1,2,1,5,2,0,0,0,0,12,2,10,4,4,1,3,2,0,0,0,0,6,3,5,2,4,1,4,4,0,0,0,0,4,2,7,1,2,0,3,0,0,0,0,0,13,9,7,4,4,2,2,1,0,0,0,0,29,12,6,3,8,4,1,0,0,0,0,0,12,5,3,1,4,2,1,0,0,0,0,0,17,11,3,2,4,2,0,0
C Burel,0,0,0,0,24,13,24,11,9,3,9,5,0,0,0,0,52,24,54,22,10,5,11,5,0,0,0,0,24,17,32,17,5,2,6,3,0,0,0,0,28,9,22,11,5,3,5,4,0,0,0,0,17,8,15,10,2,1,3,0,0,0,0,0,16,9,28,15,6,2,4,1,0,0,0,0,19,10,11,6,2,1,4,2,0,0,0,0,8,2,5,2,1,0,3,2,0,0,0,0,18,9,23,12,3,1,3,1,0,0,0,0,17,6,20,14,5,2,3,2,0,0,0,0,9,5,6,3,1,1,2,0,0,0,0,0,15,9,13,5,2,1,4,4,0,0,0,0,15,8,18,13,4,2,2,1,0,0,0,0,16,8,17,4,4,3,4,2,0,0,0,0,14,11,10,5,3,2,5,3,0,0,0,0,15,7,26,11,5,3,3,0,0,0,0,0,30,16,47,20,10,4,12,5,0,0,0,0,16,5,27,16,4,1,7,4,0,0,0,0,14,9,20,9,6,3,5,3
C Paquet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,21,7,9,2,9,2,0,0,0,0,10,7,14,9,2,1,7,2,0,0,0,0,10,6,7,4,7,6,2,0,0,0,0,0,7,3,5,2,1,0,5,2,0,0,0,0,9,6,12,1,7,3,4,2,0,0,0,0,4,2,4,1,1,0,0,0,0,0,0,0,3,1,3,0,0,0,3,1,0,0,0,0,10,4,13,5,4,4,4,0,0,0,0,0,5,4,4,0,4,1,2,2,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,6,3,8,3,4,2,5,2,0,0,0,0,10,7,9,1,1,1,0,0,0,0,0,0,1,1,0,0,4,2,2,0,0,0,0,0,10,5,11,3,3,1,2,0,0,0,0,0,4,0,1,1,2,2,2,1,0,0,0,0,8,4,4,1,10,2,1,0,0,0,0,0,4,4,3,0,2,2,1,0,0,0,0,0,4,3,1,0,8,6,0,0
A Cornet,0,0,0,0,21,13,20,6,0,0,0,0,0,0,0,0,45,29,44,18,10,7,10,4,0,0,0,0,29,12,26,12,7,3,6,4,0,0,0,0,16,9,18,7,3,2,4,2,0,0,0,0,12,5,14,11,3,2,2,0,0,0,0,0,26,18,23,11,6,1,6,3,0,0,0,0,7,6,7,4,1,0,2,0,0,0,0,0,5,1,3,2,2,2,2,1,0,0,0,0,25,13,23,11,2,1,3,2,0,0,0,0,14,6,14,5,5,1,5,2,0,0,0,0,1,0,4,3,1,1,0,0,0,0,0,0,17,8,14,7,1,0,2,2,0,0,0,0,18,9,20,8,2,0,5,1,0,0,0,0,8,4,6,2,5,1,2,2,0,0,0,0,18,11,19,11,1,1,6,5,0,0,0,0,13,4,12,11,3,0,1,1,0,0,0,0,19,10,28,13,0,0,8,3,0,0,0,0,10,6,15,7,0,0,5,2,0,0,0,0,9,4,13,4,0,0,3,2
S Zhang,0,0,0,0,14,10,14,11,0,0,0,0,0,0,0,0,50,27,49,22,9,5,9,6,0,0,0,0,27,12,27,10,5,3,3,1,0,0,0,0,23,11,22,9,4,1,6,1,0,0,0,0,12,5,17,6,3,0,2,2,0,0,0,0,26,14,23,7,3,2,6,1,0,0,0,0,12,3,9,4,3,3,1,0,0,0,0,0,5,4,11,5,0,0,0,0,0,0,0,0,21,11,22,11,5,2,7,2,0,0,0,0,15,8,12,7,4,1,2,1,0,0,0,0,9,4,4,2,0,0,0,0,0,0,0,0,12,4,16,9,2,1,5,2,0,0,0,0,18,10,16,8,4,2,3,0,0,0,0,0,11,9,9,5,3,3,1,0,0,0,0,0,18,7,17,8,3,2,5,3,0,0,0,0,17,9,12,10,5,2,1,0,0,0,0,0,35,17,29,11,11,7,6,3,0,0,0,0,17,10,18,11,7,2,3,0,0,0,0,0,18,8,11,3,4,3,3,1
M Keys,0,0,0,0,5,1,4,1,0,0,0,0,0,0,0,0,10,5,11,3,31,17,29,15,0,0,0,0,5,3,8,5,17,10,14,9,0,0,0,0,5,3,3,1,14,7,15,7,0,0,0,0,3,3,3,1,10,6,5,4,0,0,0,0,5,3,7,0,14,7,17,8,0,0,0,0,2,2,1,0,7,4,7,4,0,0,0,0,3,2,2,1,6,4,1,0,0,0,0,0,3,2,8,3,11,11,13,5,0,0,0,0,4,0,1,0,11,5,11,3,0,0,0,0,0,0,0,0,3,2,4,2,0,0,0,0,3,0,6,4,13,8,8,5,0,0,0,0,1,1,4,2,5,1,13,7,0,0,0,0,4,2,0,0,8,5,5,3,0,0,0,0,4,1,6,3,6,5,11,5,0,0,0,0,2,0,2,0,9,7,9,2,0,0,0,0,7,4,6,3,14,8,26,11,0,0,0,0,4,3,3,1,8,3,15,8,0,0,0,0,3,3,3,3,6,1,11,5
