P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score
Radek Stepanek,Pablo Cuevas,grass,2,1,15,15
Radek Stepanek,Pablo Cuevas,grass,2,2,15,30
Radek Stepanek,Pablo Cuevas,grass,2,1,30,30
Radek Stepanek,Pablo Cuevas,grass,2,1,40,30
Radek Stepanek,Pablo Cuevas,grass,2,2,40,40
Radek Stepanek,Pablo Cuevas,grass,2,2,40,AD
Radek Stepanek,Pablo Cuevas,grass,2,1,40,40
Radek Stepanek,Pablo Cuevas,grass,2,2,40,AD
Radek Stepanek,Pablo Cuevas,grass,2,2,0,0
Radek Stepanek,Pablo Cuevas,grass,1,1,15,0
Radek Stepanek,Pablo Cuevas,grass,1,1,30,0
Radek Stepanek,Pablo Cuevas,grass,1,2,30,15
Radek Stepanek,Pablo Cuevas,grass,1,1,40,15
Radek Stepanek,Pablo Cuevas,grass,1,1,0,0
Radek Stepanek,Pablo Cuevas,grass,2,1,15,0
Radek Stepanek,Pablo Cuevas,grass,2,1,30,0
Radek Stepanek,Pablo Cuevas,grass,2,1,40,0
Radek Stepanek,Pablo Cuevas,grass,2,2,40,15
Radek Stepanek,Pablo Cuevas,grass,2,2,40,30
Radek Stepanek,Pablo Cuevas,grass,2,2,40,40
Radek Stepanek,Pablo Cuevas,grass,2,2,40,AD
Radek Stepanek,Pablo Cuevas,grass,2,2,0,0
Radek Stepanek,Pablo Cuevas,grass,1,1,15,0
Radek Stepanek,Pablo Cuevas,grass,1,1,30,0
Radek Stepanek,Pablo Cuevas,grass,1,1,40,0
Radek Stepanek,Pablo Cuevas,grass,1,1,0,0
Konstantin Kravchuk,Gilles Simon,grass,0,0,0,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,15,0
Konstantin Kravchuk,Gilles Simon,grass,1,2,15,15
Konstantin Kravchuk,Gilles Simon,grass,1,2,15,30
Konstantin Kravchuk,Gilles Simon,grass,1,2,15,40
Konstantin Kravchuk,Gilles Simon,grass,1,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,30
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,40
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,15,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,30,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,40,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,0,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,30
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,40
Konstantin Kravchuk,Gilles Simon,grass,2,1,15,40
Konstantin Kravchuk,Gilles Simon,grass,2,1,30,40
Konstantin Kravchuk,Gilles Simon,grass,2,1,40,40
Konstantin Kravchuk,Gilles Simon,grass,2,2,40,AD
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,15,0
Konstantin Kravchuk,Gilles Simon,grass,1,2,15,15
