"","score","p-value.basic.pure","p-value.oaf.pure","coverage"
"H2H&&CO",0.65814696485623,0.0765846906407868,0.497619108757657,313
"H2H&&OAF",0.689230769230769,0.00663064711236457,0.146764318443267,325
"H2H&&CO(OAF)",0.67948717948718,0.0170279638919351,0.238714100958201,312
"H2H&&PSU",0.647435897435897,0.140014500552172,0.63528255528516,312
"H2H&&PSD",0.654723127035831,0.0955305421462282,0.542192857314736,307
"CO&&OAF",0.695355191256831,0.000171595984323656,0.0470657847228353,732
"CO&&CO(OAF)",0.666666666666667,0.00948351141775939,0.347090545042205,777
"CO&&PSU",0.628395061728395,0.258470101394101,0.909544162105127,810
"CO&&PSD",0.627791563275434,0.267568466425881,0.91357688854097,806
"OAF&&CO(OAF)",0.676201372997712,0.00202150762263512,0.19623530675095,874
"OAF&&PSU",0.69364161849711,0.000113998991328273,0.0466842234398643,865
"OAF&&PSD",0.656506447831184,0.0260165028640695,0.526925926832021,853
"CO(OAF)&&PSU",0.663352272727273,0.0165190506637788,0.406694527878953,704
"CO(OAF)&&PSD",0.661931818181818,0.0192361067232871,0.431035588741973,704
"PSU&&PSD",0.596007604562738,0.802068560672576,0.998556425846771,1052
"H2H&&CO&&OAF",0.698473282442748,0.00535950070687549,0.105603104557995,262
"H2H&&CO&&CO(OAF)",0.6953125,0.00750303513685083,0.126873073436704,256
"H2H&&CO&&PSU",0.650735294117647,0.13059259517376,0.589040354259773,272
"H2H&&CO&&PSD",0.659420289855073,0.0811009174469109,0.481815701323426,276
"H2H&&OAF&&CO(OAF)",0.692832764505119,0.00636765661380965,0.130287005511859,293
"H2H&&OAF&&PSU",0.696850393700787,0.00674577755537958,0.118063507383532,254
"H2H&&OAF&&PSD",0.698039215686274,0.00603142342628715,0.110642316232528,255
"H2H&&CO(OAF)&&PSU",0.69672131147541,0.00763647927790781,0.122748897176778,244
"H2H&&CO(OAF)&&PSD",0.695121951219512,0.00849932404064797,0.132006439577414,246
"H2H&&PSU&&PSD",0.649484536082474,0.132381949997459,0.606864781496757,291
"CO&&OAF&&CO(OAF)",0.700740740740741,9.78760431496462e-05,0.0307351072111514,675
"CO&&OAF&&PSU",0.69377990430622,0.000420701909316005,0.0635189348485984,627
"CO&&OAF&&PSD",0.686900958466454,0.00116278798008267,0.109381665246921,626
"CO&&CO(OAF)&&PSU",0.674085850556439,0.00607279825535768,0.24703808146305,629
"CO&&CO(OAF)&&PSD",0.671451355661882,0.00832489093168785,0.283967072754795,627
"CO&&PSU&&PSD",0.630065359477124,0.238623475398316,0.892937854871568,765
"OAF&&CO(OAF)&&PSU",0.682170542635659,0.00203291176216316,0.149776381105531,645
"OAF&&CO(OAF)&&PSD",0.68266253869969,0.0018929035543366,0.144765943231395,646
"OAF&&PSU&&PSD",0.67741935483871,0.00233338964234172,0.189083821574439,775
"CO(OAF)&&PSU&&PSD",0.662632375189107,0.0197557440317242,0.420543350147937,661
"OAF&&CO(OAF)&&PSU&&PSD",0.681444991789819,0.00264484269790247,0.161683334643595,609
"CO&&CO(OAF)&&PSU&&PSD",0.67109634551495,0.00944430898922763,0.291596988498207,602
"CO&&OAF&&PSU&&PSD",0.688851913477537,0.00101528989407576,0.0974825083329858,601
"CO&&OAF&&CO(OAF)&&PSD",0.692173913043478,0.000744306037415564,0.078430199970824,575
"CO&&OAF&&CO(OAF)&&PSU",0.695501730103806,0.000449961700801392,0.0596748090570794,578
"H2H&&CO(OAF)&&PSU&&PSD",0.692307692307692,0.0120402909092184,0.15606154916632,234
"H2H&&OAF&&PSU&&PSD",0.692946058091286,0.0106521910804564,0.148626230542755,241
"H2H&&OAF&&CO(OAF)&&PSD",0.70042194092827,0.0061320083639772,0.104273633958535,237
"H2H&&OAF&&CO(OAF)&&PSU",0.702127659574468,0.00546127250390546,0.0961561958581216,235
"H2H&&CO&&PSU&&PSD",0.653992395437262,0.11378539296103,0.548581260405548,263
"H2H&&CO&&CO(OAF)&&PSD",0.692640692640693,0.0121215312335525,0.155018778779709,231
"H2H&&CO&&CO(OAF)&&PSU",0.693333333333333,0.0122827513629271,0.152877882556225,225
"H2H&&CO&&OAF&&PSD",0.694560669456067,0.00959647440631457,0.138535970265879,239
"H2H&&CO&&OAF&&PSU",0.693965517241379,0.0108495422253272,0.145482139592941,232
"H2H&&CO&&OAF&&CO(OAF)",0.706122448979592,0.00338209882025102,0.0738998305382402,245
"CO&&OAF&&CO(OAF)&&PSU&&PSD",0.691335740072202,0.000959125647276903,0.0863620152030459,554
"H2H&&OAF&&CO(OAF)&&PSU&&PSD",0.697777777777778,0.00877765660983928,0.124351399854346,225
"H2H&&CO&&CO(OAF)&&PSU&&PSD",0.690909090909091,0.0154437498884127,0.172399835573516,220
"H2H&&CO&&OAF&&PSU&&PSD",0.691629955947137,0.0136271335444159,0.163973568391381,227
"H2H&&CO&&OAF&&CO(OAF)&&PSD",0.699551569506726,0.00783899995653141,0.114943414323219,223
"H2H&&CO&&OAF&&CO(OAF)&&PSU",0.700460829493088,0.00788715300957494,0.112563337460008,217
"All",0.69811320754717,0.0100361636705489,0.128307767483228,212
