"","score","p-value","coverage"
"H2H+CO",44.7106231717131,0.377073827510412,862
"H2H+OAF",44.7125044323181,0.375848523883334,957
"H2H+CO(OAF)",44.3338884294887,0.280951561896164,862
"H2H+PSU.A",45.0258635972575,0.467132892434449,957
"H2H+PSD.A",44.4330736452267,0.296937554786575,957
"H2H+PSU.E",44.8634857432368,0.418298247142442,957
"H2H+PSD.E",44.4213062208873,0.293847489087382,957
"CO+OAF",44.46610826712,0.302632899698977,957
"CO+CO(OAF)",44.0638762799499,0.210321326899963,862
"CO+PSU.A",44.8285576284218,0.40617281506025,957
"CO+PSD.A",44.3605130532687,0.27357277641657,957
"CO+PSU.E",44.7062789208188,0.36969493706499,957
"CO+PSD.E",44.3433149789228,0.269206632930433,957
"OAF+CO(OAF)",44.2333640662392,0.245999265875112,957
"OAF+PSU.A",44.4429090523302,0.296182513245514,957
"OAF+PSD.A",44.1132613422466,0.214426315203728,957
"OAF+PSU.E",44.3606888454727,0.274492560249007,957
"OAF+PSD.E",44.0817333200154,0.207419855097428,957
"CO(OAF)+PSU.A",44.1851260084693,0.230938456968929,957
"CO(OAF)+PSD.A",43.7777525202822,0.146305429722065,957
"CO(OAF)+PSU.E",44.0799975615737,0.206794709464102,957
"CO(OAF)+PSD.E",43.7504855350316,0.141534560123487,957
"PSU.A+PSD.A",44.7121177586253,0.371995249234646,957
"PSU.A+PSU.E",45.0107780132189,0.461972177010749,957
"PSU.A+PSD.E",44.6921301330637,0.36619310809405,957
"PSD.A+PSU.E",44.6276770615847,0.347507347505469,957
"PSD.A+PSD.E",44.3787075674856,0.27964835272121,957
"PSU.E+PSD.E",44.6124198456187,0.343189715784413,957
"H2H+CO+OAF",44.3342059038628,0.269846905454658,957
"H2H+CO+CO(OAF)",43.9732716467464,0.193578023748072,862
"H2H+CO+PSU.A",44.6060334656351,0.341907809516161,957
"H2H+CO+PSD.A",44.1905140320244,0.233156236400587,957
"H2H+CO+PSU.E",44.4928078111358,0.310335183790659,957
"H2H+CO+PSD.E",44.1812824210098,0.231043773287387,957
"H2H+OAF+CO(OAF)",44.1761747699859,0.234583452084065,957
"H2H+OAF+PSU.A",44.3153998584155,0.264757408579215,957
"H2H+OAF+PSD.A",44.0338617072615,0.199112642833125,957
"H2H+OAF+PSU.E",44.2413369639689,0.24643442395326,957
"H2H+OAF+PSD.E",44.0119504225458,0.194483524953647,957
"H2H+CO(OAF)+PSU.A",44.1180025751001,0.217538158154897,957
"H2H+CO(OAF)+PSD.A",43.7568854708421,0.145007164372177,957
"H2H+CO(OAF)+PSU.E",44.020612727766,0.196092084118192,957
"H2H+CO(OAF)+PSD.E",43.7395227041574,0.142005788718282,957
"H2H+PSU.A+PSD.A",44.5416077152465,0.324494413896225,957
"H2H+PSU.A+PSU.E",44.7962280700903,0.397577312031384,957
"H2H+PSU.A+PSD.E",44.5298115312693,0.3212723036786,957
"H2H+PSD.A+PSU.E",44.4636734348738,0.303215937747861,957
"H2H+PSD.A+PSD.E",44.2551055940474,0.25006623578872,957
"H2H+PSU.E+PSD.E",44.4562794462154,0.301263555582257,957
"CO+OAF+CO(OAF)",44.2183416648598,0.239983781456554,957
"CO+OAF+PSU.A",44.3788075063503,0.278328645669774,957
"CO+OAF+PSD.A",44.1235423990192,0.215573882859593,957
"CO+OAF+PSU.E",44.3144857373081,0.261700311444769,957
"CO+OAF+PSD.E",44.1049149111905,0.211417504062101,957
"CO+CO(OAF)+PSU.A",44.3028603985909,0.258847315203018,957
"CO+CO(OAF)+PSD.A",43.9527602042369,0.178530149761992,957
"CO+CO(OAF)+PSU.E",44.2107274054917,0.236058561166785,957
