"","score","p-value","coverage"
"H2H+CO",50.0636493395367,0.513945643332567,1367
"H2H+OAF",49.0079360158121,0.492422304661827,1457
"H2H+CO(OAF)",50.0290396838814,0.513255950426009,1367
"H2H+PSU.A",49.0579832164058,0.493461958515076,1457
"H2H+PSD.A",49.0102211634206,0.492491334675739,1457
"H2H+PSU.E",49.0358201222171,0.493003132506868,1457
"H2H+PSD.E",49.0102211634206,0.492491334675739,1457
"CO+OAF",49.1226161145223,0.494787229820614,1457
"CO+CO(OAF)",50.0639913935058,0.513956422100301,1364
"CO+PSU.A",49.1116260217039,0.494566565653538,1457
"CO+PSD.A",49.0593569434224,0.493499898600692,1457
"CO+PSU.E",49.0918625525797,0.494156966594512,1457
"CO+PSD.E",49.0593569434224,0.493499898600692,1457
"OAF+CO(OAF)",48.9646039921082,0.491518125258506,1457
"OAF+PSU.A",48.9267684916271,0.490749217508876,1457
"OAF+PSD.A",48.88117378607,0.48982913504618,1457
"OAF+PSU.E",48.9101996093599,0.490405272881664,1457
"OAF+PSD.E",48.88117378607,0.48982913504618,1457
"CO(OAF)+PSU.A",48.8647840661217,0.489474715316862,1457
"CO(OAF)+PSD.A",48.8158096124139,0.48848885990741,1457
"CO(OAF)+PSU.E",48.8411442931419,0.488985549255976,1457
"CO(OAF)+PSD.E",48.8158096124139,0.48848885990741,1457
"PSU.A+PSD.A",49.1679402424644,0.495736901677668,1457
"PSU.A+PSU.E",49.2068688549632,0.496532892044577,1457
"PSU.A+PSD.E",49.1679402424644,0.495736901677668,1457
"PSD.A+PSU.E",49.1465075682964,0.495293503238418,1457
"PSD.A+PSD.E",49.1477741424602,0.495329247169555,1457
"PSU.E+PSD.E",49.1465075682964,0.495293503238418,1457
"H2H+CO+OAF",48.9418118127771,0.491063172982703,1457
"H2H+CO+CO(OAF)",49.8789456912064,0.51019991280066,1367
"H2H+CO+PSU.A",48.9129501534526,0.490477071747668,1457
"H2H+CO+PSD.A",48.8818038854286,0.489849169532876,1457
"H2H+CO+PSU.E",48.9021903992324,0.49025396594882,1457
"H2H+CO+PSD.E",48.8818038854286,0.489849169532876,1457
"H2H+OAF+CO(OAF)",48.8377214177237,0.488915903166053,1457
"H2H+OAF+PSU.A",48.768420975313,0.487503179332096,1457
"H2H+OAF+PSD.A",48.7439966336506,0.48701775661672,1457
"H2H+OAF+PSU.E",48.7603699638374,0.487335483282681,1457
"H2H+OAF+PSD.E",48.7439966336506,0.48701775661672,1457
"H2H+CO(OAF)+PSU.A",48.7356569955154,0.486832010552555,1457
"H2H+CO(OAF)+PSD.A",48.7064248640666,0.48624945336253,1457
"H2H+CO(OAF)+PSU.E",48.7209812810074,0.486528633227541,1457
"H2H+CO(OAF)+PSD.E",48.7064248640666,0.48624945336253,1457
"H2H+PSU.A+PSD.A",48.9805405417585,0.491876361530171,1457
"H2H+PSU.A+PSU.E",49.0080857992448,0.492432202162053,1457
"H2H+PSU.A+PSD.E",48.9805405417585,0.491876361530171,1457
"H2H+PSD.A+PSU.E",48.9681063939537,0.491619085740972,1457
"H2H+PSD.A+PSD.E",48.9729693705991,0.491730374549936,1457
"H2H+PSU.E+PSD.E",48.9681063939537,0.491619085740972,1457
"CO+OAF+CO(OAF)",49.0244653197236,0.492758506187559,1457
"CO+OAF+PSU.A",48.972163335338,0.491686698012784,1457
"CO+OAF+PSD.A",48.9404452479725,0.491044218529151,1457
"CO+OAF+PSU.E",48.9627502713641,0.491491089956036,1457
"CO+OAF+PSD.E",48.9404452479725,0.491044218529151,1457
"CO+CO(OAF)+PSU.A",48.9632204651602,0.491502617719234,1457
"CO+CO(OAF)+PSD.A",48.926815079336,0.490764179996827,1457
"CO+CO(OAF)+PSU.E",48.9490191633445,0.491208449467834,1457
"CO+CO(OAF)+PSD.E",48.926815079336,0.490764179996827,1457
"CO+PSU.A+PSD.A",49.0695985706538,0.493707128199826,1457
"CO+PSU.A+PSU.E",49.0983283747822,0.494291096810268,1457
"CO+PSU.A+PSD.E",49.0695985706538,0.493707128199826,1457
"CO+PSD.A+PSU.E",49.0571248343616,0.493448899408786,1457
"CO+PSD.A+PSD.E",49.0490180858963,0.493291195473767,1457
"CO+PSU.E+PSD.E",49.0571248343616,0.493448899408786,1457
"OAF+CO(OAF)+PSU.A",48.8129782530172,0.488406216166738,1457
"OAF+CO(OAF)+PSD.A",48.7827394561596,0.48779960274871,1457
"OAF+CO(OAF)+PSU.E",48.8018546864071,0.488175312765547,1457
"OAF+CO(OAF)+PSD.E",48.7827394561596,0.48779960274871,1457
"OAF+PSU.A+PSD.A",48.9363306127383,0.490959990109188,1457
"OAF+PSU.A+PSU.E",48.9622823301092,0.491481765359605,1457
"OAF+PSU.A+PSD.E",48.9363306127383,0.490959990109188,1457
"OAF+PSD.A+PSU.E",48.9248325743049,0.490721760924498,1457
"OAF+PSD.A+PSD.E",48.9168271603155,0.490570209406012,1457
"OAF+PSU.E+PSD.E",48.9248325743049,0.490721760924498,1457
"CO(OAF)+PSU.A+PSD.A",48.8728316366065,0.489656099488268,1457
"CO(OAF)+PSU.A+PSU.E",48.8984216147351,0.490167914594156,1457
"CO(OAF)+PSU.A+PSD.E",48.8728316366065,0.489656099488268,1457
"CO(OAF)+PSD.A+PSU.E",48.8586298193046,0.489362440543791,1457
"CO(OAF)+PSD.A+PSD.E",48.8537487515217,0.489276998237171,1457
"CO(OAF)+PSU.E+PSD.E",48.8586298193046,0.489362440543791,1457
"PSU.A+PSD.A+PSU.E",49.1684360411639,0.495743752987359,1457
"PSU.A+PSD.A+PSD.E",49.1559898903298,0.495493102196032,1457
"PSU.A+PSU.E+PSD.E",49.1684360411639,0.495743752987359,1457
"PSD.A+PSU.E+PSD.E",49.142345178589,0.495210967129448,1457
"H2H+CO+OAF+CO(OAF)",48.8752321588947,0.48969016921391,1457
"H2H+CO+OAF+PSU.A",48.8084505085023,0.488325514142373,1457
"H2H+CO+OAF+PSD.A",48.7887366939259,0.487931736098368,1457
"H2H+CO+OAF+PSU.E",48.8032595592498,0.488217164405827,1457
"H2H+CO+OAF+PSD.E",48.7887366939259,0.487931736098368,1457
"H2H+CO+CO(OAF)+PSU.A",48.8175411318207,0.488512016615981,1457
"H2H+CO+CO(OAF)+PSD.A",48.7932567713864,0.488024375103855,1457
"H2H+CO+CO(OAF)+PSU.E",48.8080620473201,0.488315714708791,1457
"H2H+CO+CO(OAF)+PSD.E",48.7932567713864,0.488024375103855,1457
"H2H+CO+PSU.A+PSD.A",48.8978438831464,0.49017506702506,1457
"H2H+CO+PSU.A+PSU.E",48.9190144644486,0.490599931879931,1457
"H2H+CO+PSU.A+PSD.E",48.8978438831464,0.49017506702506,1457
"H2H+CO+PSD.A+PSU.E",48.8898957600864,0.490010381827058,1457
"H2H+CO+PSD.A+PSD.E",48.886532177972,0.489951705187602,1457
"H2H+CO+PSU.E+PSD.E",48.8898957600864,0.490010381827058,1457
"H2H+OAF+CO(OAF)+PSU.A",48.6821824689195,0.48573143487092,1457
"H2H+OAF+CO(OAF)+PSD.A",48.6634649172755,0.485361163423946,1457
"H2H+OAF+CO(OAF)+PSU.E",48.6752619809301,0.485587515796756,1457
"H2H+OAF+CO(OAF)+PSD.E",48.6634649172755,0.485361163423946,1457
"H2H+OAF+PSU.A+PSD.A",48.7873139485176,0.487902924279628,1457
"H2H+OAF+PSU.A+PSU.E",48.8055638478141,0.488264748473857,1457
"H2H+OAF+PSU.A+PSD.E",48.7873139485176,0.487902924279628,1457
"H2H+OAF+PSD.A+PSU.E",48.7802220073244,0.487755712358818,1457
"H2H+OAF+PSD.A+PSD.E",48.7771855828612,0.487706164422417,1457
"H2H+OAF+PSU.E+PSD.E",48.7802220073244,0.487755712358818,1457
"H2H+CO(OAF)+PSU.A+PSD.A",48.7388318100209,0.486910498538776,1457
"H2H+CO(OAF)+PSU.A+PSU.E",48.7573129048032,0.487275636576076,1457
"H2H+CO(OAF)+PSU.A+PSD.E",48.7388318100209,0.486910498538776,1457
"H2H+CO(OAF)+PSD.A+PSU.E",48.7291435757441,0.486710167784126,1457
"H2H+CO(OAF)+PSD.A+PSD.E",48.7285292086911,0.486711265212403,1457
"H2H+CO(OAF)+PSU.E+PSD.E",48.7291435757441,0.486710167784126,1457
"H2H+PSU.A+PSD.A+PSU.E",48.9952976839112,0.49217587940798,1457
"H2H+PSU.A+PSD.A+PSD.E",48.9873803741605,0.492021278244819,1457
"H2H+PSU.A+PSU.E+PSD.E",48.9952976839112,0.49217587940798,1457
"H2H+PSD.A+PSU.E+PSD.E",48.9783027277162,0.491833517122199,1457
"CO+OAF+CO(OAF)+PSU.A",48.8903887455951,0.490000706724633,1457
"CO+OAF+CO(OAF)+PSD.A",48.8670223150943,0.489529468168163,1457
"CO+OAF+CO(OAF)+PSU.E",48.8831668385898,0.489850604252204,1457
"CO+OAF+CO(OAF)+PSD.E",48.8670223150943,0.489529468168163,1457
"CO+OAF+PSU.A+PSD.A",48.9482753465423,0.491204420706671,1457
"CO+OAF+PSU.A+PSU.E",48.9687567743153,0.491616939756118,1457
"CO+OAF+PSU.A+PSD.E",48.9482753465423,0.491204420706671,1457
"CO+OAF+PSD.A+PSU.E",48.9405304021161,0.4910437860004,1457
"CO+OAF+PSD.A+PSD.E",48.9310968162972,0.490859281567769,1457
"CO+OAF+PSU.E+PSD.E",48.9405304021161,0.4910437860004,1457
"CO+CO(OAF)+PSU.A+PSD.A",48.9248034667098,0.49072206778461,1457
"CO+CO(OAF)+PSU.A+PSU.E",48.9461649071693,0.491151983201803,1457
"CO+CO(OAF)+PSU.A+PSD.E",48.9248034667098,0.49072206778461,1457
"CO+CO(OAF)+PSD.A+PSU.E",48.9151564143051,0.490522358740053,1457
"CO+CO(OAF)+PSD.A+PSD.E",48.9075833766665,0.490376676923973,1457
"CO+CO(OAF)+PSU.E+PSD.E",48.9151564143051,0.490522358740053,1457
"CO+PSU.A+PSD.A+PSU.E",49.0822960497444,0.49396597130076,1457
"CO+PSU.A+PSD.A+PSD.E",49.0696656304526,0.493712204394395,1457
"CO+PSU.A+PSU.E+PSD.E",49.0822960497444,0.49396597130076,1457
"CO+PSD.A+PSU.E+PSD.E",49.0603942530271,0.493520376796911,1457
"OAF+CO(OAF)+PSU.A+PSD.A",48.8096669455806,0.488352877456292,1457
"OAF+CO(OAF)+PSU.A+PSU.E",48.8283726802546,0.488724976445325,1457
"OAF+CO(OAF)+PSU.A+PSD.E",48.8096669455806,0.488352877456292,1457
"OAF+CO(OAF)+PSD.A+PSU.E",48.8009550919889,0.488172350249708,1457
"OAF+CO(OAF)+PSD.A+PSD.E",48.7933297373064,0.488028300905717,1457
"OAF+CO(OAF)+PSU.E+PSD.E",48.8009550919889,0.488172350249708,1457
"OAF+PSU.A+PSD.A+PSU.E",48.9770444161898,0.491794901760775,1457
"OAF+PSU.A+PSD.A+PSD.E",48.9651999353173,0.491559944652345,1457
"OAF+PSU.A+PSU.E+PSD.E",48.9770444161898,0.491794901760775,1457
"OAF+PSD.A+PSU.E+PSD.E",48.9564112672147,0.491378006305719,1457
"CO(OAF)+PSU.A+PSD.A+PSU.E",48.9209368027182,0.490641379539724,1457
"CO(OAF)+PSU.A+PSD.A+PSD.E",48.9100955487005,0.49042848974531,1457
"CO(OAF)+PSU.A+PSU.E+PSD.E",48.9209368027182,0.490641379539724,1457
"CO(OAF)+PSD.A+PSU.E+PSD.E",48.8998509166781,0.490216709177852,1457
"PSU.A+PSD.A+PSU.E+PSD.E",49.1562403753906,0.495494932404275,1457
"CO(OAF)+PSU.A+PSD.A+PSU.E+PSD.E",48.9475992015651,0.491195269293565,1457
"OAF+PSU.A+PSD.A+PSU.E+PSD.E",48.9960364680289,0.492190920562767,1457
"OAF+CO(OAF)+PSD.A+PSU.E+PSD.E",48.8298033638602,0.488772923894497,1457
"OAF+CO(OAF)+PSU.A+PSU.E+PSD.E",48.8468311299961,0.489114557029175,1457
"OAF+CO(OAF)+PSU.A+PSD.A+PSD.E",48.8369035730349,0.488919929891115,1457
"OAF+CO(OAF)+PSU.A+PSD.A+PSU.E",48.8468311299961,0.489114557029175,1457
