"","score","p-value.basic.pure","p-value.oaf.pure","coverage"
"H2H&CO&OAF",0.680208333333333,0.00457027857412304,0.050171235017625,960
"H2H&CO&CO(OAF)",0.674975074775673,0.00866913791480978,0.0802975296650357,1003
"H2H&CO&PSU",0.659465020576132,0.054741315027027,0.2639636115256,972
"H2H&CO&PSD",0.660123966942149,0.051477009235683,0.253812940956414,968
"H2H&OAF&CO(OAF)",0.674234945705824,0.00940536546614026,0.0853342838635861,1013
"H2H&OAF&PSU",0.692235734331151,0.000487243575611899,0.0105622596874664,1069
"H2H&OAF&PSD",0.69441816461684,0.000338463910940831,0.00797287040438814,1057
"H2H&CO(OAF)&PSU",0.680042238648363,0.00482002978459038,0.0516866406405101,947
"H2H&CO(OAF)&PSD",0.680805938494168,0.00436265821279346,0.0480401704980622,943
"H2H&PSU&PSD",0.671701112877583,0.00928064564245564,0.0940312213379045,1258
"CO&OAF&CO(OAF)",0.659633027522936,0.0484761815749612,0.254800928321303,1090
"CO&OAF&PSU",0.666666666666667,0.0192703299444008,0.148828099109033,1209
"CO&OAF&PSD",0.672742336371168,0.00856458987182243,0.0873833567313448,1207
"CO&CO(OAF)&PSU",0.653211009174312,0.0904691443082705,0.367998241839781,1090
"CO&CO(OAF)&PSD",0.656880733944954,0.0640445251550832,0.301125706095485,1090
"CO&PSU&PSD",0.666923076923077,0.016983713642765,0.141444746802059,1300
"OAF&CO(OAF)&PSU",0.680727874276261,0.00253765819808781,0.0379210466304329,1209
"OAF&CO(OAF)&PSD",0.681855840927921,0.00211729458813449,0.0333434891589489,1207
"OAF&PSU&PSD",0.674079754601227,0.00617991545042904,0.0729136541992647,1304
"CO(OAF)&PSU&PSD",0.674615384615385,0.00573113413223297,0.0691928806515116,1300
"CO&OAF&CO(OAF)&PSU&PSD",0.674129353233831,0.00703104041164352,0.0764895475033598,1206
"H2H&OAF&CO(OAF)&PSU&PSD",0.694670280036134,0.000275088134460704,0.00707216908189038,1107
"H2H&CO&CO(OAF)&PSU&PSD",0.665346534653465,0.0282332804922781,0.176668122630382,1010
"H2H&CO&OAF&PSU&PSD",0.678070175438596,0.00436231673288761,0.0535369282170332,1140
"H2H&CO&OAF&CO(OAF)&PSD",0.682086614173228,0.00304814348193064,0.0389136426406,1016
"H2H&CO&OAF&CO(OAF)&PSU",0.681145113524186,0.00353744462561372,0.0431832538592601,1013
