"","score","p-value.basic.pure","p-value.oaf.pure","coverage"
"H2H&&CO",0.691729323308271,0.00200574976555485,0.0920633160581232,399
"H2H&&OAF",0.697104677060134,0.000638903824799948,0.0546157995430844,449
"H2H&&CO(OAF)",0.701594533029613,0.000382547730076764,0.0389413516909051,439
"H2H&&PSU",0.665116279069767,0.025185543571412,0.365161144984648,430
"H2H&&PSD",0.671394799054373,0.0146431762766255,0.280466086840514,423
"CO&&OAF",0.681145113524186,0.000283486381379679,0.0992425215538464,1013
"CO&&CO(OAF)",0.660649819494585,0.00687626487129842,0.405762876949722,1108
"CO&&PSU",0.641938674579624,0.0729897542106035,0.763507795858676,1011
"CO&&PSD",0.637964774951076,0.104154944681121,0.8214628261288,1022
"OAF&&CO(OAF)",0.673783091374893,0.000684667087134037,0.172612982151706,1171
"OAF&&PSU",0.668173598553345,0.00214895005880992,0.263268861508873,1106
"OAF&&PSD",0.665765765765766,0.00314489625155904,0.306005509677678,1110
"CO(OAF)&&PSU",0.658583899127061,0.0105142641005221,0.449211075738289,1031
"CO(OAF)&&PSD",0.656007751937985,0.0147475916147993,0.501726966082869,1032
"PSU&&PSD",0.594536304816679,0.837885664324487,0.999597829834519,1391
"H2H&&CO&&OAF",0.720797720797721,8.75357003113224e-05,0.0106783003085316,351
"H2H&&CO&&CO(OAF)",0.722991689750693,5.35451224227959e-05,0.00802472500749216,361
"H2H&&CO&&PSU",0.69364161849711,0.00268768593582144,0.0930014070571814,346
"H2H&&CO&&PSD",0.700581395348837,0.00127278939175816,0.0588110159544256,344
"H2H&&OAF&&CO(OAF)",0.709134615384615,0.000172799145042906,0.0219313816742996,416
"H2H&&OAF&&PSU",0.702842377260982,0.000582321735202168,0.042301576726597,387
"H2H&&OAF&&PSD",0.704960835509138,0.000464966631417711,0.0362537168113508,383
"H2H&&CO(OAF)&&PSU",0.7,0.000901590871055204,0.0539964013992261,380
"H2H&&CO(OAF)&&PSD",0.711229946524064,0.000228072915814866,0.0222586295699816,374
"H2H&&PSU&&PSD",0.677184466019418,0.00883836568194169,0.213572409272384,412
"CO&&OAF&&CO(OAF)",0.684371807967314,0.000174602903859136,0.0751652144266274,979
"CO&&OAF&&PSU",0.68187134502924,0.000472851078724093,0.104376780646689,855
"CO&&OAF&&PSD",0.674768518518518,0.00148359537158635,0.180932562309212,864
"CO&&CO(OAF)&&PSU",0.668502202643172,0.00337919362679504,0.269565423075986,908
"CO&&CO(OAF)&&PSD",0.663019693654267,0.00726905312710574,0.365810558874595,914
"CO&&PSU&&PSD",0.642276422764228,0.0722581041934068,0.756510114725493,984
"OAF&&CO(OAF)&&PSU",0.67478813559322,0.00112446948558224,0.174158525115283,944
"OAF&&CO(OAF)&&PSD",0.670886075949367,0.00209288483982062,0.228982510884637,948
"OAF&&PSU&&PSD",0.67196261682243,0.00124342052753444,0.204637784049982,1070
"CO(OAF)&&PSU&&PSD",0.663663663663664,0.00549478686958696,0.350131590819139,999
"OAF&&CO(OAF)&&PSU&&PSD",0.67791077257889,0.000723366971813763,0.138595891332353,919
"CO&&CO(OAF)&&PSU&&PSD",0.66967305524239,0.00301499430377495,0.252226843747443,887
"CO&&OAF&&PSU&&PSD",0.68057210965435,0.000633241828231819,0.117784334625005,839
"CO&&OAF&&CO(OAF)&&PSD",0.677380952380952,0.00106821454241824,0.151274363629411,840
"CO&&OAF&&CO(OAF)&&PSU",0.684717208182912,0.000320802419347208,0.0831199854484007,831
"H2H&&CO(OAF)&&PSU&&PSD",0.713896457765668,0.000175763428383026,0.0182498116691032,367
"H2H&&OAF&&PSU&&PSD",0.710106382978723,0.000258084847495853,0.0242992358128689,376
"H2H&&OAF&&CO(OAF)&&PSD",0.713114754098361,0.000198450920979134,0.0196746608710439,366
"H2H&&OAF&&CO(OAF)&&PSU",0.708108108108108,0.000364967402131158,0.0296249471919018,370
"H2H&&CO&&PSU&&PSD",0.701183431952663,0.00127653223423164,0.057646547055501,338
"H2H&&CO&&CO(OAF)&&PSD",0.726993865030675,5.86782893800384e-05,0.00716234578348351,326
"H2H&&CO&&CO(OAF)&&PSU",0.716463414634146,0.00023165071680382,0.0184280227350896,328
"H2H&&CO&&OAF&&PSD",0.722222222222222,0.000116957467362014,0.0113983931153639,324
"H2H&&CO&&OAF&&PSU",0.72,0.00015413496297158,0.0138182289010978,325
"H2H&&CO&&OAF&&CO(OAF)",0.726744186046512,4.25896670140349e-05,0.00630068793179339,344
"CO&&OAF&&CO(OAF)&&PSU&&PSD",0.683823529411765,0.000403400000335283,0.0912542873200343,816
"H2H&&OAF&&CO(OAF)&&PSU&&PSD",0.716666666666667,0.000133895053407215,0.0147953725514553,360
"H2H&&CO&&CO(OAF)&&PSU&&PSD",0.725856697819315,7.58305682595808e-05,0.00833323321828248,321
"H2H&&CO&&OAF&&PSU&&PSD",0.721875,0.000131855104852782,0.0121247437463522,320
"H2H&&CO&&OAF&&CO(OAF)&&PSD",0.725,8.68811510486518e-05,0.0091069135515093,320
"H2H&&CO&&OAF&&CO(OAF)&&PSU",0.721875,0.000131855104852782,0.0121247437463522,320
"All",0.724683544303797,9.80029968437523e-05,0.00969195581221305,316
