surface,id1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,grass_sample_size1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,hard_sample_size1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,clay_sample_size1,carpet_pts_served1,carpet_service_pts_won1,carpet_pts_received1,carpet_receiving_pts_won1,carpet_aces1,carpet_sample_size1,co2_pts_served1,co2_service_pts_won1,co2_pts_received1,co2_receiving_pts_won1,co2_aces1,co2_sample_size1,co2nsf_pts_served1,co2nsf_service_pts_won1,co2nsf_pts_received1,co2nsf_receiving_pts_won1,co2nsf_aces1,co2nsf_sample_size1,id2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,grass_sample_size2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,hard_sample_size2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,clay_sample_size2,carpet_pts_served2,carpet_service_pts_won2,carpet_pts_received2,carpet_receiving_pts_won2,carpet_aces2,carpet_sample_size2,co2_pts_served2,co2_service_pts_won2,co2_pts_received2,co2_receiving_pts_won2,co2_aces2,co2_sample_size2,co2nsf_pts_served2,co2nsf_service_pts_won2,co2nsf_pts_received2,co2nsf_receiving_pts_won2,co2nsf_aces2,co2nsf_sample_size2
Hard,201492,0,0,0,0,0,0,278,174,318,145,14,5,169,94,154,80,0,3,0,0,0,0,0,0,176,103,193,84,7,3,176,103,193,84,7,3,202469,86,48,93,40,2,1,458,266,453,201,11,5,160,83,164,65,4,2,0,0,0,0,0,0,279,167,300,140,7,3,279,167,300,140,7,3
Hard,201355,76,37,70,30,0,1,541,291,536,252,25,9,284,156,336,151,10,9,0,0,0,0,0,0,245,140,214,106,15,5,245,140,214,106,15,6,201521,119,62,98,46,2,3,564,290,565,254,8,9,478,246,479,226,6,10,122,64,148,70,2,2,405,191,391,177,5,6,788,374,764,342,11,12
Hard,201492,103,60,126,59,4,1,750,415,756,349,17,9,169,95,201,84,3,4,0,0,0,0,0,0,548,299,551,250,15,6,596,327,623,276,16,7,201355,134,67,141,55,2,3,740,382,757,342,29,11,73,31,54,22,1,2,0,0,0,0,0,0,398,209,467,229,13,7,398,209,467,229,13,9
Hard,201521,80,44,82,42,1,2,279,165,324,146,1,5,260,138,276,126,4,5,0,0,0,0,0,1,77,36,76,34,0,1,148,78,152,71,1,2,201450,104,72,146,71,4,3,192,102,169,65,8,4,112,51,118,40,1,3,70,35,49,14,6,1,0,0,0,0,0,1,0,0,0,0,0,1
Hard,201492,103,60,126,59,4,1,428,244,438,205,15,5,352,187,355,168,3,4,0,0,0,0,0,0,233,140,255,119,10,3,233,140,255,119,10,3,201450,94,55,66,32,1,1,171,83,152,50,2,5,214,108,212,81,4,3,0,0,0,0,0,0,116,58,108,38,1,3,116,58,108,38,1,3
Hard,201521,215,115,176,83,3,3,407,193,397,183,5,5,267,149,269,140,1,3,0,0,0,0,0,0,369,181,356,169,5,4,510,252,487,231,5,6,201492,0,0,0,0,0,0,460,248,450,205,13,5,181,103,188,91,3,4,0,0,0,0,0,0,283,154,282,124,4,3,331,182,354,150,5,4
Hard,201495,0,0,0,0,0,1,777,413,765,349,10,13,92,46,63,35,1,2,0,0,0,0,0,0,304,152,304,156,8,6,304,152,304,156,8,6,201450,211,129,216,79,8,4,247,127,213,77,9,5,168,87,145,62,4,3,70,35,49,14,6,1,247,127,213,77,9,5,247,127,213,77,9,5
Hard,201495,53,24,54,19,0,2,1092,624,1089,505,15,16,314,157,265,112,5,5,0,0,0,0,0,0,940,541,933,424,13,12,1135,628,1096,493,14,15,201521,121,65,120,44,1,3,921,466,955,412,10,14,637,329,620,282,10,12,122,64,148,70,2,2,863,439,887,382,9,13,1410,719,1421,612,16,21
Hard,201492,103,60,126,59,4,1,296,156,292,123,4,3,204,114,232,96,3,3,0,0,0,0,0,0,296,156,292,123,4,3,447,244,490,208,9,5,201495,53,24,54,19,0,1,443,232,474,224,8,6,0,0,0,0,0,0,0,0,0,0,0,0,207,112,229,107,1,3,260,136,283,126,1,4
Hard,202469,42,29,49,29,2,1,627,364,609,253,16,8,178,112,151,68,8,3,0,0,0,0,0,0,491,289,479,209,13,6,491,289,479,209,13,6,201427,65,35,60,21,0,1,452,230,435,200,7,7,60,29,75,32,0,3,0,0,0,0,0,0,298,141,304,131,3,5,298,141,304,131,3,5
Hard,202469,49,24,48,15,0,1,127,68,92,31,5,2,0,0,0,0,0,1,0,0,0,0,0,0,127,68,92,31,5,2,127,68,92,31,5,2,201355,76,37,70,30,0,1,126,60,112,39,7,2,76,38,97,43,1,2,0,0,0,0,0,0,126,60,112,39,7,2,126,60,112,39,7,2
