surface,id1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,grass_sample_size1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,hard_sample_size1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,clay_sample_size1,carpet_pts_served1,carpet_service_pts_won1,carpet_pts_received1,carpet_receiving_pts_won1,carpet_aces1,carpet_sample_size1,co2_pts_served1,co2_service_pts_won1,co2_pts_received1,co2_receiving_pts_won1,co2_aces1,co2_sample_size1,co2nsf_pts_served1,co2nsf_service_pts_won1,co2nsf_pts_received1,co2nsf_receiving_pts_won1,co2nsf_aces1,co2nsf_sample_size1,id2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,grass_sample_size2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,hard_sample_size2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,clay_sample_size2,carpet_pts_served2,carpet_service_pts_won2,carpet_pts_received2,carpet_receiving_pts_won2,carpet_aces2,carpet_sample_size2,co2_pts_served2,co2_service_pts_won2,co2_pts_received2,co2_receiving_pts_won2,co2_aces2,co2_sample_size2,co2nsf_pts_served2,co2nsf_service_pts_won2,co2nsf_pts_received2,co2nsf_receiving_pts_won2,co2nsf_aces2,co2nsf_sample_size2
Hard,104745,847,585,897,337,57,9,5724,3793,5983,2380,240,80,4568,3049,4868,2249,157,71,0,0,0,0,0,0,4247,2812,4458,1753,166,58,7717,5084,8143,3370,301,107,106071,1131,750,1042,326,113,13,4564,2861,4406,1481,337,54,1154,665,1138,408,54,19,0,0,0,0,0,0,3571,2180,3367,1119,248,43,4360,2659,4048,1315,302,54
Hard,106423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,106058,99,63,77,24,9,2,1338,848,1226,394,143,15,214,141,231,69,17,2,0,0,0,0,0,0,1195,755,1091,358,126,14,1330,851,1234,404,143,16,104735,145,98,121,19,7,2,1238,735,1264,516,35,17,208,110,189,67,3,4,0,0,0,0,0,0,1136,676,1170,480,31,15,1339,812,1349,525,38,18
Hard,104792,303,204,351,138,40,5,3935,2531,4031,1510,431,49,1148,704,1184,457,84,13,0,0,0,0,0,0,3188,2029,3246,1221,344,37,4145,2601,4175,1563,387,48,105992,1333,851,1243,401,102,15,3073,1885,2937,985,272,38,760,477,715,228,51,10,0,0,0,0,0,0,2648,1627,2515,841,240,33,3820,2353,3541,1150,317,46
Hard,104312,1613,1044,1610,596,89,17,2749,1700,2753,991,167,39,2237,1324,2136,794,100,28,0,0,0,0,0,0,1487,913,1461,540,92,22,3229,1995,3145,1128,179,41,103720,1235,780,1174,432,85,17,3310,2011,3252,1186,212,36,283,151,258,101,16,5,0,0,0,0,0,0,1510,921,1425,493,92,17,1918,1187,1822,655,120,23
Hard,105385,457,252,400,127,25,5,2343,1373,2346,878,58,28,227,121,258,95,8,3,0,0,0,0,0,0,1561,918,1603,612,40,19,1621,953,1665,632,44,20,104898,456,291,428,143,43,5,1960,1190,1888,652,159,23,1551,918,1502,573,86,24,0,0,0,0,0,0,1570,953,1498,522,113,18,2456,1501,2456,891,168,31
Hard,105583,0,0,0,0,0,0,53,41,66,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106298,78,43,61,18,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard,105453,625,393,653,253,27,8,3183,1930,3408,1347,105,48,610,371,676,308,11,8,0,0,0,0,0,0,2708,1672,2945,1173,95,41,3200,1976,3529,1403,108,48,104594,416,232,369,107,25,6,3486,2111,3433,1256,179,44,580,314,568,227,14,9,0,0,0,0,0,0,3125,1901,3096,1148,156,39,3605,2150,3560,1330,171,47
Hard,105683,523,383,558,179,108,7,3362,2444,3678,1303,717,50,1315,898,1381,491,186,19,0,0,0,0,0,0,1046,793,1163,409,235,18,1423,1065,1555,568,306,23,104593,203,101,176,42,7,3,1307,808,1340,450,89,17,3475,2054,3521,1322,182,43,0,0,0,0,0,0,1150,693,1175,410,73,15,1680,1013,1777,644,97,21
Hard,103812,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,105376,0,0,0,0,0,0,103,69,128,55,8,1,0,0,0,0,0,0,0,0,0,0,0,0,103,69,128,55,8,1,103,69,128,55,8,1
Hard,104229,270,190,280,94,17,3,444,260,449,162,25,7,86,56,81,27,4,1,0,0,0,0,0,0,340,203,334,118,21,6,340,203,334,118,21,6,104499,361,209,341,119,11,4,312,199,314,111,11,5,0,0,0,0,0,0,0,0,0,0,0,0,188,102,188,71,4,4,188,102,188,71,4,4
