P1,P2,PointServer,PointWinner,P1Score,P2Score,SetNo
Rafael Nadal,John Isner,1,1,0,0,3
Rafael Nadal,John Isner,2,1,15,0,3
Rafael Nadal,John Isner,2,1,30,0,3
Rafael Nadal,John Isner,2,2,30,15,3
Rafael Nadal,John Isner,2,2,30,30,3
Rafael Nadal,John Isner,2,2,30,40,3
Rafael Nadal,John Isner,2,1,40,40,3
Rafael Nadal,John Isner,2,1,AD,40,3
Rafael Nadal,John Isner,2,2,40,40,3
Rafael Nadal,John Isner,2,2,40,AD,3
Rafael Nadal,John Isner,2,2,0,0,3
Rafael Nadal,John Isner,1,1,15,0,3
Rafael Nadal,John Isner,1,2,15,15,3
Rafael Nadal,John Isner,1,1,30,15,3
Rafael Nadal,John Isner,1,1,40,15,3
Rafael Nadal,John Isner,1,1,0,0,3
Rafael Nadal,John Isner,2,1,15,0,3
Rafael Nadal,John Isner,2,2,15,15,3
Rafael Nadal,John Isner,2,2,15,30,3
Rafael Nadal,John Isner,2,2,15,40,3
Rafael Nadal,John Isner,2,2,0,0,3
Rafael Nadal,John Isner,1,1,15,0,3
Rafael Nadal,John Isner,1,1,30,0,3
Rafael Nadal,John Isner,1,1,40,0,3
Rafael Nadal,John Isner,1,1,0,0,3
Rafael Nadal,John Isner,2,1,15,0,3
Rafael Nadal,John Isner,2,2,15,15,3
Rafael Nadal,John Isner,2,2,15,30,3
Rafael Nadal,John Isner,2,2,15,40,3
Rafael Nadal,John Isner,2,2,0,0,3
Rafael Nadal,John Isner,1,2,0,15,3
Rafael Nadal,John Isner,1,1,15,15,3
Rafael Nadal,John Isner,1,1,30,15,3
Rafael Nadal,John Isner,1,1,40,15,3
Rafael Nadal,John Isner,1,1,0,0,3
Rafael Nadal,John Isner,2,2,0,15,3
Rafael Nadal,John Isner,2,1,15,15,3
Rafael Nadal,John Isner,2,1,30,15,3
Rafael Nadal,John Isner,2,2,30,30,3
Rafael Nadal,John Isner,2,2,30,40,3
Rafael Nadal,John Isner,2,2,0,0,3
Rafael Nadal,John Isner,1,1,15,0,3
Rafael Nadal,John Isner,1,1,30,0,3
Rafael Nadal,John Isner,1,1,40,0,3
Rafael Nadal,John Isner,1,1,0,0,3
Rafael Nadal,John Isner,2,2,0,15,3
Rafael Nadal,John Isner,2,2,0,30,3
Rafael Nadal,John Isner,2,2,0,40,3
Rafael Nadal,John Isner,2,2,0,0,3
Rafael Nadal,John Isner,1,1,15,0,3
Rafael Nadal,John Isner,1,1,30,0,3
Rafael Nadal,John Isner,1,1,40,0,3
Rafael Nadal,John Isner,1,1,0,0,3
Rafael Nadal,John Isner,2,1,15,0,3
