P1,P2,PointServer,PointWinner,P1Score,P2Score,SetNo
Novak Djokovic,Jerzy Janowicz,0,0,0,0,1
Novak Djokovic,Jerzy Janowicz,1,2,0,15,1
Novak Djokovic,Jerzy Janowicz,1,1,15,15,1
Novak Djokovic,Jerzy Janowicz,1,1,30,15,1
Novak Djokovic,Jerzy Janowicz,1,1,40,15,1
Novak Djokovic,Jerzy Janowicz,1,2,40,30,1
Novak Djokovic,Jerzy Janowicz,1,1,0,0,1
Novak Djokovic,Jerzy Janowicz,2,1,15,0,1
Novak Djokovic,Jerzy Janowicz,2,2,15,15,1
Novak Djokovic,Jerzy Janowicz,2,1,30,15,1
Novak Djokovic,Jerzy Janowicz,2,1,40,15,1
Novak Djokovic,Jerzy Janowicz,2,2,40,30,1
Novak Djokovic,Jerzy Janowicz,2,2,40,40,1
Novak Djokovic,Jerzy Janowicz,2,2,40,AD,1
Novak Djokovic,Jerzy Janowicz,2,2,0,0,1
Novak Djokovic,Jerzy Janowicz,1,1,15,0,1
Novak Djokovic,Jerzy Janowicz,1,1,30,0,1
Novak Djokovic,Jerzy Janowicz,1,1,40,0,1
Novak Djokovic,Jerzy Janowicz,1,2,40,15,1
Novak Djokovic,Jerzy Janowicz,1,2,40,30,1
Novak Djokovic,Jerzy Janowicz,1,2,40,40,1
Novak Djokovic,Jerzy Janowicz,1,1,AD,40,1
Novak Djokovic,Jerzy Janowicz,1,1,0,0,1
Novak Djokovic,Jerzy Janowicz,2,2,0,15,1
Novak Djokovic,Jerzy Janowicz,2,2,0,30,1
Novak Djokovic,Jerzy Janowicz,2,2,0,40,1
Novak Djokovic,Jerzy Janowicz,2,1,15,40,1
Novak Djokovic,Jerzy Janowicz,2,2,0,0,1
Novak Djokovic,Jerzy Janowicz,1,1,15,0,1
Novak Djokovic,Jerzy Janowicz,1,2,15,15,1
Novak Djokovic,Jerzy Janowicz,1,1,30,15,1
Novak Djokovic,Jerzy Janowicz,1,2,30,30,1
Novak Djokovic,Jerzy Janowicz,1,2,30,40,1
Novak Djokovic,Jerzy Janowicz,1,1,40,40,1
Novak Djokovic,Jerzy Janowicz,1,2,40,AD,1
Novak Djokovic,Jerzy Janowicz,1,1,40,40,1
Novak Djokovic,Jerzy Janowicz,1,1,AD,40,1
Novak Djokovic,Jerzy Janowicz,1,1,0,0,1
Novak Djokovic,Jerzy Janowicz,2,1,15,0,1
Novak Djokovic,Jerzy Janowicz,2,2,15,15,1
