name,t_serve_total,t_serve_won,t_receive_total,t_receive_won,1_serve_total,1_serve_won,1_receive_total,1_receive_won,2_serve_total,2_serve_won,2_receive_total,2_receive_won,3_serve_total,3_serve_won,3_receive_total,3_receive_won,4_serve_total,4_serve_won,4_receive_total,4_receive_won,5_serve_total,5_serve_won,5_receive_total,5_receive_won,6_serve_total,6_serve_won,6_receive_total,6_receive_won,7_serve_total,7_serve_won,7_receive_total,7_receive_won,8_serve_total,8_serve_won,8_receive_total,8_receive_won,9_serve_total,9_serve_won,9_receive_total,9_receive_won,10_serve_total,10_serve_won,10_receive_total,10_receive_won,11_serve_total,11_serve_won,11_receive_total,11_receive_won,12_serve_total,12_serve_won,12_receive_total,12_receive_won,13_serve_total,13_serve_won,13_receive_total,13_receive_won,14_serve_total,14_serve_won,14_receive_total,14_receive_won,15_serve_total,15_serve_won,15_receive_total,15_receive_won,16_serve_total,16_serve_won,16_receive_total,16_receive_won,17_serve_total,17_serve_won,17_receive_total,17_receive_won,18_serve_total,18_serve_won,18_receive_total,18_receive_won
Magda Linette,0,0,0,0,50,20,53,15,20,10,38,13,30,16,15,2,10,6,25,10,26,12,26,5,13,4,2,2,6,1,15,4,16,7,31,13,18,10,5,2,9,5,2,0,12,6,22,9,19,11,16,7,13,8,4,4,17,6,18,12,16,7,7,2,37,20,33,12,20,11,21,10,17,10,12,6
Kurumi Nara,5,4,4,3,119,53,121,56,53,28,65,30,66,37,56,22,28,18,35,13,62,40,64,31,29,16,21,5,18,8,22,10,50,23,46,26,38,23,47,18,13,9,5,2,33,14,30,7,50,26,55,14,24,12,21,7,45,22,48,19,36,21,28,12,83,41,62,24,41,24,38,17,42,22,24,14
Kiki Bertens,29,14,28,15,97,54,98,45,54,32,53,23,43,19,45,22,32,19,30,10,41,22,46,12,24,13,22,13,19,9,20,2,35,17,44,19,32,16,21,4,11,7,13,5,27,13,27,12,34,21,36,8,23,14,12,4,35,22,40,15,27,12,16,11,48,32,43,17,32,18,26,13,16,9,17,7
Petra Kvitova,15,11,15,7,243,157,236,93,157,110,143,68,86,44,93,43,110,61,75,28,91,59,118,51,42,27,43,21,61,43,47,14,108,58,95,47,59,33,73,32,15,6,21,9,76,50,62,33,83,51,88,42,32,22,44,15,77,54,79,32,54,27,71,39,96,55,94,45,55,36,49,13,41,27,45,28
Marco Cecchinato,20,12,20,7,52,33,53,15,33,18,38,8,19,10,15,3,18,9,30,9,25,10,20,9,9,6,3,0,9,4,21,2,19,11,20,4,21,14,12,1,3,1,0,0,16,9,18,5,22,11,15,6,8,4,1,1,18,11,14,5,15,12,6,0,29,21,18,7,21,14,11,2,8,3,7,2
Mardy Fish,6,4,6,1,41,22,41,17,22,18,24,9,19,13,17,7,18,10,15,7,17,8,19,13,6,3,7,5,10,9,8,5,16,10,13,3,12,10,15,7,3,0,5,2,11,7,15,4,16,11,11,5,2,0,10,6,15,9,10,5,5,5,9,1,18,11,16,5,11,9,11,2,7,5,5,4
Illya Marchenko,25,16,25,5,91,53,96,36,53,24,60,12,38,23,36,14,24,16,48,17,52,38,34,8,15,10,13,3,16,11,31,11,46,29,43,18,24,11,18,7,5,2,3,3,34,21,36,8,28,16,29,13,15,8,7,2,29,21,24,10,20,12,18,8,35,23,37,9,23,15,28,11,12,7,9,3
Guido Pella,50,24,51,16,87,58,88,30,58,42,58,21,29,18,30,9,42,32,37,15,34,25,42,9,11,10,9,1,32,26,22,6,35,20,48,17,19,8,17,3,1,1,1,0,26,18,37,13,23,13,31,9,12,8,4,2,21,12,35,12,18,12,11,6,37,24,38,15,24,16,23,11,13,8,15,5
Radu Albot,12,9,12,2,81,49,80,29,49,33,51,17,32,12,29,8,33,16,34,13,28,16,38,15,20,13,8,3,16,10,21,9,33,23,36,11,25,12,20,9,7,2,3,3,29,20,34,16,22,10,22,5,15,8,9,4,19,10,33,13,20,11,10,6,33,21,41,18,21,14,23,13,12,6,18,7
David Ferrer,51,28,52,20,399,263,400,174,263,166,226,108,136,78,174,78,166,117,118,55,175,112,204,77,58,32,78,28,117,73,63,23,161,112,182,74,95,52,127,59,26,16,28,12,156,105,131,55,101,60,142,62,59,34,75,29,111,67,135,60,75,47,108,54,151,102,200,77,102,74,123,48,49,32,77,38
