name,t_serve_total,t_serve_won,t_receive_total,t_receive_won,1_serve_total,1_serve_won,1_receive_total,1_receive_won,2_serve_total,2_serve_won,2_receive_total,2_receive_won,3_serve_total,3_serve_won,3_receive_total,3_receive_won,4_serve_total,4_serve_won,4_receive_total,4_receive_won,5_serve_total,5_serve_won,5_receive_total,5_receive_won,6_serve_total,6_serve_won,6_receive_total,6_receive_won,7_serve_total,7_serve_won,7_receive_total,7_receive_won,8_serve_total,8_serve_won,8_receive_total,8_receive_won,9_serve_total,9_serve_won,9_receive_total,9_receive_won,10_serve_total,10_serve_won,10_receive_total,10_receive_won,11_serve_total,11_serve_won,11_receive_total,11_receive_won,12_serve_total,12_serve_won,12_receive_total,12_receive_won,13_serve_total,13_serve_won,13_receive_total,13_receive_won,14_serve_total,14_serve_won,14_receive_total,14_receive_won,15_serve_total,15_serve_won,15_receive_total,15_receive_won,16_serve_total,16_serve_won,16_receive_total,16_receive_won,17_serve_total,17_serve_won,17_receive_total,17_receive_won,18_serve_total,18_serve_won,18_receive_total,18_receive_won
Novak Djokovic,63,42,64,25,467,326,451,188,326,236,263,110,141,102,188,77,236,170,153,56,192,132,221,95,39,25,77,37,170,120,97,39,198,131,182,84,85,55,135,54,14,10,37,13,181,121,137,48,122,84,165,74,40,29,78,28,144,107,139,52,67,44,124,59,151,106,238,96,106,70,142,69,45,34,96,44
Philipp Kohlschreiber,22,11,20,3,111,66,113,43,65,38,70,16,45,25,43,15,38,24,54,17,52,35,44,16,20,17,15,5,24,15,37,12,49,30,45,17,34,18,26,9,3,2,5,3,39,29,40,15,37,22,34,13,18,12,11,2,32,25,36,14,27,18,22,8,43,23,55,13,23,16,42,19,20,11,13,5
Denis Kudla,30,21,30,14,193,127,193,64,127,75,129,46,66,42,64,22,75,48,83,17,94,63,88,30,24,11,22,10,48,33,66,28,90,52,75,33,42,22,41,16,13,11,10,2,67,46,70,28,60,44,59,20,31,18,24,10,65,44,67,24,34,18,34,14,69,45,87,33,45,29,54,23,24,14,33,13
Malek Jaziri,0,0,0,0,13,7,13,4,7,3,9,2,6,6,4,0,3,2,7,3,10,6,6,2,0,0,0,0,2,1,4,2,7,5,7,2,4,1,2,0,0,0,0,0,6,3,7,1,3,1,4,0,3,2,0,0,4,1,5,1,4,4,0,0,12,8,1,0,8,3,1,0,4,0,0,0
Ernests Gulbis,13,8,13,4,13,9,14,4,9,3,10,1,4,3,4,0,3,2,9,3,9,4,5,4,1,0,0,0,2,1,6,0,5,2,4,1,5,2,4,0,1,0,0,0,3,1,3,2,5,2,5,2,3,3,0,0,4,3,5,1,6,4,2,1,11,4,3,1,4,3,2,0,7,5,1,0
Leonardo Mayer,33,21,34,15,69,37,69,19,37,21,50,18,32,24,19,4,21,16,32,9,40,24,33,13,8,4,4,2,16,13,23,10,29,14,29,10,20,15,15,4,4,2,2,1,17,8,29,9,30,19,21,4,7,4,5,1,28,17,26,7,15,7,8,2,27,18,23,10,18,14,13,4,9,5,10,4
Hubert Hurkacz,56,35,53,27,231,150,227,86,150,105,141,52,81,51,86,28,105,68,89,31,96,72,110,38,30,17,28,11,68,45,58,18,109,79,103,39,41,31,55,16,13,10,11,5,102,77,82,22,61,44,78,28,20,13,22,9,69,46,72,32,30,17,41,17,78,55,121,40,55,35,81,37,23,18,40,12
Dusan Lajovic,0,0,0,0,153,98,156,59,98,64,97,39,55,32,58,23,64,36,58,18,66,41,74,27,23,17,23,10,36,26,40,16,69,36,65,27,42,29,40,13,6,3,10,4,46,30,54,14,62,38,54,23,16,10,19,4,54,31,45,19,34,19,38,12,80,49,75,27,49,30,48,16,31,19,27,13
Felix Auger Aliassime,69,52,70,29,318,216,311,116,216,144,195,77,102,54,116,45,144,99,118,45,126,79,148,49,48,30,45,15,99,76,73,26,124,78,144,43,77,52,79,29,18,9,15,3,101,70,127,42,98,76,93,36,34,23,41,18,107,75,99,43,45,25,59,17,94,68,160,57,68,46,103,40,26,15,57,22
Vasek Pospisil,44,33,44,14,212,149,207,63,149,92,144,43,63,37,63,18,92,60,101,36,94,65,88,25,26,21,18,7,60,37,65,19,97,66,99,29,50,33,36,13,5,4,7,5,89,58,89,29,64,43,52,18,21,13,15,4,74,41,63,14,34,19,29,9,104,73,55,23,73,40,32,9,31,19,23,11
Grigor Dimitrov,66,36,64,21,216,146,211,83,146,96,128,45,70,43,83,27,96,75,83,24,93,58,101,33,27,18,27,9,75,49,59,17,79,52,92,50,53,32,51,17,9,7,9,1,78,57,59,25,59,38,84,33,28,22,25,8,59,40,76,30,43,29,50,18,96,50,111,47,50,34,64,24,46,32,47,22
Corentin Moutet,24,18,26,12,155,81,158,56,81,51,103,42,75,51,56,22,51,32,61,27,82,44,76,24,24,16,22,7,32,25,34,11,63,35,79,28,53,30,39,16,8,6,7,1,43,23,62,20,58,35,51,24,29,11,22,7,54,34,47,22,34,21,39,16,76,45,87,29,45,28,58,22,31,18,29,9
Lorenzo Sonego,28,17,30,9,148,94,144,53,94,62,91,36,54,35,53,22,62,42,55,16,67,44,67,31,19,9,22,10,42,21,39,10,64,36,52,18,32,20,43,17,10,8,10,6,57,37,44,14,48,29,44,11,20,12,21,9,49,36,47,12,31,16,23,8,52,32,50,16,32,20,34,17,20,11,16,10
Marcel Granollers,11,6,10,4,47,30,48,17,30,18,31,7,17,8,17,6,18,15,24,5,20,10,18,4,9,5,6,3,15,11,19,9,13,6,19,6,15,8,7,1,4,1,3,0,10,7,22,11,15,12,12,8,8,7,4,0,15,13,15,6,10,6,12,4,18,10,31,12,10,5,19,9,8,5,12,4
Ugo Humbert,31,19,31,11,170,108,173,59,108,75,114,33,62,36,59,20,75,50,81,25,69,52,72,30,26,12,20,8,50,29,56,13,77,58,67,26,29,19,42,15,14,5,8,2,79,52,54,14,38,27,53,15,15,8,21,5,54,34,52,22,19,14,31,12,65,36,82,36,36,24,46,17,29,19,36,12
Gael Monfils,52,32,52,19,219,145,216,88,145,107,128,46,74,54,88,43,107,66,82,30,92,63,91,34,20,11,43,16,66,45,52,16,104,63,87,29,40,26,61,28,9,6,16,8,84,52,74,22,67,47,62,34,20,13,36,14,79,48,50,18,33,21,56,20,94,58,105,47,58,37,58,18,36,21,47,14
Daniil Medvedev,86,61,88,36,459,301,456,179,301,217,277,115,158,112,179,69,217,160,162,68,196,144,225,91,46,28,69,29,160,113,94,28,201,134,202,83,80,59,131,54,18,12,29,19,181,126,147,58,126,88,160,68,33,22,64,31,143,97,150,63,60,34,101,45,150,104,229,105,104,65,124,49,46,31,105,44
Paolo Lorenzi,62,36,62,18,99,69,102,28,69,41,74,33,30,18,28,8,41,29,41,9,46,27,53,17,12,10,8,2,29,14,32,6,39,26,45,17,29,17,23,6,2,0,2,1,41,28,34,13,30,16,34,16,12,8,7,0,29,17,31,12,22,13,23,11,46,31,42,16,31,20,26,7,15,10,16,5
Pablo Carreno Busta,57,37,56,16,212,146,215,79,146,88,136,46,66,43,79,36,88,66,90,26,101,60,89,37,23,12,36,11,66,37,64,17,82,55,78,26,53,27,62,26,11,10,11,4,84,62,69,9,54,31,62,23,36,22,33,10,53,35,48,19,45,33,46,19,95,59,88,39,59,38,49,21,36,23,39,18
Alexei Popyrin,47,29,47,20,165,104,165,51,104,66,114,28,61,39,51,23,66,47,86,26,77,46,56,23,22,13,23,9,47,37,60,24,65,42,59,25,44,32,37,16,9,5,9,1,52,28,58,18,55,33,46,16,17,12,24,16,57,33,48,13,34,24,24,6,88,62,57,27,62,40,30,9,26,18,27,10
Jeremy Chardy,38,27,39,13,141,93,139,49,93,58,90,26,48,28,49,15,58,43,64,18,63,46,60,22,20,11,15,7,43,31,46,15,61,41,56,17,28,17,30,9,9,6,7,4,53,35,54,16,37,22,38,14,17,13,12,2,40,26,40,11,28,20,24,5,72,39,60,19,39,23,41,17,33,22,19,6
Martin Klizan,7,3,7,3,31,18,32,9,18,11,23,7,13,7,9,3,11,9,16,4,14,7,13,3,6,2,3,0,9,5,12,3,9,6,14,2,9,7,6,2,4,2,0,0,10,6,15,6,10,7,6,1,4,4,2,0,11,4,11,3,7,5,3,1,22,10,7,4,10,6,3,0,12,6,4,2
Bradley Klahn,0,0,0,0,64,37,63,24,37,24,39,12,27,13,24,8,24,16,27,11,26,23,28,4,14,10,8,4,16,13,16,4,31,17,35,8,13,9,8,3,4,4,4,1,20,17,31,11,23,9,13,3,8,5,6,2,12,5,21,6,19,11,7,3,32,16,16,7,16,11,9,4,16,9,7,5
David Goffin,46,34,48,24,230,147,229,89,147,101,140,54,83,54,89,37,101,59,86,29,100,66,106,45,29,18,37,13,59,38,57,18,108,68,90,34,52,36,69,22,11,6,13,1,89,60,74,32,76,48,81,32,22,12,34,18,77,50,81,28,40,24,48,18,99,58,111,47,58,31,64,27,41,21,47,21
Kyle Edmund,15,8,15,3,105,61,106,40,61,41,66,22,44,26,40,19,41,24,44,13,46,29,43,13,18,13,19,8,24,17,31,7,46,32,43,16,30,22,24,11,5,3,8,3,39,28,34,12,36,26,29,12,11,5,16,3,37,25,29,6,15,8,25,12,53,28,36,12,28,11,24,12,25,16,12,7
Jaume Munar,18,6,17,7,82,51,82,34,51,30,48,20,31,18,34,8,30,16,28,13,39,23,46,14,13,8,8,1,16,11,15,5,37,23,45,18,24,13,21,6,5,5,1,1,28,15,32,9,27,14,33,15,16,9,6,0,27,14,27,9,22,13,21,4,49,26,44,15,26,18,29,11,23,15,15,8
Kamil Majchrzak,36,22,37,9,112,77,113,38,77,45,75,22,35,17,38,13,45,33,53,16,49,37,47,16,18,9,13,5,33,24,37,16,49,32,47,18,21,16,24,11,9,8,5,1,41,32,45,13,33,22,31,4,13,6,15,5,31,20,40,15,17,11,14,1,37,15,49,14,15,11,35,13,22,11,14,6
Fernando Verdasco,24,14,24,12,136,90,135,44,90,65,91,29,46,35,44,22,65,43,62,20,60,38,51,25,11,6,22,8,43,30,42,12,60,46,46,17,28,20,39,16,5,5,8,2,59,41,41,21,34,19,40,19,13,9,22,11,37,23,42,9,24,17,30,13,53,28,43,18,28,20,25,4,25,14,18,5
Andrea Arnaboldi,5,3,6,1,16,9,16,2,9,9,14,2,7,1,2,1,9,7,12,5,1,1,3,0,6,5,1,0,7,5,7,1,3,3,8,1,5,5,1,0,1,1,0,0,5,2,8,1,5,4,2,0,1,1,0,0,7,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivo Karlovic,32,22,32,7,80,56,85,25,56,40,60,14,24,14,25,9,40,28,46,9,30,23,30,8,10,8,9,1,28,24,37,6,35,22,31,8,15,8,16,3,2,1,1,0,26,22,29,7,21,15,21,5,8,5,4,0,19,15,23,4,11,6,9,2,13,10,15,2,10,8,13,3,3,1,2,1
Thomas Fabbiano,31,18,30,8,111,79,111,37,79,53,74,28,32,19,37,15,53,32,46,18,45,34,50,11,13,9,15,7,32,23,28,8,55,39,57,26,20,12,19,6,4,3,7,1,48,35,39,11,28,19,39,10,11,10,12,5,32,24,40,13,19,12,17,6,36,26,46,14,26,17,32,12,10,7,14,4
Stefanos Tsitsipas,62,39,61,23,187,128,181,69,128,87,112,44,59,40,69,21,87,52,68,21,81,66,92,30,19,11,21,7,52,39,47,16,101,65,83,27,26,15,44,19,8,8,7,3,78,55,72,25,51,33,52,17,19,14,23,7,56,37,60,25,32,20,33,9,71,49,97,40,49,26,57,24,22,9,40,16
Kevin Anderson,48,38,48,9,148,103,151,45,103,74,106,33,45,31,45,13,74,52,73,21,60,42,65,19,14,8,13,3,52,42,52,19,64,45,67,26,26,21,29,7,6,3,3,3,55,37,60,24,40,26,48,17,8,4,7,2,44,30,55,15,18,14,22,5,49,34,56,12,34,24,44,16,15,11,12,4
Pierre Hugues Herbert,23,13,23,9,88,53,88,37,53,30,51,18,35,20,37,12,30,19,33,14,43,24,43,19,15,11,12,4,19,12,19,8,35,22,38,14,30,23,27,6,4,2,4,0,29,19,32,9,36,18,35,11,9,3,10,3,28,16,33,16,21,12,18,4,52,35,46,16,35,15,30,10,17,8,16,10
Janko Tipsarevic,16,10,17,4,61,39,63,20,39,24,43,10,22,15,20,7,24,13,33,11,30,20,23,6,7,5,7,2,13,8,22,3,31,17,28,11,15,10,11,3,2,2,2,1,22,13,20,7,24,15,19,7,7,4,4,2,24,10,19,4,13,9,9,2,46,26,15,7,26,17,8,2,20,14,7,5
