name,t_serve_total,t_serve_won,t_receive_total,t_receive_won,1_serve_total,1_serve_won,1_receive_total,1_receive_won,2_serve_total,2_serve_won,2_receive_total,2_receive_won,3_serve_total,3_serve_won,3_receive_total,3_receive_won,4_serve_total,4_serve_won,4_receive_total,4_receive_won,5_serve_total,5_serve_won,5_receive_total,5_receive_won,6_serve_total,6_serve_won,6_receive_total,6_receive_won,7_serve_total,7_serve_won,7_receive_total,7_receive_won,8_serve_total,8_serve_won,8_receive_total,8_receive_won,9_serve_total,9_serve_won,9_receive_total,9_receive_won,10_serve_total,10_serve_won,10_receive_total,10_receive_won,11_serve_total,11_serve_won,11_receive_total,11_receive_won,12_serve_total,12_serve_won,12_receive_total,12_receive_won,13_serve_total,13_serve_won,13_receive_total,13_receive_won,14_serve_total,14_serve_won,14_receive_total,14_receive_won,15_serve_total,15_serve_won,15_receive_total,15_receive_won,16_serve_total,16_serve_won,16_receive_total,16_receive_won,17_serve_total,17_serve_won,17_receive_total,17_receive_won,18_serve_total,18_serve_won,18_receive_total,18_receive_won
Novak Djokovic,34,24,33,14,231,165,222,95,165,121,127,54,66,47,95,41,121,78,73,26,91,60,108,45,19,11,41,18,78,53,47,19,103,65,89,42,42,29,68,26,8,6,18,8,90,65,66,21,67,45,84,37,19,10,36,13,70,48,68,25,32,19,60,29,74,56,123,54,56,39,69,36,18,16,54,23
Philipp Kohlschreiber,11,7,10,0,52,30,53,15,30,14,38,8,22,11,15,4,14,9,30,10,27,19,19,6,11,9,4,0,9,4,20,5,24,17,23,9,17,8,10,4,2,1,0,0,22,14,19,8,15,9,15,6,10,8,4,0,17,12,17,7,14,7,10,4,20,11,25,6,11,8,19,9,9,5,6,3
Denis Kudla,11,8,11,6,103,67,103,32,67,43,71,20,36,26,32,10,43,32,51,12,50,34,42,14,10,3,10,4,32,22,39,16,45,25,40,17,19,14,20,10,7,6,4,1,35,21,39,15,34,19,27,11,11,5,13,4,33,21,31,14,20,10,20,9,40,27,55,20,27,15,35,17,13,6,20,7
Malek Jaziri,0,0,0,0,13,7,13,4,7,3,9,2,6,6,4,0,3,2,7,3,10,6,6,2,0,0,0,0,2,1,4,2,7,5,7,2,4,1,2,0,0,0,0,0,6,3,7,1,3,1,4,0,3,2,0,0,4,1,5,1,4,4,0,0,12,8,1,0,8,3,1,0,4,0,0,0
Ernests Gulbis,13,8,13,4,13,9,14,4,9,3,10,1,4,3,4,0,3,2,9,3,9,4,5,4,1,0,0,0,2,1,6,0,5,2,4,1,5,2,4,0,1,0,0,0,3,1,3,2,5,2,5,2,3,3,0,0,4,3,5,1,6,4,2,1,11,4,3,1,4,3,2,0,7,5,1,0
Leonardo Mayer,33,21,34,15,69,37,69,19,37,21,50,18,32,24,19,4,21,16,32,9,40,24,33,13,8,4,4,2,16,13,23,10,29,14,29,10,20,15,15,4,4,2,2,1,17,8,29,9,30,19,21,4,7,4,5,1,28,17,26,7,15,7,8,2,27,18,23,10,18,14,13,4,9,5,10,4
Hubert Hurkacz,27,15,26,13,99,64,97,35,64,44,62,23,35,18,35,12,44,26,39,19,38,25,46,16,17,8,12,4,26,19,20,7,43,31,49,21,21,16,24,4,9,7,4,3,38,28,35,10,28,21,41,13,12,9,5,2,31,22,38,17,16,10,16,6,41,27,59,19,27,16,40,17,14,11,19,4
Dusan Lajovic,0,0,0,0,71,42,74,29,42,31,45,14,29,16,29,11,31,17,31,8,27,15,32,7,13,8,11,8,17,13,23,9,29,16,33,14,20,12,10,3,5,2,8,3,20,15,28,8,25,18,21,7,10,7,8,3,23,9,22,7,14,8,12,4,44,29,28,9,29,19,19,8,15,12,9,4
Felix Auger Aliassime,27,19,28,8,128,90,124,45,90,56,79,35,38,20,45,16,56,38,44,19,54,35,64,24,18,13,16,5,38,27,25,9,53,28,59,17,32,22,35,13,5,2,5,0,39,28,51,10,47,31,39,13,12,10,18,10,42,28,36,15,26,16,21,5,51,34,56,24,34,23,32,11,17,10,24,10
Vasek Pospisil,32,24,33,11,144,101,142,46,101,66,96,23,43,26,46,14,66,42,73,25,61,42,55,19,17,14,14,4,42,25,48,13,66,46,61,19,33,22,29,9,3,2,4,3,63,39,55,20,42,28,39,12,13,8,10,2,52,29,47,11,22,12,20,7,72,51,39,13,51,29,26,7,21,15,13,5
Grigor Dimitrov,37,21,36,11,151,103,148,58,103,61,90,35,48,31,58,23,61,46,55,17,73,46,70,24,17,8,23,9,46,31,38,10,61,39,63,32,35,19,38,14,9,7,9,1,54,41,41,20,41,26,56,22,23,18,22,8,39,25,54,22,33,22,36,16,72,38,76,30,38,26,46,18,34,24,30,14
