name,t_grass_serve_total,t_grass_serve_won,t_grass_receive_total,t_grass_receive_won,t_hard_serve_total,t_hard_serve_won,t_hard_receive_total,t_hard_receive_won,t_clay_serve_total,t_clay_serve_won,t_clay_receive_total,t_clay_receive_won,1_grass_serve_total,1_grass_serve_won,1_grass_receive_total,1_grass_receive_won,1_hard_serve_total,1_hard_serve_won,1_hard_receive_total,1_hard_receive_won,1_clay_serve_total,1_clay_serve_won,1_clay_receive_total,1_clay_receive_won,2_grass_serve_total,2_grass_serve_won,2_grass_receive_total,2_grass_receive_won,2_hard_serve_total,2_hard_serve_won,2_hard_receive_total,2_hard_receive_won,2_clay_serve_total,2_clay_serve_won,2_clay_receive_total,2_clay_receive_won,3_grass_serve_total,3_grass_serve_won,3_grass_receive_total,3_grass_receive_won,3_hard_serve_total,3_hard_serve_won,3_hard_receive_total,3_hard_receive_won,3_clay_serve_total,3_clay_serve_won,3_clay_receive_total,3_clay_receive_won,4_grass_serve_total,4_grass_serve_won,4_grass_receive_total,4_grass_receive_won,4_hard_serve_total,4_hard_serve_won,4_hard_receive_total,4_hard_receive_won,4_clay_serve_total,4_clay_serve_won,4_clay_receive_total,4_clay_receive_won,5_grass_serve_total,5_grass_serve_won,5_grass_receive_total,5_grass_receive_won,5_hard_serve_total,5_hard_serve_won,5_hard_receive_total,5_hard_receive_won,5_clay_serve_total,5_clay_serve_won,5_clay_receive_total,5_clay_receive_won,6_grass_serve_total,6_grass_serve_won,6_grass_receive_total,6_grass_receive_won,6_hard_serve_total,6_hard_serve_won,6_hard_receive_total,6_hard_receive_won,6_clay_serve_total,6_clay_serve_won,6_clay_receive_total,6_clay_receive_won,7_grass_serve_total,7_grass_serve_won,7_grass_receive_total,7_grass_receive_won,7_hard_serve_total,7_hard_serve_won,7_hard_receive_total,7_hard_receive_won,7_clay_serve_total,7_clay_serve_won,7_clay_receive_total,7_clay_receive_won,8_grass_serve_total,8_grass_serve_won,8_grass_receive_total,8_grass_receive_won,8_hard_serve_total,8_hard_serve_won,8_hard_receive_total,8_hard_receive_won,8_clay_serve_total,8_clay_serve_won,8_clay_receive_total,8_clay_receive_won,9_grass_serve_total,9_grass_serve_won,9_grass_receive_total,9_grass_receive_won,9_hard_serve_total,9_hard_serve_won,9_hard_receive_total,9_hard_receive_won,9_clay_serve_total,9_clay_serve_won,9_clay_receive_total,9_clay_receive_won,10_grass_serve_total,10_grass_serve_won,10_grass_receive_total,10_grass_receive_won,10_hard_serve_total,10_hard_serve_won,10_hard_receive_total,10_hard_receive_won,10_clay_serve_total,10_clay_serve_won,10_clay_receive_total,10_clay_receive_won,11_grass_serve_total,11_grass_serve_won,11_grass_receive_total,11_grass_receive_won,11_hard_serve_total,11_hard_serve_won,11_hard_receive_total,11_hard_receive_won,11_clay_serve_total,11_clay_serve_won,11_clay_receive_total,11_clay_receive_won,12_grass_serve_total,12_grass_serve_won,12_grass_receive_total,12_grass_receive_won,12_hard_serve_total,12_hard_serve_won,12_hard_receive_total,12_hard_receive_won,12_clay_serve_total,12_clay_serve_won,12_clay_receive_total,12_clay_receive_won,13_grass_serve_total,13_grass_serve_won,13_grass_receive_total,13_grass_receive_won,13_hard_serve_total,13_hard_serve_won,13_hard_receive_total,13_hard_receive_won,13_clay_serve_total,13_clay_serve_won,13_clay_receive_total,13_clay_receive_won,14_grass_serve_total,14_grass_serve_won,14_grass_receive_total,14_grass_receive_won,14_hard_serve_total,14_hard_serve_won,14_hard_receive_total,14_hard_receive_won,14_clay_serve_total,14_clay_serve_won,14_clay_receive_total,14_clay_receive_won,15_grass_serve_total,15_grass_serve_won,15_grass_receive_total,15_grass_receive_won,15_hard_serve_total,15_hard_serve_won,15_hard_receive_total,15_hard_receive_won,15_clay_serve_total,15_clay_serve_won,15_clay_receive_total,15_clay_receive_won,16_grass_serve_total,16_grass_serve_won,16_grass_receive_total,16_grass_receive_won,16_hard_serve_total,16_hard_serve_won,16_hard_receive_total,16_hard_receive_won,16_clay_serve_total,16_clay_serve_won,16_clay_receive_total,16_clay_receive_won,17_grass_serve_total,17_grass_serve_won,17_grass_receive_total,17_grass_receive_won,17_hard_serve_total,17_hard_serve_won,17_hard_receive_total,17_hard_receive_won,17_clay_serve_total,17_clay_serve_won,17_clay_receive_total,17_clay_receive_won,18_grass_serve_total,18_grass_serve_won,18_grass_receive_total,18_grass_receive_won,18_hard_serve_total,18_hard_serve_won,18_hard_receive_total,18_hard_receive_won,18_clay_serve_total,18_clay_serve_won,18_clay_receive_total,18_clay_receive_won
Jodie Burrage,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,3,0,0,0,0,0,0,0,0,5,2,5,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,2,0,5,3,0,0,0,0,0,0,0,0,4,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,4,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Lauren Davis,0,0,0,0,4,1,5,1,0,0,0,0,44,25,46,18,54,33,53,25,0,0,0,0,25,15,28,14,33,19,28,11,0,0,0,0,19,9,18,7,21,10,25,12,0,0,0,0,15,7,14,6,19,7,17,6,0,0,0,0,19,10,25,13,24,15,24,10,0,0,0,0,10,4,7,3,11,7,12,4,0,0,0,0,7,5,8,6,7,2,11,1,0,0,0,0,18,8,18,10,27,12,20,6,0,0,0,0,13,9,17,13,16,7,18,10,0,0,0,0,6,2,3,2,4,3,4,0,0,0,0,0,10,9,14,6,17,10,15,6,0,0,0,0,19,9,14,6,22,15,14,4,0,0,0,0,6,2,14,10,12,9,14,7,0,0,0,0,10,7,14,7,22,10,16,10,0,0,0,0,12,6,10,6,16,11,11,7,0,0,0,0,20,12,26,14,40,21,20,8,0,0,0,0,12,4,12,7,21,12,12,2,0,0,0,0,8,3,14,6,19,8,8,4,0,0,0,0
Katie Swan,0,0,0,0,0,0,0,0,0,0,0,0,18,8,19,5,0,0,0,0,0,0,0,0,8,3,14,3,0,0,0,0,0,0,0,0,10,6,5,2,0,0,0,0,0,0,0,0,3,3,11,4,0,0,0,0,0,0,0,0,11,7,6,2,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,3,2,7,2,0,0,0,0,0,0,0,0,7,4,8,3,0,0,0,0,0,0,0,0,7,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,7,4,0,0,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,4,2,11,3,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,9,6,4,1,0,0,0,0,0,0,0,0,6,4,3,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0
Madison Keys,5,3,5,0,13,6,14,5,0,0,0,0,58,35,55,23,77,46,75,32,0,0,0,0,35,24,32,17,46,35,43,16,0,0,0,0,23,16,23,10,31,25,32,17,0,0,0,0,24,15,15,7,35,26,27,10,0,0,0,0,27,16,30,13,36,28,31,13,0,0,0,0,7,5,10,4,6,4,17,7,0,0,0,0,15,7,8,3,26,14,17,7,0,0,0,0,25,16,24,9,37,28,28,11,0,0,0,0,16,8,19,6,12,9,23,13,0,0,0,0,2,1,4,1,2,2,7,4,0,0,0,0,24,14,18,4,40,32,24,11,0,0,0,0,17,11,22,9,18,12,21,9,0,0,0,0,9,6,9,4,5,4,16,6,0,0,0,0,21,16,17,7,20,11,23,11,0,0,0,0,12,7,14,4,10,9,19,9,0,0,0,0,23,15,29,13,23,11,42,17,0,0,0,0,15,9,16,8,11,11,25,11,0,0,0,0,8,5,13,9,12,5,17,7,0,0,0,0
Veronika Kudermetova,6,4,6,1,12,4,11,5,0,0,0,0,38,17,37,15,33,19,32,13,0,0,0,0,17,11,22,5,19,10,19,6,0,0,0,0,21,13,15,9,14,10,13,2,0,0,0,0,11,3,17,7,10,2,13,6,0,0,0,0,19,14,11,3,19,10,17,7,0,0,0,0,8,6,9,2,4,2,2,0,0,0,0,0,3,1,10,2,2,2,7,2,0,0,0,0,22,12,15,7,18,11,16,5,0,0,0,0,11,6,10,1,11,6,9,4,0,0,0,0,2,2,2,1,2,1,0,0,0,0,0,0,14,8,10,7,11,6,13,4,0,0,0,0,16,8,16,6,13,8,10,1,0,0,0,0,7,5,2,2,6,3,4,1,0,0,0,0,14,7,17,7,13,9,13,4,0,0,0,0,13,9,6,2,8,5,4,0,0,0,0,0,33,21,20,10,12,7,20,10,0,0,0,0,21,13,10,2,7,5,10,5,0,0,0,0,12,9,10,3,5,1,10,3,0,0,0,0
Viktorija Golubic,15,13,15,8,4,1,5,1,0,0,0,0,82,49,83,41,38,17,38,14,0,0,0,0,49,29,42,14,17,11,24,8,0,0,0,0,33,20,41,12,21,8,14,3,0,0,0,0,29,15,28,13,11,6,16,6,0,0,0,0,40,20,43,20,14,9,19,4,0,0,0,0,13,9,12,5,13,4,3,1,0,0,0,0,15,10,15,7,6,4,10,3,0,0,0,0,34,18,36,16,14,9,21,10,0,0,0,0,29,20,27,13,9,6,6,4,0,0,0,0,4,4,5,2,9,7,1,1,0,0,0,0,23,13,27,15,11,9,14,6,0,0,0,0,36,21,30,16,11,7,12,5,0,0,0,0,13,6,16,7,10,8,4,1,0,0,0,0,31,15,29,13,9,3,13,7,0,0,0,0,21,12,25,14,12,9,8,5,0,0,0,0,55,30,56,26,33,17,18,6,0,0,0,0,30,19,30,18,17,8,12,4,0,0,0,0,25,16,26,12,16,9,6,2,0,0,0,0
Polona Hercog,14,7,14,7,0,0,0,0,0,0,0,0,55,34,57,21,21,14,23,6,0,0,0,0,34,22,36,14,14,8,17,8,0,0,0,0,21,16,21,9,7,4,6,0,0,0,0,0,22,16,22,6,8,5,9,2,0,0,0,0,28,16,26,8,10,6,14,4,0,0,0,0,5,3,9,6,3,3,0,0,0,0,0,0,16,12,16,5,5,4,7,3,0,0,0,0,22,15,24,15,9,7,12,1,0,0,0,0,15,8,11,5,7,5,4,3,0,0,0,0,2,1,6,3,0,0,0,0,0,0,0,0,19,10,14,4,8,3,14,6,0,0,0,0,15,9,21,9,7,4,2,2,0,0,0,0,8,5,8,3,2,0,3,0,0,0,0,0,18,9,16,7,9,4,6,4,0,0,0,0,11,7,14,4,3,1,5,0,0,0,0,0,23,17,34,15,9,6,17,5,0,0,0,0,17,11,19,7,6,3,12,5,0,0,0,0,6,1,15,5,3,0,5,2,0,0,0,0
Danielle Collins,0,0,0,0,0,0,0,0,0,0,0,0,62,29,58,26,70,47,70,26,0,0,0,0,29,19,32,9,47,32,44,12,0,0,0,0,33,13,26,11,23,13,26,13,0,0,0,0,19,10,23,6,32,17,32,10,0,0,0,0,23,13,24,15,28,19,25,11,0,0,0,0,20,14,11,3,10,8,13,7,0,0,0,0,10,6,17,5,17,11,22,6,0,0,0,0,22,12,15,7,34,25,24,7,0,0,0,0,24,13,23,10,17,8,17,3,0,0,0,0,6,3,3,2,2,1,7,3,0,0,0,0,16,10,13,6,31,21,23,11,0,0,0,0,23,12,20,9,17,8,21,7,0,0,0,0,14,10,11,4,10,5,7,3,0,0,0,0,18,14,17,6,18,11,25,10,0,0,0,0,21,14,16,6,14,12,11,3,0,0,0,0,28,19,22,8,49,34,27,7,0,0,0,0,19,14,14,3,34,13,20,7,0,0,0,0,9,5,8,5,15,9,7,5,0,0,0,0
Madison Brengle,0,0,0,0,0,0,0,0,0,0,0,0,56,31,55,29,35,14,34,19,0,0,0,0,31,17,26,12,14,4,15,6,0,0,0,0,25,17,29,11,21,9,19,10,0,0,0,0,17,11,14,5,4,4,9,3,0,0,0,0,31,12,30,13,19,11,15,8,0,0,0,0,8,4,11,7,12,6,10,8,0,0,0,0,11,7,9,4,4,3,6,0,0,0,0,0,18,10,22,6,11,7,10,5,0,0,0,0,23,14,17,8,14,4,10,3,0,0,0,0,4,2,7,2,6,3,8,4,0,0,0,0,14,7,20,10,8,3,5,3,0,0,0,0,22,8,15,4,8,2,12,5,0,0,0,0,11,5,13,9,13,6,7,4,0,0,0,0,15,10,21,12,7,3,10,3,0,0,0,0,19,7,8,4,12,5,8,4,0,0,0,0,25,19,29,17,12,4,14,8,0,0,0,0,19,8,12,3,4,4,6,2,0,0,0,0,6,2,17,7,8,3,8,3,0,0,0,0
Christina McHale,0,0,0,0,6,6,6,1,0,0,0,0,35,17,34,14,28,17,29,11,0,0,0,0,17,6,20,8,17,8,18,8,0,0,0,0,18,10,14,4,11,7,11,7,0,0,0,0,6,5,12,5,8,6,10,6,0,0,0,0,21,11,18,14,16,8,12,7,0,0,0,0,8,4,4,2,4,3,7,3,0,0,0,0,5,3,7,2,6,3,4,1,0,0,0,0,12,9,9,3,10,4,11,4,0,0,0,0,14,7,16,5,11,6,11,7,0,0,0,0,4,1,2,2,1,1,3,2,0,0,0,0,11,4,8,2,7,5,8,2,0,0,0,0,10,8,14,6,12,5,8,3,0,0,0,0,8,6,5,3,6,2,8,4,0,0,0,0,15,10,10,5,7,4,7,3,0,0,0,0,8,5,8,4,9,3,7,2,0,0,0,0,19,9,16,5,15,5,14,7,0,0,0,0,9,6,11,3,5,1,7,3,0,0,0,0,10,6,5,1,10,5,7,4,0,0,0,0
