name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Iga Swiatek,0,0,0,0,0,0,0,0,0,0,56,37,68,34,1,Madison Keys,0,0,0,0,0,0,0,0,0,0,68,34,56,19,6,0,0,1
Paula Badosa,0,0,0,0,0,79,41,76,31,5,49,26,82,34,3,Veronika Kudermetova,0,0,0,0,0,76,45,79,38,10,82,48,49,23,5,0,1,1
Maria Sakkari,0,0,0,0,0,91,46,76,31,3,0,0,0,0,0,Elena Rybakina,0,0,0,0,0,76,45,91,45,5,0,0,0,0,0,0,1,0
Simona Halep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sorana Cirstea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petra Martic,0,0,0,0,0,78,53,99,45,5,171,113,164,64,13,Liudmila Samsonova,0,0,0,0,0,99,54,78,25,7,164,100,171,58,9,0,1,2
Iga Swiatek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angelique Kerber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Keys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harriet Dart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paula Badosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leylah Fernandez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veronika Kudermetova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marketa Vondrousova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria Sakkari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daria Saville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elena Rybakina,0,0,0,0,0,91,41,109,60,2,0,0,0,0,0,Viktorija Golubic,0,0,0,0,0,109,49,91,50,1,0,0,0,0,0,0,1,0
Iga Swiatek,0,0,0,0,0,76,42,75,26,4,0,0,0,0,0,Naomi Osaka,0,0,0,0,0,75,49,76,34,9,0,0,0,0,0,0,1,0
Naomi Osaka,0,0,0,0,0,120,64,102,29,10,92,50,92,37,12,Belinda Bencic,0,0,0,0,0,102,73,120,56,4,92,55,92,42,1,0,2,1
Iga Swiatek,0,0,0,0,0,90,49,117,51,2,0,0,0,0,0,Jessica Pegula,0,0,0,0,0,117,66,90,41,6,0,0,0,0,0,0,1,0
Belinda Bencic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daria Saville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naomi Osaka,0,0,0,0,0,50,35,76,37,3,0,0,0,0,0,Danielle Collins,0,0,0,0,0,76,39,50,15,1,0,0,0,0,0,0,1,0
Jessica Pegula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paula Badosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iga Swiatek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Petra Kvitova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belinda Bencic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aliaksandra Sasnovich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daria Saville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucia Bronzetti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naomi Osaka,0,0,0,0,0,57,35,45,25,7,0,0,0,0,0,Alison Riske Amritraj,0,0,0,0,0,45,20,57,22,0,0,0,0,0,0,0,1,0
Danielle Collins,0,0,0,0,0,75,35,44,14,0,91,52,91,41,1,Ons Jabeur,0,0,0,0,0,44,30,75,40,2,91,50,91,39,5,0,1,1
Paula Badosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linda Fruhvirtova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Pegula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anhelina Kalinina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petra Kvitova,0,0,0,0,0,52,35,60,30,10,80,59,95,35,7,Veronika Kudermetova,0,0,0,0,0,60,30,52,17,6,95,60,80,21,4,0,1,1
Iga Swiatek,0,0,0,0,0,0,0,0,0,0,74,49,72,30,1,Cori Gauff,0,0,0,0,0,0,0,0,0,0,72,42,74,25,7,0,0,1
Ons Jabeur,0,0,0,0,0,77,43,73,31,4,0,0,0,0,0,Jessica Pegula,0,0,0,0,0,73,42,77,34,1,0,0,0,0,0,0,2,0
Jessica Pegula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jil Teichmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ons Jabeur,0,0,0,0,0,27,10,28,8,0,0,0,0,0,0,Ekaterina Alexandrova,0,0,0,0,0,28,20,27,17,5,0,0,0,0,0,0,1,0
Jil Teichmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anhelina Kalinina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Pegula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sara Sorribes Tormo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekaterina Alexandrova,0,0,0,0,0,80,47,81,27,6,0,0,0,0,0,Amanda Anisimova,0,0,0,0,0,81,54,80,33,2,0,0,0,0,0,0,1,0
Ons Jabeur,0,0,0,0,0,97,53,90,39,1,0,0,0,0,0,Simona Halep,0,0,0,0,0,90,51,97,44,1,0,0,0,0,0,0,1,0
Jil Teichmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elena Rybakina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anhelina Kalinina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Emma Raducanu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sara Sorribes Tormo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daria Kasatkina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Pegula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bianca Andreescu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekaterina Alexandrova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marie Bouzkova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanda Anisimova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Victoria Azarenka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ons Jabeur,0,0,0,0,0,0,0,0,0,0,65,43,74,22,7,Belinda Bencic,0,0,0,0,0,0,0,0,0,0,74,52,65,22,4,0,0,1
Simona Halep,58,36,61,32,2,0,0,0,0,0,0,0,0,0,0,Cori Gauff,61,29,58,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Iga Swiatek,68,32,89,33,2,135,78,177,75,3,0,0,0,0,0,Ons Jabeur,89,56,68,36,9,177,102,135,57,20,0,0,0,0,0,1,2,0
Iga Swiatek,0,0,0,0,0,85,52,92,37,2,0,0,0,0,0,Aryna Sabalenka,0,0,0,0,0,92,55,85,33,8,0,0,0,0,0,0,1,0
Ons Jabeur,67,40,67,33,1,114,65,90,42,5,0,0,0,0,0,Daria Kasatkina,67,34,67,27,1,90,48,114,49,0,0,0,0,0,0,1,1,0
Iga Swiatek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bianca Andreescu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aryna Sabalenka,0,0,0,0,0,57,30,52,15,3,62,25,56,28,0,Amanda Anisimova,0,0,0,0,0,52,37,57,27,4,56,28,62,37,1,0,1,1
Ons Jabeur,0,0,0,0,0,97,53,66,20,6,0,0,0,0,0,Maria Sakkari,0,0,0,0,0,66,46,97,44,7,0,0,0,0,0,0,1,0
Daria Kasatkina,0,0,0,0,0,51,33,58,31,0,0,0,0,0,0,Jil Teichmann,0,0,0,0,0,58,27,51,18,1,0,0,0,0,0,0,1,0
