name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Grigor Dimitrov,162,115,188,54,10,4112,2691,4151,1577,290,1053,667,1053,392,44,John Isner,516,380,503,152,110,4109,2961,4130,1145,1042,567,410,564,153,148,0,0,0
Carlos Alcaraz,82,41,64,16,2,1557,988,1648,630,68,711,426,739,320,22,Casper Ruud,57,31,48,14,2,1501,925,1386,459,75,1234,811,1255,513,57,0,0,0
Carlos Alcaraz,82,41,64,16,2,1421,892,1471,583,58,584,365,607,270,21,Hubert Hurkacz,403,265,408,127,31,2894,1946,2979,1064,346,517,319,498,174,31,0,0,0
Casper Ruud,0,0,0,0,0,260,166,276,93,15,825,567,849,340,59,Francisco Cerundolo,0,0,0,0,0,0,0,0,0,0,911,524,929,390,18,0,0,0
Hubert Hurkacz,721,486,789,275,68,5768,3764,5712,2051,683,930,587,873,306,70,Daniil Medvedev,662,442,715,292,79,6710,4553,7123,2891,881,872,540,955,401,46,0,0,0
Carlos Alcaraz,0,0,0,0,0,1033,682,1059,389,40,686,401,698,288,18,Miomir Kecmanovic,217,139,203,57,10,1669,1042,1633,577,84,472,274,470,195,17,0,0,0
Francisco Cerundolo,0,0,0,0,0,0,0,0,0,0,843,488,866,366,13,Jannik Sinner,0,0,0,0,0,138,91,155,67,13,545,347,568,236,24,0,0,0
Casper Ruud,196,135,193,53,13,3586,2320,3441,1175,234,3413,2203,3443,1332,162,Alexander Zverev,709,487,774,288,117,6265,4154,6770,2571,836,2373,1521,2550,1051,245,0,0,0
Daniil Medvedev,51,35,67,34,7,2658,1819,2804,1107,346,296,200,328,133,23,Jenson Brooksby,174,123,204,85,11,934,580,927,372,23,84,49,77,20,1,0,0,0
Hubert Hurkacz,875,592,898,308,75,3703,2434,3648,1338,425,938,598,875,322,66,Lloyd Harris,435,270,428,126,51,2944,1925,2984,1014,434,714,442,697,223,57,0,0,0
Carlos Alcaraz,82,41,64,16,2,1294,816,1335,515,50,940,554,952,405,22,Stefanos Tsitsipas,133,84,175,57,16,3398,2350,3509,1248,348,1972,1291,1925,752,119,0,0,0
Miomir Kecmanovic,661,414,607,185,31,2780,1704,2744,977,124,911,497,912,342,20,Taylor Fritz,434,286,363,84,47,4909,3191,4767,1619,545,1326,809,1384,484,127,0,0,0
Jannik Sinner,0,0,0,0,0,2106,1360,2091,764,124,1000,606,1013,409,35,Nick Kyrgios,367,264,381,116,81,2341,1617,2253,648,476,145,100,158,51,26,0,0,0
Francisco Cerundolo,0,0,0,0,0,0,0,0,0,0,378,208,385,151,5,Frances Tiafoe,70,43,79,25,4,350,232,381,162,44,226,136,227,88,13,0,0,0
Casper Ruud,417,285,414,127,27,3028,1974,2879,982,208,3492,2271,3537,1395,164,Cameron Norrie,375,254,361,111,31,4365,2714,4431,1763,284,1557,971,1539,594,81,0,0,0
Alexander Zverev,0,0,0,0,0,678,423,740,303,77,450,284,463,159,34,Thanasi Kokkinakis,0,0,0,0,0,476,300,433,143,55,0,0,0,0,0,0,0,0
Stefanos Tsitsipas,178,119,208,83,15,5097,3544,5311,1985,503,2810,1871,2722,1069,175,Alejandro Davidovich Fokina,167,90,135,51,3,2032,1242,2080,790,69,2133,1262,2085,837,39,0,0,0
Alejandro Davidovich Fokina,46,20,34,6,1,1661,1025,1678,634,57,1945,1145,1871,741,29,Grigor Dimitrov,115,79,125,37,4,3684,2375,3627,1385,251,917,587,930,345,49,0,0,0
Stefanos Tsitsipas,335,215,393,135,34,7800,5400,7929,2724,776,3712,2434,3615,1430,230,Alexander Zverev,546,378,567,193,70,6664,4548,7170,2674,968,2627,1640,2823,1171,238,0,0,0
Alejandro Davidovich Fokina,208,117,181,59,10,2338,1382,2347,898,76,1232,723,1149,459,25,Taylor Fritz,594,385,491,143,63,4873,3176,4748,1630,612,961,590,974,351,94,0,0,0
Grigor Dimitrov,309,204,335,113,22,4192,2759,4302,1640,325,1064,668,1109,424,42,Hubert Hurkacz,938,637,954,325,85,4581,2963,4448,1554,522,853,533,795,267,66,0,0,0
Stefanos Tsitsipas,311,203,383,140,31,6700,4628,6960,2454,633,3575,2379,3517,1410,223,Diego Schwartzman,711,475,806,320,11,4698,2833,4708,1891,104,3287,1921,3319,1430,48,0,0,0
Alexander Zverev,364,261,384,130,64,5552,3707,5996,2292,777,1690,1092,1864,738,152,Jannik Sinner,58,35,66,22,1,3950,2593,4042,1569,256,1551,925,1580,637,47,0,0,0
Alejandro Davidovich Fokina,61,36,39,9,1,1614,972,1591,589,52,1696,1032,1706,696,36,David Goffin,605,399,666,262,55,3191,1953,3189,1273,251,731,427,829,331,37,0,0,0
Taylor Fritz,284,183,261,84,33,3281,2136,3172,1049,400,869,543,882,335,96,Sebastian Korda,717,459,719,271,56,1542,966,1457,542,105,473,297,466,190,17,0,0,0
Grigor Dimitrov,162,115,188,54,10,3890,2568,3947,1524,278,1305,831,1360,529,61,Casper Ruud,212,134,205,66,12,2702,1729,2563,850,185,2878,1882,2889,1106,152,0,0,0
Hubert Hurkacz,1048,720,1081,386,97,4049,2636,4007,1390,453,498,321,448,155,40,Albert Ramos,89,51,83,21,3,2432,1478,2436,818,104,2354,1457,2311,907,55,0,0,0
Diego Schwartzman,202,146,262,122,6,1770,1084,1801,709,46,1741,1040,1728,745,32,Lorenzo Musetti,96,57,82,18,3,874,527,787,250,35,1348,800,1369,518,30,0,0,0
Stefanos Tsitsipas,219,143,224,68,12,4309,2998,4537,1673,396,2306,1544,2293,916,158,Laslo Djere,599,381,587,201,53,1669,985,1564,541,107,2584,1609,2587,1009,140,0,0,0
Jannik Sinner,132,73,139,55,2,4813,3095,4886,1873,299,1455,886,1433,599,51,Andrey Rublev,469,329,511,184,45,5188,3424,5513,2139,504,1269,808,1319,535,73,0,0,0
Alexander Zverev,664,453,698,243,99,6051,4066,6534,2471,828,2527,1582,2740,1127,234,Pablo Carreno Busta,429,271,394,113,11,4698,3037,4612,1616,240,1944,1217,2141,860,81,0,0,0
Carlos Alcaraz,82,41,64,16,2,1405,907,1485,586,62,772,458,788,328,21,Alexander Zverev,274,170,242,84,23,3220,2162,3405,1293,451,1433,900,1525,592,120,0,0,0
Carlos Alcaraz,82,41,64,16,2,1133,719,1142,442,48,726,429,765,327,23,Novak Djokovic,298,202,331,144,12,2957,2048,3096,1265,302,1795,1151,1935,841,85,0,0,0
Alexander Zverev,546,378,567,193,70,6664,4548,7170,2674,968,2627,1640,2823,1171,238,Stefanos Tsitsipas,335,215,393,135,34,7800,5400,7929,2724,776,3712,2434,3615,1430,230,0,0,0
Novak Djokovic,733,499,743,281,53,5260,3627,5551,2226,474,2658,1749,2865,1274,117,Hubert Hurkacz,601,409,595,208,51,5320,3451,5227,1875,595,994,622,914,322,67,0,0,0
Carlos Alcaraz,82,41,64,16,2,837,545,847,321,34,611,375,615,260,24,Rafael Nadal,0,0,0,0,0,1716,1207,1851,700,142,1375,929,1395,629,45,0,0,0
Stefanos Tsitsipas,411,267,466,157,39,7880,5503,8124,2883,781,3721,2443,3671,1453,222,Andrey Rublev,688,467,785,301,63,6875,4570,7392,2876,732,2255,1461,2368,974,140,0,0,0
Alexander Zverev,494,351,570,197,97,5663,3773,6087,2347,757,2588,1632,2729,1135,252,Felix Auger Aliassime,1349,969,1335,439,230,4307,2841,4482,1592,515,1888,1172,1816,675,132,0,0,0
Novak Djokovic,712,505,760,307,55,3935,2698,4191,1669,348,1684,1116,1790,770,82,Andy Murray,315,188,320,128,26,2711,1759,2705,940,275,76,38,65,16,2,0,0,0
Hubert Hurkacz,544,380,525,181,43,5184,3388,5105,1811,598,851,545,811,284,64,Dusan Lajovic,87,48,82,26,4,3547,2172,3370,1181,178,1703,1060,1753,710,61,0,0,0
Rafael Nadal,188,130,192,71,15,2817,1982,2929,1131,220,2791,1839,2880,1362,92,David Goffin,767,491,870,344,61,4273,2615,4112,1529,338,904,518,995,400,41,0,0,0
Carlos Alcaraz,82,41,64,16,2,1639,1053,1685,651,69,1016,602,1057,448,33,Cameron Norrie,305,213,317,107,24,2530,1592,2571,961,157,883,531,828,284,31,0,0,0
Andrey Rublev,571,403,613,243,60,6115,4045,6436,2502,643,1586,1043,1687,658,109,Daniel Evans,778,543,870,329,35,5805,3674,5876,2167,294,1464,858,1400,563,39,0,0,0
Stefanos Tsitsipas,499,325,545,179,45,6298,4328,6356,2159,618,3443,2277,3361,1312,211,Grigor Dimitrov,274,194,308,96,18,5076,3251,5079,1944,345,1431,903,1418,522,71,0,0,0
Felix Auger Aliassime,1070,729,1035,360,147,4410,2918,4543,1604,507,1440,888,1323,488,114,Jannik Sinner,132,73,139,55,2,4959,3226,5047,1964,313,1760,1074,1747,702,62,0,0,0
Alexander Zverev,341,221,338,121,31,2858,1916,3066,1205,379,1327,860,1497,620,107,Lorenzo Musetti,96,57,82,18,3,841,483,754,273,23,1169,707,1206,471,23,0,0,0
Novak Djokovic,1157,814,1230,495,81,6168,4272,6698,2749,589,2946,1923,2994,1327,164,Stefanos Tsitsipas,256,170,311,116,30,6550,4539,6684,2341,635,3306,2227,3304,1321,205,0,0,0
