Player,BPQ
Rafael Nadal,0.4268
Marin Cilic,0.3878
Grigor Dimitrov,0.3742
Kyle Edmund,0.3989
Tennys Sandgren,
Hyeon Chung,0.4174
Tomas Berdych,0.4255
Roger Federer,0.4041
Philipp Kohlschreiber,0.4051
Juan Martin del Potro,0.3804
Sam Querrey,0.3806
Kevin Anderson,0.3519
Borna Coric,0.3648
Milos Raonic,0.3469
John Isner,0.3342
Alexander Zverev,0.4355
Pablo Carreno Busta,0.4305
Kei Nishikori,0.4183
Richard Gasquet,0.4185
David Goffin,0.415
Dominic Thiem,0.3803
Denis Shapovalov,0.3355
Dusan Lajovic,0.388
Novak Djokovic,0.4405
Fabio Fognini,0.417
Diego Schwartzman,0.445
Marco Cecchinato,
Stefanos Tsitsipas,0.3333
Karen Khachanov,0.3887
Robin Haase,0.3787
Stan Wawrinka,0.3894
John Millman,0.4308
Matthew Ebden,0.3889
Jack Sock,0.3856
Nick Kyrgios,0.3774
Andreas Seppi,0.4171
Marton Fucsovics,0.4398
Pierre Hugues Herbert,
Leonardo Mayer,0.3444
Feliciano Lopez,0.3433
Taylor Fritz,0.3645
Pablo Cuevas,0.4055
Jeremy Chardy,0.3899
Joao Sousa,0.394
Filip Krajinovic,
Frances Tiafoe,0.3663
Fernando Verdasco,0.3816
Jan Lennard Struff,0.3635
Mischa Zverev,0.4127
Roberto Bautista Agut,0.4225
Benoit Paire,0.4239
Aljaz Bedene,0.3834
Albert Ramos,0.3933
Peter Gojowczyk,0.4393
Maximilian Marterer,0.2647
Adrian Mannarino,0.4141
Gael Monfils,0.4303
Mackenzie Mcdonald,
Ernests Gulbis,0.3548
Gilles Simon,0.4508
Jiri Vesely,0.3966
Daniil Medvedev,0.3862
Ilya Ivashka,0.4797
Nikoloz Basilashvili,0.3935
Alex De Minaur,
Nicolas Jarry,0.338
Malek Jaziri,0.3638
