name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Anastasia Pavlyuchenkova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Petra Kvitova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashleigh Barty,0,0,0,0,0,155,96,149,64,14,0,0,0,0,0,Angelique Kerber,0,0,0,0,0,149,85,155,59,7,0,0,0,0,0,0,2,0
Aryna Sabalenka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sofia Kenin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominika Cibulkova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daria Kasatkina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qiang Wang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monica Puig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anett Kontaveit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Katerina Siniakova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashleigh Barty,0,0,0,0,0,57,37,51,25,9,0,0,0,0,0,Anastasia Pavlyuchenkova,0,0,0,0,0,51,26,57,20,1,0,0,0,0,0,0,1,0
Aryna Sabalenka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dominika Cibulkova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anett Kontaveit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Qiang Wang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aryna Sabalenka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashleigh Barty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aryna Sabalenka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anett Kontaveit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
