Player,BPQ
Rafael Nadal,0.4683
Grigor Dimitrov,0.382
Andy Murray,0.4397
Roger Federer,0.3942
Tomas Berdych,0.412
David Ferrer,0.4224
Stan Wawrinka,0.3832
Novak Djokovic,0.4208
Alexandr Dolgopolov,0.375
Milos Raonic,0.3343
Kevin Anderson,0.3519
John Isner,0.307
Ernests Gulbis,0.438
Julien Benneteau,0.3959
Kei Nishikori,0.431
Jo-Wilfried Tsonga,0.4198
Guillermo Garcia Lopez,0.4034
Roberto Bautista Agut,0.4157
Santiago Giraldo,0.3534
Tommy Haas,0.3815
Jeremy Chardy,0.3558
Gael Monfils,0.3986
Marin Cilic,0.4235
Nick Kyrgios,
Feliciano Lopez,0.3612
Tommy Robredo,0.4105
Fabio Fognini,0.4293
Gilles Simon,0.4079
Mikhail Youzhny,0.417
Stephane Robert,
Florian Mayer,0.4094
Fernando Verdasco,0.374
Benjamin Becker,0.3758
Richard Gasquet,0.3876
Andreas Seppi,0.3918
Lukas Rosol,0.343
Pablo Carreno Busta,0.4239
Jarkko Nieminen,0.4243
Lukasz Kubot,0.401
Jurgen Melzer,0.361
Ivan Dodig,0.4426
Philipp Kohlschreiber,0.3927
Dusan Lajovic,
Marcel Granollers,0.4243
Leonardo Mayer,0.4125
Jerzy Janowicz,0.3636
Steve Johnson,0.381
Yen Hsun Lu,0.3925
Dominic Thiem,
Mikhail Kukushkin,0.5789
Jack Sock,0.4636
Ivo Karlovic,0.2813
Malek Jaziri,
Juan Monaco,0.433
Lucas Pouille,
