name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Elise Mertens,391,212,393,168,22,1832,1039,1785,825,80,1485,810,1512,714,51
Elina Svitolina,507,305,468,199,32,2999,1784,3211,1557,135,1340,789,1339,640,35
Sloane Stephens,51,27,61,22,1,1720,993,1672,711,28,0,0,0,0,0
Anastasija Sevastova,654,376,671,307,27,2236,1264,2185,978,67,1314,759,1314,605,32
Kiki Bertens,290,154,230,95,8,1722,961,1864,812,120,1847,1139,1812,858,136
Ashleigh Barty,625,393,642,265,38,2263,1381,2156,951,182,260,156,243,116,10
Caroline Garcia,568,349,524,217,39,3113,1870,3064,1311,211,1354,818,1369,591,93
Simona Halep,577,344,640,278,21,2120,1234,2205,1020,52,1536,922,1637,809,27
Catherine Cartan Bellis,322,181,346,155,9,1245,701,1214,516,20,836,475,749,312,14
Garbine Muguruza,719,449,721,311,44,2955,1734,3060,1406,116,676,388,683,308,19
Julia Goerges,422,264,430,207,35,3296,2068,3361,1402,294,1147,681,1167,485,97
Petra Kvitova,424,274,447,206,52,1276,783,1370,574,91,139,88,143,61,13
Angelique Kerber,569,347,527,225,9,2644,1572,2879,1235,57,494,257,509,217,6
Caroline Wozniacki,645,395,643,283,33,3491,2105,3460,1651,144,1457,811,1303,631,44
Monica Puig,64,34,49,8,3,2211,1301,2322,1008,110,650,395,713,328,42
Qiang Wang,163,101,137,50,6,2468,1404,2638,1258,93,681,418,779,330,31
Katerina Siniakova,277,153,277,112,7,1897,1023,1828,786,66,1374,781,1413,643,35
Anett Kontaveit,580,372,561,261,38,1697,998,1871,819,62,1035,639,1048,458,53
Anastasia Pavlyuchenkova,406,237,441,177,11,3504,2031,3399,1523,156,867,491,929,435,27
Aryna Sabalenka,169,109,150,55,10,1395,819,1379,604,82,0,0,0,0,0
Dominika Cibulkova,569,323,536,222,11,2876,1623,2812,1288,21,370,211,345,143,4
Yulia Putintseva,209,114,212,76,2,2515,1366,2464,1081,67,887,472,833,386,13
Madison Keys,133,82,165,67,6,1378,867,1353,587,95,388,207,435,194,21
Daria Kasatkina,114,66,110,43,3,2721,1471,2768,1300,61,924,532,855,415,9
Jelena Ostapenko,614,375,615,260,23,2712,1460,2866,1381,110,1492,832,1568,757,61
Serena Williams,0,0,0,0,0,552,360,582,265,71,0,0,0,0,0
Camila Giorgi,654,401,603,246,26,1106,620,1068,465,44,394,225,441,188,9
Karolina Pliskova,465,298,481,198,52,3277,2068,3430,1534,344,1065,651,1077,451,65
Carla Suarez Navarro,311,167,292,135,3,1508,850,1676,765,29,1411,793,1421,676,17
Naomi Osaka,540,322,535,200,35,1809,1059,1854,808,120,466,263,499,196,23
Lesia Tsurenko,695,399,675,292,11,1892,1041,1833,826,51,691,363,693,315,12
Venus Williams,500,324,523,218,20,2672,1552,2651,1216,135,714,411,665,318,27
Petra Martic,331,199,326,140,12,178,98,172,67,11,250,158,290,141,11
Danielle Collins,0,0,0,0,0,48,17,45,18,1,0,0,0,0,0
Victoria Azarenka,412,246,506,224,18,0,0,0,0,0,0,0,0,0,0
Maria Sharapova,0,0,0,0,0,1109,651,1090,509,84,608,377,646,293,40
Shuai Zhang,345,188,341,144,10,2271,1307,2293,1034,105,753,427,794,334,25
Johanna Konta,1047,661,1135,500,68,2279,1429,2387,1043,153,573,337,634,268,25
Alize Cornet,245,124,242,102,0,2386,1294,2452,1143,51,707,378,651,305,7
Sorana Cirstea,330,187,334,138,7,2100,1151,2080,943,73,1066,627,1077,468,36
Anna Blinkova,86,51,106,41,8,435,226,450,177,14,107,47,93,33,1
Mihaela Buzarnescu,0,0,0,0,0,499,294,506,209,18,0,0,0,0,0
Monica Niculescu,218,112,198,80,4,1684,871,1706,796,6,262,133,324,136,2
Daria Saville,512,300,462,187,21,2775,1577,2817,1250,105,1214,680,1306,622,27
Sofia Kenin,0,0,0,0,0,418,235,405,176,8,55,29,68,28,0
Barbora Strycova,524,317,584,264,33,3197,1803,3259,1508,98,815,453,841,381,20
Su Wei Hsieh,352,184,345,150,7,1021,521,1010,455,16,348,182,333,143,3
Aliaksandra Sasnovich,216,116,233,97,6,1730,981,1877,838,55,314,163,345,160,5
Alison Van Uytvanck,45,23,47,14,1,981,595,900,360,70,258,159,274,114,12
Belinda Bencic,0,0,0,0,0,933,531,881,345,28,0,0,0,0,0
Donna Vekic,692,448,679,255,57,1775,969,1743,749,79,327,184,289,112,16
Evgeniya Rodina,305,172,302,144,7,1088,595,1061,439,27,340,155,327,145,1
Kate Makarova,140,73,156,63,5,2637,1542,2687,1148,128,594,332,654,287,17
Kaia Kanepi,0,0,0,0,0,415,236,410,176,12,0,0,0,0,0
Marketa Vondrousova,182,106,179,60,9,581,349,613,289,20,402,218,444,217,14
Denisa Allertova,132,82,180,71,2,821,448,870,354,24,82,32,79,41,1
Magdalena Rybarikova,707,426,652,295,52,1185,671,1249,553,54,157,93,144,67,9
Amanda Anisimova,0,0,0,0,0,92,46,79,34,0,118,60,116,56,4
Maria Sakkari,501,293,481,196,23,1067,594,1122,504,30,846,447,880,383,16
Yafan Wang,0,0,0,0,0,663,341,617,294,11,0,0,0,0,0
Agnieszka Radwanska,396,233,377,158,9,2193,1264,2300,1068,68,256,140,264,120,7
Kristina Mladenovic,712,445,684,300,85,2558,1420,2610,1154,134,1380,854,1450,645,68
Bernarda Pera,0,0,0,0,0,97,43,92,46,3,0,0,0,0,0
Kristyna Pliskova,637,403,618,215,75,2097,1243,2176,896,217,702,424,668,268,78
