surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Clay,Tomas Berdych,1100,705,1025,382,74,Grigor Dimitrov,1156,700,1155,430,69,32
Clay,Roberto Bautista Agut,309,162,295,132,3,Lukasz Kubot,372,224,372,142,16,8
Clay,Santiago Giraldo,656,398,619,249,35,Andy Murray,1002,556,957,419,36,22
Clay,Kei Nishikori,502,314,491,193,8,Milos Raonic,731,490,732,249,107,19
Clay,Feliciano Lopez,361,247,390,145,41,Dominic Thiem,230,147,220,74,11,9
Clay,David Ferrer,2215,1385,2297,969,91,John Isner,1332,892,1218,364,138,48
Clay,Ernests Gulbis,819,524,829,322,89,Marin Cilic,816,513,812,304,45,23
Clay,Rafael Nadal,3020,2013,3265,1496,111,Tomas Berdych,2391,1538,2404,965,175,81
Clay,Roberto Bautista Agut,551,325,582,230,11,Santiago Giraldo,538,342,562,235,23,15
Clay,Kei Nishikori,829,499,822,316,18,Feliciano Lopez,1054,699,1064,348,131,23
Clay,David Ferrer,2153,1333,2234,951,53,Ernests Gulbis,1638,1045,1652,638,134,52
Clay,Rafael Nadal,630,430,682,312,26,Roberto Bautista Agut,615,346,608,250,12,17
Clay,Kei Nishikori,1028,630,1045,415,20,David Ferrer,2145,1336,2235,969,59,47
Clay,Rafael Nadal,1296,895,1394,646,57,Kei Nishikori,1207,745,1312,506,24,37
Clay,Rafael Nadal,2725,1775,2786,1313,92,Mikhail Youzhny,2386,1440,2391,932,89,69
Clay,Andy Murray,1113,680,1192,516,69,Jurgen Melzer,586,327,595,208,22,25
Clay,Tommy Haas,1039,631,946,349,58,Stan Wawrinka,2054,1278,2051,813,101,33
Clay,Grigor Dimitrov,1156,700,1155,430,69,Tomas Berdych,1100,705,1025,382,74,32
Clay,Milos Raonic,1190,781,1170,391,134,Jo-Wilfried Tsonga,1200,759,1194,456,84,34
Clay,Jeremy Chardy,455,263,487,189,40,Ivan Dodig,447,264,430,172,33,14
Clay,David Ferrer,2153,1333,2234,951,53,Ernests Gulbis,1638,1045,1652,638,134,52
Clay,Novak Djokovic,1881,1218,1954,816,90,Philipp Kohlschreiber,1459,912,1423,548,78,49
Clay,Rafael Nadal,2232,1456,2293,1073,71,Andy Murray,1718,1045,1749,733,93,56
Clay,Grigor Dimitrov,1090,664,1032,363,63,Tommy Haas,876,536,760,279,44,24
Clay,Milos Raonic,683,436,684,214,86,Jeremy Chardy,826,486,874,326,47,19
Clay,Novak Djokovic,3083,2039,3227,1384,145,David Ferrer,2897,1817,3022,1297,85,82
Clay,Rafael Nadal,2274,1466,2287,1071,85,Grigor Dimitrov,1338,823,1330,477,79,52
Clay,Novak Djokovic,1697,1063,1697,693,61,Milos Raonic,988,641,968,294,144,33
Clay,Novak Djokovic,2163,1451,2227,942,121,Rafael Nadal,2498,1660,2651,1266,79,71
Clay,Rafael Nadal,334,225,290,134,16,Dusan Lajovic,178,98,174,63,6,8
Clay,David Ferrer,1210,790,1170,509,25,Kevin Anderson,1076,690,1092,368,87,33
Clay,Gael Monfils,1020,623,1099,456,58,Guillermo Garcia Lopez,1592,892,1465,583,38,37
Clay,Andy Murray,1382,794,1335,554,77,Fernando Verdasco,1463,908,1487,571,61,38
Clay,Tomas Berdych,861,546,815,328,62,John Isner,870,562,803,244,94,25
Clay,Ernests Gulbis,904,568,891,329,75,Roger Federer,885,567,917,359,57,23
