name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Elise Mertens,51,33,65,38,6,210,132,210,98,9,135,76,178,93,2,Aryna Sabalenka,0,0,0,0,0,415,243,336,148,36,0,0,0,0,0,0,0,0
Elina Svitolina,309,194,283,108,21,1194,694,1328,659,53,423,245,390,187,12,Johanna Konta,529,325,552,252,33,832,510,969,434,55,167,93,218,91,6,0,0,0
Sloane Stephens,0,0,0,0,0,848,499,819,340,14,0,0,0,0,0,Carla Suarez Navarro,49,33,42,24,0,404,220,437,174,7,177,84,208,104,2,0,0,0
Anastasija Sevastova,190,107,163,79,10,1035,582,972,439,24,541,304,548,244,11,Julia Goerges,90,66,100,52,13,1159,701,1148,458,103,399,217,402,167,38,0,0,0
Kiki Bertens,0,0,0,0,0,279,150,317,129,9,338,205,368,171,30,Petra Kvitova,59,38,67,32,7,286,178,315,139,25,0,0,0,0,0,0,0,0
Ashleigh Barty,342,210,366,146,15,1143,673,1053,447,86,58,38,42,22,2,Alize Cornet,104,53,106,49,0,855,460,931,396,15,350,185,347,166,3,0,0,0
Caroline Garcia,141,80,116,42,11,361,214,355,138,16,211,129,220,102,7,Maria Sharapova,0,0,0,0,0,733,422,716,332,47,178,118,204,99,21,0,0,0
Simona Halep,335,188,391,170,16,1175,689,1274,555,34,843,478,876,426,11,Venus Williams,333,215,331,137,13,1446,794,1399,646,80,307,170,243,108,12,0,0,0
Elina Svitolina,111,70,94,39,4,1191,699,1295,630,48,214,133,235,116,3,Elise Mertens,243,131,235,91,13,653,376,689,308,29,442,235,383,157,21,0,0,0
Sloane Stephens,51,27,61,22,1,840,485,826,332,17,0,0,0,0,0,Anastasija Sevastova,267,153,260,115,13,622,358,552,215,30,113,52,92,33,0,0,0,0
Ashleigh Barty,81,44,58,19,9,532,329,534,250,52,111,59,119,57,4,Kiki Bertens,0,0,0,0,0,583,318,630,280,47,288,173,318,161,23,0,0,0
Simona Halep,256,138,269,115,9,779,420,757,334,13,726,445,800,391,17,Caroline Garcia,441,265,391,159,32,844,498,827,327,46,316,188,362,149,23,0,0,0
