surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Serena Williams,1381,901,1395,670,150,Caroline Wozniacki,1453,824,1378,640,24,47
Hard,Venus Williams,514,288,504,220,22,Carla Suarez Navarro,274,143,267,122,1,11
Hard,Agnieszka Radwanska,1443,829,1423,684,56,Victoria Azarenka,1302,726,1412,736,34,46
Hard,Kate Makarova,155,92,152,82,7,Coco Vandeweghe,172,97,200,100,22,6
Hard,Venus Williams,940,534,982,475,36,Serena Williams,1177,771,1175,558,132,36
Hard,Agnieszka Radwanska,1442,835,1415,664,47,Kate Makarova,900,521,872,361,39,36
Hard,Agnieszka Radwanska,710,431,654,307,30,Venus Williams,654,366,660,315,27,21
Hard,Alize Cornet,494,266,466,212,21,Kirsten Flipkens,802,433,812,313,37,20
Hard,Eugenie Bouchard,71,33,57,21,1,Alison Riske Amritraj,147,94,159,68,4,3
Hard,Timea Bacsinszky,62,30,62,26,0,Maria Sharapova,99,59,99,38,4,2
Hard,Caroline Wozniacki,94,55,97,45,5,Casey Dellacqua,64,32,47,14,0,2
Hard,Caroline Garcia,0,0,0,0,0,Coco Vandeweghe,0,0,0,0,0,0
Hard,Petra Kvitova,552,315,562,274,21,Karolina Pliskova,397,232,362,125,30,12
Hard,Angelique Kerber,90,48,104,50,2,Barbora Strycova,74,42,85,35,0,2
Hard,Elina Svitolina,59,29,67,28,1,Garbine Muguruza,157,95,147,57,5,4
Hard,Eugenie Bouchard,693,383,704,327,21,Alize Cornet,617,327,599,259,19,18
Hard,Caroline Wozniacki,122,76,143,72,2,Timea Bacsinszky,62,30,62,26,0,3
Hard,Petra Kvitova,393,215,384,184,38,Caroline Garcia,177,90,135,36,10,8
Hard,Elina Svitolina,461,236,437,182,14,Angelique Kerber,995,561,926,410,32,23
Hard,Eugenie Bouchard,673,360,683,290,16,Caroline Wozniacki,883,524,857,382,20,23
Hard,Petra Kvitova,580,320,574,250,32,Elina Svitolina,229,115,217,86,8,17
Hard,Petra Kvitova,679,399,698,298,36,Eugenie Bouchard,574,310,524,233,16,17
Clay,Serena Williams,316,221,331,178,27,Varvara Lepchenko,349,173,413,180,6,13
Clay,Shuai Zhang,0,0,0,0,0,Christina Mchale,0,0,0,0,0,0
