surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Clay,Kevin Anderson,0,0,0,0,0,Dusan Lajovic,0,0,0,0,0,0
Clay,Dominic Thiem,578,365,590,268,30,Rafael Nadal,488,333,578,282,19,18
Clay,Alexander Zverev,0,0,0,0,0,Denis Shapovalov,0,0,0,0,0,0
Clay,Dominic Thiem,419,255,391,140,25,Kevin Anderson,336,231,342,118,44,9
Clay,Alexander Zverev,179,110,165,54,20,Dominic Thiem,525,320,589,221,21,11
Clay,Alexander Zverev,212,128,198,72,11,Kyle Edmund,403,246,346,111,19,7
Clay,David Goffin,153,95,161,72,7,Juan Martin del Potro,105,66,112,35,10,4
Clay,Marin Cilic,68,34,77,23,5,Benoit Paire,182,115,166,64,15,3
Clay,Pablo Carreno Busta,368,215,334,136,12,Aljaz Bedene,283,186,274,81,17,6
Clay,Novak Djokovic,563,352,572,257,25,Albert Ramos,452,246,447,184,11,13
Clay,Kei Nishikori,295,194,302,128,13,Philipp Kohlschreiber,185,116,188,76,17,6
Clay,Fabio Fognini,0,0,0,0,0,Peter Gojowczyk,0,0,0,0,0,0
Clay,Rafael Nadal,0,0,0,0,0,Denis Shapovalov,0,0,0,0,0,0
Clay,Alexander Zverev,570,355,572,228,36,David Goffin,507,302,447,172,24,14
Clay,Marin Cilic,171,105,178,72,14,Pablo Carreno Busta,285,181,283,107,15,4
Clay,Novak Djokovic,263,180,282,132,13,Kei Nishikori,297,179,287,130,10,7
Clay,Rafael Nadal,235,172,299,161,14,Fabio Fognini,481,262,433,149,9,11
Clay,Alexander Zverev,393,277,430,180,35,Marin Cilic,417,284,426,194,41,12
Clay,Rafael Nadal,629,429,729,351,26,Novak Djokovic,780,487,770,336,34,21
Clay,Rafael Nadal,365,252,406,186,15,Alexander Zverev,419,275,457,178,26,12
Clay,Rafael Nadal,118,75,126,61,3,Maximilian Marterer,164,99,143,39,12,4
Clay,Diego Schwartzman,291,142,300,129,4,Kevin Anderson,205,122,177,49,19,7
Clay,Marin Cilic,342,210,372,132,30,Fabio Fognini,272,154,278,97,3,8
Clay,Juan Martin del Potro,0,0,0,0,0,John Isner,0,0,0,0,0,0
Clay,Marco Cecchinato,161,93,159,59,7,David Goffin,121,80,123,48,11,4
Clay,Novak Djokovic,276,166,244,98,8,Fernando Verdasco,415,244,466,199,13,9
Clay,Dominic Thiem,249,145,292,138,10,Kei Nishikori,273,155,274,123,9,8
Clay,Alexander Zverev,263,191,276,100,37,Karen Khachanov,380,270,401,134,26,8
Clay,Rafael Nadal,570,398,594,266,26,Diego Schwartzman,478,245,415,181,6,15
Clay,Juan Martin del Potro,0,0,0,0,0,Marin Cilic,55,40,72,34,10,2
Clay,Marco Cecchinato,71,45,64,29,1,Novak Djokovic,83,51,93,42,2,2
Clay,Dominic Thiem,525,320,589,221,21,Alexander Zverev,179,110,165,54,20,11
Clay,Rafael Nadal,139,89,175,88,5,Juan Martin del Potro,164,107,177,61,17,6
Clay,Dominic Thiem,0,0,0,0,0,Marco Cecchinato,0,0,0,0,0,0
Clay,Rafael Nadal,488,333,578,282,19,Dominic Thiem,578,365,590,268,30,18
Grass,Roger Federer,84,64,101,52,12,Adrian Mannarino,255,156,292,115,11,5
Grass,Kevin Anderson,46,32,68,21,9,Gael Monfils,221,140,207,77,40,3
Grass,Milos Raonic,0,0,0,0,0,Mackenzie Mcdonald,0,0,0,0,0,0
Grass,John Isner,89,70,92,19,27,Stefanos Tsitsipas,90,57,100,29,11,2
Grass,Novak Djokovic,0,0,0,0,0,Karen Khachanov,0,0,0,0,0,0
Grass,Kei Nishikori,0,0,0,0,0,Ernests Gulbis,0,0,0,0,0,0
Grass,Juan Martin del Potro,0,0,0,0,0,Gilles Simon,0,0,0,0,0,0
Grass,Rafael Nadal,0,0,0,0,0,Jiri Vesely,0,0,0,0,0,0
Grass,Kevin Anderson,0,0,0,0,0,Roger Federer,0,0,0,0,0,0
Grass,John Isner,0,0,0,0,0,Milos Raonic,0,0,0,0,0,0
Grass,Novak Djokovic,0,0,0,0,0,Kei Nishikori,0,0,0,0,0,0
Grass,Rafael Nadal,0,0,0,0,0,Juan Martin del Potro,0,0,0,0,0,0
Grass,Kevin Anderson,46,32,68,21,9,John Isner,51,27,47,13,5,2
Grass,Novak Djokovic,67,48,76,32,7,Rafael Nadal,85,62,104,45,4,2
Grass,Novak Djokovic,0,0,0,0,0,Kevin Anderson,0,0,0,0,0,0
Hard,Alexander Zverev,555,376,577,224,59,Daniil Medvedev,458,262,437,154,30,15
Hard,Stefanos Tsitsipas,0,0,0,0,0,Novak Djokovic,0,0,0,0,0,0
Hard,Kevin Anderson,0,0,0,0,0,Ilya Ivashka,0,0,0,0,0,0
Hard,Grigor Dimitrov,912,602,882,342,85,Frances Tiafoe,309,195,302,88,27,15
Hard,Karen Khachanov,761,465,699,256,81,John Isner,569,396,502,126,124,16
Hard,Robin Haase,640,413,694,254,76,Denis Shapovalov,627,390,600,201,62,17
Hard,Marin Cilic,288,205,295,93,41,Diego Schwartzman,256,160,288,117,11,9
