name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Roger Federer,0,0,0,0,0,64,42,67,31,6,0,0,0,0,0,Richard Gasquet,0,0,0,0,0,67,36,64,22,0,0,0,0,0,0,0,1,0
Kei Nishikori,0,0,0,0,0,157,76,150,53,2,0,0,0,0,0,David Ferrer,0,0,0,0,0,150,97,157,81,7,0,0,0,0,0,0,2,0
Andy Murray,82,57,85,33,5,0,0,0,0,0,0,0,0,0,0,Jo-Wilfried Tsonga,85,52,82,25,10,0,0,0,0,0,0,0,0,0,0,1,0,0
Novak Djokovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tommy Robredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Nadal,0,0,0,0,0,40,33,46,22,4,42,29,57,30,4,Milos Raonic,0,0,0,0,0,46,24,40,7,4,57,27,42,13,6,0,1,1
Tomas Berdych,0,0,0,0,0,66,45,53,21,9,0,0,0,0,0,Alexandr Dolgopolov,0,0,0,0,0,53,32,66,21,2,0,0,0,0,0,0,1,0
Kei Nishikori,0,0,0,0,0,0,0,0,0,0,80,50,65,19,1,Roger Federer,0,0,0,0,0,0,0,0,0,0,65,46,80,30,7,0,0,1
Novak Djokovic,105,55,105,41,4,134,96,131,43,8,0,0,0,0,0,Andy Murray,105,64,105,50,9,131,88,134,38,7,0,0,0,0,0,1,1,0
Rafael Nadal,0,0,0,0,0,242,162,248,96,12,45,37,48,20,0,Tomas Berdych,0,0,0,0,0,248,152,242,80,24,48,28,45,8,5,0,4,1
Novak Djokovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kei Nishikori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novak Djokovic,0,0,0,0,0,304,200,336,126,25,236,144,238,92,7,Rafael Nadal,0,0,0,0,0,336,210,304,104,11,238,146,236,92,8,0,4,2
Rafael Nadal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andreas Seppi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Ferrer,0,0,0,0,0,92,56,99,40,1,0,0,0,0,0,Grigor Dimitrov,0,0,0,0,0,99,59,92,36,3,0,0,0,0,0,0,1,0
Stan Wawrinka,0,0,0,0,0,57,38,54,28,9,65,51,55,18,4,Nicolas Almagro,0,0,0,0,0,54,26,57,19,3,55,37,65,14,7,0,1,1
Milos Raonic,0,0,0,0,0,0,0,0,0,0,104,74,117,42,13,Tommy Robredo,0,0,0,0,0,0,0,0,0,0,117,75,104,30,9,0,0,1
Jo-Wilfried Tsonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fabio Fognini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Federer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lukas Rosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillermo Garcia Lopez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tomas Berdych,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novak Djokovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pablo Carreno Busta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Ferrer,0,0,0,0,0,131,74,107,42,4,328,160,343,139,3,Rafael Nadal,0,0,0,0,0,107,65,131,57,4,343,204,328,168,8,0,2,4
Stan Wawrinka,0,0,0,0,0,62,50,59,15,10,0,0,0,0,0,Milos Raonic,0,0,0,0,0,59,44,62,12,11,0,0,0,0,0,0,1,0
Roger Federer,0,0,0,0,0,158,109,175,60,6,100,53,76,20,0,Jo-Wilfried Tsonga,0,0,0,0,0,175,115,158,49,20,76,56,100,47,2,0,1,1
Novak Djokovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guillermo Garcia Lopez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stan Wawrinka,0,0,0,0,0,102,62,95,41,14,116,74,131,52,6,David Ferrer,0,0,0,0,0,95,54,102,40,0,131,79,116,42,4,0,1,2
