name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Ashleigh Barty,523,334,484,226,53,1549,1002,1617,746,176,1220,778,1261,553,103
Jessica Pegula,490,307,493,207,17,2332,1400,2404,1136,100,753,418,685,308,26
Barbora Krejcikova,304,190,295,119,15,2505,1531,2516,1091,143,1309,792,1314,607,52
Madison Keys,501,324,530,219,41,726,408,739,302,51,504,280,498,214,27
Danielle Collins,136,71,129,54,1,2605,1580,2488,1107,153,892,536,878,431,51
Alize Cornet,641,395,660,286,18,2377,1298,2353,1090,50,690,348,734,347,9
Iga Swiatek,383,229,437,190,20,1613,1004,1763,786,83,833,529,879,414,17
Kaia Kanepi,54,28,49,14,2,1250,716,1213,511,68,298,162,284,120,11
Anett Kontaveit,431,253,423,186,24,3168,1939,3070,1410,162,579,339,580,257,33
Maria Sakkari,119,76,121,55,13,2434,1423,2429,1062,143,1021,593,1082,500,61
Jelena Ostapenko,726,418,754,377,19,2182,1231,2224,1034,70,730,402,734,340,21
Aryna Sabalenka,776,488,710,311,78,2370,1425,2493,1073,204,1051,647,974,458,73
Cori Gauff,436,264,413,167,47,1846,1101,1777,738,135,1362,792,1431,665,66
Ons Jabeur,815,528,923,414,66,2476,1498,2626,1180,150,1203,704,1140,575,56
Garbine Muguruza,392,250,471,222,16,2946,1797,3026,1379,154,333,185,308,152,14
Simona Halep,0,0,0,0,0,1853,1096,1851,868,73,436,254,406,206,12
Paula Badosa,407,243,445,194,25,2334,1382,2326,1007,124,1375,831,1482,717,69
Petra Martic,407,244,399,144,19,1470,850,1486,581,78,848,500,877,364,38
Veronika Kudermetova,355,200,350,137,23,2556,1474,2540,1057,193,1301,784,1264,558,77
Elena Rybakina,771,464,796,332,75,1927,1205,1913,785,168,690,411,640,298,42
Naomi Osaka,0,0,0,0,0,1153,745,1123,488,121,260,163,321,132,16
Belinda Bencic,571,362,557,218,39,2154,1326,2324,989,119,712,419,657,266,31
Daria Saville,0,0,0,0,0,325,184,312,138,9,0,0,0,0,0
Petra Kvitova,425,260,397,169,25,1675,1025,1686,765,111,922,568,993,420,53
Jil Teichmann,51,24,44,11,2,2169,1272,2169,940,84,621,318,603,281,10
Ekaterina Alexandrova,320,210,357,149,37,2086,1212,2069,889,140,694,392,681,308,46
Anhelina Kalinina,0,0,0,0,0,770,413,816,387,25,425,229,440,207,7
Sara Sorribes Tormo,405,224,369,167,7,2493,1336,2450,1193,20,570,282,570,269,3
Amanda Anisimova,334,188,308,138,6,1016,612,1081,474,42,639,357,637,309,16
Bianca Andreescu,269,142,271,107,3,1765,1051,1943,841,61,229,138,219,102,7
Daria Kasatkina,738,410,719,350,19,2427,1382,2609,1219,73,738,389,745,364,18
Martina Trevisan,150,76,122,43,2,967,494,838,347,13,443,232,436,193,0
Leylah Fernandez,224,133,195,72,9,2034,1191,1990,845,59,416,223,404,199,5
Sloane Stephens,220,128,213,98,6,1463,810,1429,583,32,1063,597,1127,521,17
Ajla Tomljanovic,599,349,545,227,20,1923,1079,1986,871,75,713,408,799,357,19
Marie Bouzkova,338,196,324,140,10,1868,1054,1893,787,45,393,204,380,171,6
Tatjana Maria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jule Niemeier,101,64,88,29,12,139,66,133,53,13,1193,722,1209,520,99
Beatriz Haddad Maia,0,0,0,0,0,255,127,261,125,6,0,0,0,0,0
Karolina Pliskova,599,387,629,263,74,2102,1272,2017,846,209,941,535,930,400,83
Qinwen Zheng,0,0,0,0,0,132,75,114,31,11,129,74,117,49,5
Yulia Putintseva,99,59,108,49,3,2308,1381,2508,1116,38,1436,751,1451,708,23
Caroline Garcia,223,110,187,78,16,1928,1113,1822,729,109,950,554,959,419,40
Shuai Zhang,470,275,467,206,10,1273,697,1255,504,37,794,425,759,315,13
Victoria Azarenka,624,368,584,270,38,1599,922,1633,808,62,370,202,408,203,7
Anna Kalinskaya,125,66,126,48,3,1429,813,1457,612,25,287,142,290,130,4
Elise Mertens,358,217,399,178,24,2360,1339,2320,1083,143,992,565,1141,536,33
Sorana Cirstea,387,213,334,132,11,1481,852,1500,643,50,841,491,955,457,23
Tereza Martincova,693,426,662,279,18,1984,1112,1969,889,46,486,256,477,216,8
Madison Brengle,428,240,461,197,0,614,312,629,268,0,371,192,395,190,0
Liudmila Samsonova,639,414,709,286,63,1800,1077,1776,716,142,357,204,380,159,34
Angelique Kerber,823,510,911,436,22,1843,1024,1860,832,28,546,299,560,249,7
Harriet Dart,420,223,385,168,6,640,358,666,288,18,73,40,84,36,0
Marketa Vondrousova,309,179,305,109,14,2348,1371,2388,1110,86,529,311,471,190,11
Viktorija Golubic,801,467,781,350,11,1531,843,1523,708,6,371,196,379,160,4
Aliaksandra Sasnovich,166,90,149,61,9,2150,1131,2127,961,53,673,370,670,321,12
Lucia Bronzetti,0,0,0,0,0,269,135,258,124,10,360,208,441,228,19
Alison Riske Amritraj,696,417,769,300,14,1463,831,1441,658,58,77,36,87,35,1
Linda Fruhvirtova,0,0,0,0,0,133,74,144,66,8,220,112,227,121,0
Emma Raducanu,299,177,346,164,14,840,513,844,379,39,0,0,0,0,0
Irina Camelia Begu,222,117,211,91,7,1814,1055,1914,819,71,346,181,371,167,13
Camila Giorgi,547,334,621,275,38,1184,674,1148,507,60,603,335,610,268,20
Harmony Tan,0,0,0,0,0,139,85,167,67,3,635,331,572,261,14
Heather Watson,602,364,590,239,51,1270,690,1196,463,74,100,52,65,23,5
Shelby Rogers,437,264,462,187,12,2180,1310,2319,1027,115,1429,833,1401,578,71
