P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score
Novak Djokovic,James Ward,grass,0,0,0,0
Novak Djokovic,James Ward,grass,1,1,15,0
Novak Djokovic,James Ward,grass,1,1,30,0
Novak Djokovic,James Ward,grass,1,1,40,0
Novak Djokovic,James Ward,grass,1,1,0,0
Novak Djokovic,James Ward,grass,2,2,0,15
Novak Djokovic,James Ward,grass,2,1,15,15
Novak Djokovic,James Ward,grass,2,2,15,30
Novak Djokovic,James Ward,grass,2,1,30,30
Novak Djokovic,James Ward,grass,2,1,40,30
Novak Djokovic,James Ward,grass,2,2,40,40
Novak Djokovic,James Ward,grass,2,2,40,AD
Novak Djokovic,James Ward,grass,2,1,40,40
Novak Djokovic,James Ward,grass,2,1,AD,40
Novak Djokovic,James Ward,grass,2,1,0,0
Novak Djokovic,James Ward,grass,1,2,0,15
Novak Djokovic,James Ward,grass,1,2,0,30
Novak Djokovic,James Ward,grass,1,2,0,40
Novak Djokovic,James Ward,grass,1,1,15,40
Novak Djokovic,James Ward,grass,1,1,30,40
Novak Djokovic,James Ward,grass,1,1,40,40
Novak Djokovic,James Ward,grass,1,2,40,AD
Novak Djokovic,James Ward,grass,1,1,40,40
Novak Djokovic,James Ward,grass,1,1,AD,40
Novak Djokovic,James Ward,grass,1,1,0,0
Novak Djokovic,James Ward,grass,2,1,15,0
Novak Djokovic,James Ward,grass,2,2,15,15
Novak Djokovic,James Ward,grass,2,2,15,30
Novak Djokovic,James Ward,grass,2,1,30,30
Novak Djokovic,James Ward,grass,2,2,30,40
Novak Djokovic,James Ward,grass,2,1,40,40
Novak Djokovic,James Ward,grass,2,2,40,AD
Novak Djokovic,James Ward,grass,2,1,40,40
Novak Djokovic,James Ward,grass,2,1,AD,40
Novak Djokovic,James Ward,grass,2,1,0,0
Novak Djokovic,James Ward,grass,1,1,15,0
Novak Djokovic,James Ward,grass,1,1,30,0
Novak Djokovic,James Ward,grass,1,1,40,0
Novak Djokovic,James Ward,grass,1,2,40,15
Novak Djokovic,James Ward,grass,1,1,0,0
Novak Djokovic,James Ward,grass,2,1,15,0
Novak Djokovic,James Ward,grass,2,2,15,15
Novak Djokovic,James Ward,grass,2,1,30,15
Novak Djokovic,James Ward,grass,2,1,40,15
Novak Djokovic,James Ward,grass,2,1,0,0
Novak Djokovic,James Ward,grass,1,1,15,0
Novak Djokovic,James Ward,grass,1,1,30,0
Novak Djokovic,James Ward,grass,1,1,40,0
Novak Djokovic,James Ward,grass,1,1,0,0
Novak Djokovic,James Ward,grass,2,2,0,15
Novak Djokovic,James Ward,grass,2,1,15,15
Novak Djokovic,James Ward,grass,2,1,30,15
Novak Djokovic,James Ward,grass,2,1,40,15
Novak Djokovic,James Ward,grass,2,1,0,0
Novak Djokovic,James Ward,grass,1,1,15,0
Novak Djokovic,James Ward,grass,1,1,30,0
Novak Djokovic,James Ward,grass,1,1,40,0
Novak Djokovic,James Ward,grass,1,1,0,0
Novak Djokovic,James Ward,grass,2,1,15,0
Novak Djokovic,James Ward,grass,2,2,15,15
Novak Djokovic,James Ward,grass,2,2,15,30
Novak Djokovic,James Ward,grass,2,2,15,40
Novak Djokovic,James Ward,grass,2,2,0,0
Novak Djokovic,James Ward,grass,1,2,0,15
Novak Djokovic,James Ward,grass,1,2,0,30
Novak Djokovic,James Ward,grass,1,2,0,40
Novak Djokovic,James Ward,grass,1,1,15,40
Novak Djokovic,James Ward,grass,1,2,0,0
Novak Djokovic,James Ward,grass,2,2,0,15
Novak Djokovic,James Ward,grass,2,2,0,30
Novak Djokovic,James Ward,grass,2,2,0,40
Novak Djokovic,James Ward,grass,2,1,15,40
Novak Djokovic,James Ward,grass,2,1,30,40
Novak Djokovic,James Ward,grass,2,2,0,0
Novak Djokovic,James Ward,grass,1,1,15,0
Novak Djokovic,James Ward,grass,1,1,30,0
Novak Djokovic,James Ward,grass,1,2,30,15
Novak Djokovic,James Ward,grass,1,1,40,15
Novak Djokovic,James Ward,grass,1,1,0,0
Novak Djokovic,James Ward,grass,2,1,15,0
Novak Djokovic,James Ward,grass,2,1,30,0
Novak Djokovic,James Ward,grass,2,1,40,0
Novak Djokovic,James Ward,grass,2,2,40,15
Novak Djokovic,James Ward,grass,2,2,40,30
Novak Djokovic,James Ward,grass,2,2,40,40
Novak Djokovic,James Ward,grass,2,2,40,AD
Novak Djokovic,James Ward,grass,2,2,0,0
Novak Djokovic,James Ward,grass,1,2,0,15
Novak Djokovic,James Ward,grass,1,1,15,15
Novak Djokovic,James Ward,grass,1,1,30,15
Novak Djokovic,James Ward,grass,1,1,40,15
Novak Djokovic,James Ward,grass,1,2,40,30
Novak Djokovic,James Ward,grass,1,1,0,0
Novak Djokovic,James Ward,grass,2,2,0,15
Novak Djokovic,James Ward,grass,2,1,15,15
Novak Djokovic,James Ward,grass,2,1,30,15
Novak Djokovic,James Ward,grass,2,2,30,30
Novak Djokovic,James Ward,grass,2,2,30,40
Novak Djokovic,James Ward,grass,2,2,0,0
Novak Djokovic,James Ward,grass,1,2,0,15
Novak Djokovic,James Ward,grass,1,1,15,15
Novak Djokovic,James Ward,grass,1,2,15,30
Novak Djokovic,James Ward,grass,1,1,30,30
Novak Djokovic,James Ward,grass,1,1,40,30
Novak Djokovic,James Ward,grass,1,2,40,40
Novak Djokovic,James Ward,grass,1,2,40,AD
Novak Djokovic,James Ward,grass,1,1,40,40
Novak Djokovic,James Ward,grass,1,2,40,AD
Novak Djokovic,James Ward,grass,1,1,40,40
Novak Djokovic,James Ward,grass,1,2,40,AD
Novak Djokovic,James Ward,grass,1,1,40,40
Novak Djokovic,James Ward,grass,1,1,AD,40
Novak Djokovic,James Ward,grass,1,1,0,0
Novak Djokovic,James Ward,grass,2,1,15,0
Novak Djokovic,James Ward,grass,2,2,15,15
Novak Djokovic,James Ward,grass,2,1,30,15
Novak Djokovic,James Ward,grass,2,2,30,30
Novak Djokovic,James Ward,grass,2,2,30,40
Novak Djokovic,James Ward,grass,2,1,40,40
Novak Djokovic,James Ward,grass,2,2,40,AD
Novak Djokovic,James Ward,grass,2,2,0,0
Novak Djokovic,James Ward,grass,1,1,1,0
Novak Djokovic,James Ward,grass,2,2,1,1
Novak Djokovic,James Ward,grass,2,1,2,1
Novak Djokovic,James Ward,grass,1,1,3,1
Novak Djokovic,James Ward,grass,1,1,4,1
Novak Djokovic,James Ward,grass,2,1,5,1
Novak Djokovic,James Ward,grass,2,2,5,2
Novak Djokovic,James Ward,grass,1,1,6,2
Novak Djokovic,James Ward,grass,1,2,6,3
Novak Djokovic,James Ward,grass,2,1,0,0
Novak Djokovic,James Ward,grass,2,2,0,15
Novak Djokovic,James Ward,grass,2,2,0,30
Novak Djokovic,James Ward,grass,2,2,0,40
Novak Djokovic,James Ward,grass,2,2,0,0
Novak Djokovic,James Ward,grass,1,1,15,0
Novak Djokovic,James Ward,grass,1,1,30,0
Novak Djokovic,James Ward,grass,1,2,30,15
Novak Djokovic,James Ward,grass,1,1,40,15
Novak Djokovic,James Ward,grass,1,1,0,0
Novak Djokovic,James Ward,grass,2,1,15,0
Novak Djokovic,James Ward,grass,2,1,30,0
Novak Djokovic,James Ward,grass,2,2,30,15
Novak Djokovic,James Ward,grass,2,2,30,30
Novak Djokovic,James Ward,grass,2,1,40,30
Novak Djokovic,James Ward,grass,2,1,0,0
Novak Djokovic,James Ward,grass,1,1,15,0
Novak Djokovic,James Ward,grass,1,1,30,0
Novak Djokovic,James Ward,grass,1,1,40,0
Novak Djokovic,James Ward,grass,1,1,0,0
Novak Djokovic,James Ward,grass,2,1,15,0
Novak Djokovic,James Ward,grass,2,2,15,15
Novak Djokovic,James Ward,grass,2,2,15,30
Novak Djokovic,James Ward,grass,2,1,30,30
Novak Djokovic,James Ward,grass,2,2,30,40
Novak Djokovic,James Ward,grass,2,1,40,40
Novak Djokovic,James Ward,grass,2,2,40,AD
Novak Djokovic,James Ward,grass,2,1,40,40
Novak Djokovic,James Ward,grass,2,1,AD,40
Novak Djokovic,James Ward,grass,2,2,40,40
Novak Djokovic,James Ward,grass,2,2,40,AD
Novak Djokovic,James Ward,grass,2,1,40,40
Novak Djokovic,James Ward,grass,2,2,40,AD
Novak Djokovic,James Ward,grass,2,1,40,40
Novak Djokovic,James Ward,grass,2,2,40,AD
Novak Djokovic,James Ward,grass,2,2,0,0
Novak Djokovic,James Ward,grass,1,1,15,0
Novak Djokovic,James Ward,grass,1,1,30,0
Novak Djokovic,James Ward,grass,1,2,30,15
Novak Djokovic,James Ward,grass,1,1,40,15
Novak Djokovic,James Ward,grass,1,1,0,0
Novak Djokovic,James Ward,grass,2,2,0,15
Novak Djokovic,James Ward,grass,2,2,0,30
Novak Djokovic,James Ward,grass,2,2,0,40
Novak Djokovic,James Ward,grass,2,2,0,0
Novak Djokovic,James Ward,grass,1,1,15,0
Novak Djokovic,James Ward,grass,1,1,30,0
Novak Djokovic,James Ward,grass,1,2,30,15
Novak Djokovic,James Ward,grass,1,1,40,15
Novak Djokovic,James Ward,grass,1,2,40,30
Novak Djokovic,James Ward,grass,1,2,40,40
Novak Djokovic,James Ward,grass,1,1,AD,40
Novak Djokovic,James Ward,grass,1,1,0,0
Novak Djokovic,James Ward,grass,2,2,0,15
Novak Djokovic,James Ward,grass,2,1,15,15
Novak Djokovic,James Ward,grass,2,2,15,30
Novak Djokovic,James Ward,grass,2,2,15,40
Novak Djokovic,James Ward,grass,2,2,0,0
Novak Djokovic,James Ward,grass,1,1,15,0
Novak Djokovic,James Ward,grass,1,2,15,15
Novak Djokovic,James Ward,grass,1,1,30,15
Novak Djokovic,James Ward,grass,1,1,40,15
Novak Djokovic,James Ward,grass,1,1,0,0
Kyle Edmund,Adrian Mannarino,grass,0,0,0,0
Kyle Edmund,Adrian Mannarino,grass,1,1,15,0
Kyle Edmund,Adrian Mannarino,grass,1,1,30,0
Kyle Edmund,Adrian Mannarino,grass,1,1,40,0
Kyle Edmund,Adrian Mannarino,grass,1,1,0,0
Kyle Edmund,Adrian Mannarino,grass,2,1,15,0
Kyle Edmund,Adrian Mannarino,grass,2,1,30,0
Kyle Edmund,Adrian Mannarino,grass,2,2,30,15
Kyle Edmund,Adrian Mannarino,grass,2,2,30,30
Kyle Edmund,Adrian Mannarino,grass,2,2,30,40
Kyle Edmund,Adrian Mannarino,grass,2,2,0,0
Kyle Edmund,Adrian Mannarino,grass,1,2,0,15
Kyle Edmund,Adrian Mannarino,grass,1,1,15,15
Kyle Edmund,Adrian Mannarino,grass,1,2,15,30
Kyle Edmund,Adrian Mannarino,grass,1,2,15,40
Kyle Edmund,Adrian Mannarino,grass,1,1,30,40
Kyle Edmund,Adrian Mannarino,grass,1,2,0,0
Kyle Edmund,Adrian Mannarino,grass,2,1,15,0
Kyle Edmund,Adrian Mannarino,grass,2,2,15,15
Kyle Edmund,Adrian Mannarino,grass,2,2,15,30
Kyle Edmund,Adrian Mannarino,grass,2,1,30,30
Kyle Edmund,Adrian Mannarino,grass,2,1,40,30
Kyle Edmund,Adrian Mannarino,grass,2,2,40,40
Kyle Edmund,Adrian Mannarino,grass,2,2,40,AD
Kyle Edmund,Adrian Mannarino,grass,2,2,0,0
Kyle Edmund,Adrian Mannarino,grass,1,2,0,15
Kyle Edmund,Adrian Mannarino,grass,1,2,0,30
Kyle Edmund,Adrian Mannarino,grass,1,1,15,30
Kyle Edmund,Adrian Mannarino,grass,1,2,15,40
Kyle Edmund,Adrian Mannarino,grass,1,2,0,0
Kyle Edmund,Adrian Mannarino,grass,2,2,0,15
Kyle Edmund,Adrian Mannarino,grass,2,1,15,15
Kyle Edmund,Adrian Mannarino,grass,2,1,30,15
Kyle Edmund,Adrian Mannarino,grass,2,2,30,30
Kyle Edmund,Adrian Mannarino,grass,2,1,40,30
Kyle Edmund,Adrian Mannarino,grass,2,1,0,0
Kyle Edmund,Adrian Mannarino,grass,1,2,0,15
Kyle Edmund,Adrian Mannarino,grass,1,1,15,15
Kyle Edmund,Adrian Mannarino,grass,1,2,15,30
Kyle Edmund,Adrian Mannarino,grass,1,2,15,40
Kyle Edmund,Adrian Mannarino,grass,1,2,0,0
Kyle Edmund,Adrian Mannarino,grass,2,2,0,15
Kyle Edmund,Adrian Mannarino,grass,2,1,15,15
Kyle Edmund,Adrian Mannarino,grass,2,2,15,30
Kyle Edmund,Adrian Mannarino,grass,2,2,15,40
Kyle Edmund,Adrian Mannarino,grass,2,2,0,0
Kyle Edmund,Adrian Mannarino,grass,1,2,0,15
Kyle Edmund,Adrian Mannarino,grass,1,2,0,30
Kyle Edmund,Adrian Mannarino,grass,1,1,15,30
Kyle Edmund,Adrian Mannarino,grass,1,2,15,40
Kyle Edmund,Adrian Mannarino,grass,1,2,0,0
Kyle Edmund,Adrian Mannarino,grass,2,1,15,0
Kyle Edmund,Adrian Mannarino,grass,2,2,15,15
Kyle Edmund,Adrian Mannarino,grass,2,2,15,30
Kyle Edmund,Adrian Mannarino,grass,2,2,15,40
Kyle Edmund,Adrian Mannarino,grass,2,1,30,40
Kyle Edmund,Adrian Mannarino,grass,2,2,0,0
Kyle Edmund,Adrian Mannarino,grass,1,1,15,0
Kyle Edmund,Adrian Mannarino,grass,1,2,15,15
Kyle Edmund,Adrian Mannarino,grass,1,1,30,15
Kyle Edmund,Adrian Mannarino,grass,1,1,40,15
Kyle Edmund,Adrian Mannarino,grass,1,2,40,30
Kyle Edmund,Adrian Mannarino,grass,1,1,0,0
Kyle Edmund,Adrian Mannarino,grass,2,2,0,15
Kyle Edmund,Adrian Mannarino,grass,2,2,0,30
Kyle Edmund,Adrian Mannarino,grass,2,1,15,30
Kyle Edmund,Adrian Mannarino,grass,2,2,15,40
Kyle Edmund,Adrian Mannarino,grass,2,2,0,0
Kyle Edmund,Adrian Mannarino,grass,1,1,15,0
Kyle Edmund,Adrian Mannarino,grass,1,1,30,0
Kyle Edmund,Adrian Mannarino,grass,1,1,40,0
Kyle Edmund,Adrian Mannarino,grass,1,2,40,15
Kyle Edmund,Adrian Mannarino,grass,1,1,0,0
Kyle Edmund,Adrian Mannarino,grass,2,2,0,15
Kyle Edmund,Adrian Mannarino,grass,2,1,15,15
Kyle Edmund,Adrian Mannarino,grass,2,1,30,15
Kyle Edmund,Adrian Mannarino,grass,2,2,30,30
Kyle Edmund,Adrian Mannarino,grass,2,2,30,40
Kyle Edmund,Adrian Mannarino,grass,2,2,0,0
Kyle Edmund,Adrian Mannarino,grass,1,1,15,0
Kyle Edmund,Adrian Mannarino,grass,1,2,15,15
Kyle Edmund,Adrian Mannarino,grass,1,1,30,15
Kyle Edmund,Adrian Mannarino,grass,1,1,40,15
Kyle Edmund,Adrian Mannarino,grass,1,1,0,0
Kyle Edmund,Adrian Mannarino,grass,2,1,15,0
Kyle Edmund,Adrian Mannarino,grass,2,2,15,15
Kyle Edmund,Adrian Mannarino,grass,2,1,30,15
Kyle Edmund,Adrian Mannarino,grass,2,2,30,30
Kyle Edmund,Adrian Mannarino,grass,2,1,40,30
Kyle Edmund,Adrian Mannarino,grass,2,2,40,40
Kyle Edmund,Adrian Mannarino,grass,2,2,40,AD
Kyle Edmund,Adrian Mannarino,grass,2,2,0,0
Kyle Edmund,Adrian Mannarino,grass,1,1,15,0
Kyle Edmund,Adrian Mannarino,grass,1,1,30,0
Kyle Edmund,Adrian Mannarino,grass,1,2,30,15
Kyle Edmund,Adrian Mannarino,grass,1,1,40,15
Kyle Edmund,Adrian Mannarino,grass,1,2,40,30
Kyle Edmund,Adrian Mannarino,grass,1,2,40,40
Kyle Edmund,Adrian Mannarino,grass,1,1,AD,40
Kyle Edmund,Adrian Mannarino,grass,1,2,40,40
Kyle Edmund,Adrian Mannarino,grass,1,1,AD,40
Kyle Edmund,Adrian Mannarino,grass,1,2,40,40
Kyle Edmund,Adrian Mannarino,grass,1,1,AD,40
Kyle Edmund,Adrian Mannarino,grass,1,2,40,40
Kyle Edmund,Adrian Mannarino,grass,1,1,AD,40
Kyle Edmund,Adrian Mannarino,grass,1,2,40,40
Kyle Edmund,Adrian Mannarino,grass,1,1,AD,40
Kyle Edmund,Adrian Mannarino,grass,1,1,0,0
Kyle Edmund,Adrian Mannarino,grass,2,2,0,15
Kyle Edmund,Adrian Mannarino,grass,2,2,0,30
Kyle Edmund,Adrian Mannarino,grass,2,1,15,30
Kyle Edmund,Adrian Mannarino,grass,2,1,30,30
Kyle Edmund,Adrian Mannarino,grass,2,1,40,30
Kyle Edmund,Adrian Mannarino,grass,2,1,0,0
Kyle Edmund,Adrian Mannarino,grass,1,2,0,15
Kyle Edmund,Adrian Mannarino,grass,1,1,15,15
Kyle Edmund,Adrian Mannarino,grass,1,1,30,15
Kyle Edmund,Adrian Mannarino,grass,1,1,40,15
Kyle Edmund,Adrian Mannarino,grass,1,2,40,30
Kyle Edmund,Adrian Mannarino,grass,1,2,40,40
Kyle Edmund,Adrian Mannarino,grass,1,2,40,AD
Kyle Edmund,Adrian Mannarino,grass,1,2,0,0
Kyle Edmund,Adrian Mannarino,grass,2,1,15,0
Kyle Edmund,Adrian Mannarino,grass,2,1,30,0
Kyle Edmund,Adrian Mannarino,grass,2,2,30,15
Kyle Edmund,Adrian Mannarino,grass,2,2,30,30
Kyle Edmund,Adrian Mannarino,grass,2,2,30,40
Kyle Edmund,Adrian Mannarino,grass,2,1,40,40
Kyle Edmund,Adrian Mannarino,grass,2,2,40,AD
Kyle Edmund,Adrian Mannarino,grass,2,2,0,0
Kyle Edmund,Adrian Mannarino,grass,1,2,0,15
Kyle Edmund,Adrian Mannarino,grass,1,1,15,15
Kyle Edmund,Adrian Mannarino,grass,1,2,15,30
Kyle Edmund,Adrian Mannarino,grass,1,1,30,30
Kyle Edmund,Adrian Mannarino,grass,1,1,40,30
Kyle Edmund,Adrian Mannarino,grass,1,2,40,40
Kyle Edmund,Adrian Mannarino,grass,1,2,40,AD
Kyle Edmund,Adrian Mannarino,grass,1,1,40,40
Kyle Edmund,Adrian Mannarino,grass,1,2,40,AD
Kyle Edmund,Adrian Mannarino,grass,1,2,0,0
Kyle Edmund,Adrian Mannarino,grass,2,2,0,15
Kyle Edmund,Adrian Mannarino,grass,2,2,0,30
Kyle Edmund,Adrian Mannarino,grass,2,2,0,40
Kyle Edmund,Adrian Mannarino,grass,2,2,0,0
Kyle Edmund,Adrian Mannarino,grass,1,1,15,0
Kyle Edmund,Adrian Mannarino,grass,1,2,15,15
Kyle Edmund,Adrian Mannarino,grass,1,1,30,15
Kyle Edmund,Adrian Mannarino,grass,1,2,30,30
Kyle Edmund,Adrian Mannarino,grass,1,1,40,30
Kyle Edmund,Adrian Mannarino,grass,1,1,0,0
Kyle Edmund,Adrian Mannarino,grass,2,1,15,0
Kyle Edmund,Adrian Mannarino,grass,2,2,15,15
Kyle Edmund,Adrian Mannarino,grass,2,1,30,15
Kyle Edmund,Adrian Mannarino,grass,2,1,40,15
Kyle Edmund,Adrian Mannarino,grass,2,2,40,30
Kyle Edmund,Adrian Mannarino,grass,2,1,0,0
Kyle Edmund,Adrian Mannarino,grass,1,2,0,15
Kyle Edmund,Adrian Mannarino,grass,1,2,0,30
Kyle Edmund,Adrian Mannarino,grass,1,1,15,30
Kyle Edmund,Adrian Mannarino,grass,1,1,30,30
Kyle Edmund,Adrian Mannarino,grass,1,2,30,40
Kyle Edmund,Adrian Mannarino,grass,1,1,40,40
Kyle Edmund,Adrian Mannarino,grass,1,1,AD,40
Kyle Edmund,Adrian Mannarino,grass,1,1,0,0
Kyle Edmund,Adrian Mannarino,grass,2,1,15,0
Kyle Edmund,Adrian Mannarino,grass,2,2,15,15
Kyle Edmund,Adrian Mannarino,grass,2,2,15,30
Kyle Edmund,Adrian Mannarino,grass,2,2,15,40
Kyle Edmund,Adrian Mannarino,grass,2,1,30,40
Kyle Edmund,Adrian Mannarino,grass,2,1,40,40
Kyle Edmund,Adrian Mannarino,grass,2,2,40,AD
