P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score
Joao Sousa,Dustin Brown,grass,2,2,0,30
Joao Sousa,Dustin Brown,grass,2,2,0,40
Joao Sousa,Dustin Brown,grass,2,2,0,0
Joao Sousa,Dustin Brown,grass,1,1,15,0
Joao Sousa,Dustin Brown,grass,1,1,30,0
Joao Sousa,Dustin Brown,grass,1,1,40,0
Joao Sousa,Dustin Brown,grass,1,1,0,0
Joao Sousa,Dustin Brown,grass,2,2,0,15
Joao Sousa,Dustin Brown,grass,2,2,0,30
Joao Sousa,Dustin Brown,grass,2,2,0,40
Joao Sousa,Dustin Brown,grass,2,1,15,40
Joao Sousa,Dustin Brown,grass,2,2,0,0
Joao Sousa,Dustin Brown,grass,1,1,15,0
Joao Sousa,Dustin Brown,grass,1,2,15,15
Joao Sousa,Dustin Brown,grass,1,1,30,15
Joao Sousa,Dustin Brown,grass,1,2,30,30
Joao Sousa,Dustin Brown,grass,1,1,40,30
Joao Sousa,Dustin Brown,grass,1,1,0,0
Joao Sousa,Dustin Brown,grass,2,2,0,15
Joao Sousa,Dustin Brown,grass,2,2,0,30
Joao Sousa,Dustin Brown,grass,2,2,0,40
Joao Sousa,Dustin Brown,grass,2,2,0,0
Joao Sousa,Dustin Brown,grass,1,2,0,15
Joao Sousa,Dustin Brown,grass,1,2,0,30
Joao Sousa,Dustin Brown,grass,1,1,15,30
Joao Sousa,Dustin Brown,grass,1,1,30,30
Joao Sousa,Dustin Brown,grass,1,1,40,30
Joao Sousa,Dustin Brown,grass,1,2,40,40
Joao Sousa,Dustin Brown,grass,1,2,40,AD
Joao Sousa,Dustin Brown,grass,1,2,0,0
Joao Sousa,Dustin Brown,grass,2,2,0,15
Joao Sousa,Dustin Brown,grass,2,2,0,30
Joao Sousa,Dustin Brown,grass,2,2,0,40
Joao Sousa,Dustin Brown,grass,2,2,0,0
Joao Sousa,Dustin Brown,grass,1,1,15,0
Joao Sousa,Dustin Brown,grass,1,2,15,15
Joao Sousa,Dustin Brown,grass,1,2,15,30
Joao Sousa,Dustin Brown,grass,1,1,30,30
Joao Sousa,Dustin Brown,grass,1,2,30,40
Joao Sousa,Dustin Brown,grass,1,1,40,40
Joao Sousa,Dustin Brown,grass,1,1,AD,40
Joao Sousa,Dustin Brown,grass,1,1,0,0
Joao Sousa,Dustin Brown,grass,2,2,0,1
Joao Sousa,Dustin Brown,grass,1,1,1,1
Joao Sousa,Dustin Brown,grass,1,1,2,1
Joao Sousa,Dustin Brown,grass,2,2,2,2
Joao Sousa,Dustin Brown,grass,2,2,2,3
Joao Sousa,Dustin Brown,grass,1,2,2,4
Joao Sousa,Dustin Brown,grass,1,1,3,4
Joao Sousa,Dustin Brown,grass,2,2,3,5
Joao Sousa,Dustin Brown,grass,2,1,4,5
Joao Sousa,Dustin Brown,grass,1,1,5,5
Joao Sousa,Dustin Brown,grass,1,2,5,6
Joao Sousa,Dustin Brown,grass,2,2,0,0
Joao Sousa,Dustin Brown,grass,1,1,15,0
Joao Sousa,Dustin Brown,grass,1,1,30,0
Joao Sousa,Dustin Brown,grass,1,1,40,0
Joao Sousa,Dustin Brown,grass,1,1,0,0
Joao Sousa,Dustin Brown,grass,2,2,0,15
Joao Sousa,Dustin Brown,grass,2,2,0,30
Joao Sousa,Dustin Brown,grass,2,2,0,40
Joao Sousa,Dustin Brown,grass,2,2,0,0
Joao Sousa,Dustin Brown,grass,1,1,15,0
Joao Sousa,Dustin Brown,grass,1,1,30,0
Joao Sousa,Dustin Brown,grass,1,1,40,0
Joao Sousa,Dustin Brown,grass,1,1,0,0
Joao Sousa,Dustin Brown,grass,2,1,15,0
Joao Sousa,Dustin Brown,grass,2,2,15,15
Joao Sousa,Dustin Brown,grass,2,1,30,15
Joao Sousa,Dustin Brown,grass,2,2,30,30
Joao Sousa,Dustin Brown,grass,2,2,30,40
Joao Sousa,Dustin Brown,grass,2,2,0,0
Joao Sousa,Dustin Brown,grass,1,1,15,0
Joao Sousa,Dustin Brown,grass,1,2,15,15
Joao Sousa,Dustin Brown,grass,1,1,30,15
Joao Sousa,Dustin Brown,grass,1,2,30,30
