P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score
Alex Kuznetsov,Lucas Pouille,clay,2,2,30,30
Alex Kuznetsov,Lucas Pouille,clay,2,2,30,40
Alex Kuznetsov,Lucas Pouille,clay,2,1,40,40
Alex Kuznetsov,Lucas Pouille,clay,2,2,40,AD
Alex Kuznetsov,Lucas Pouille,clay,2,2,0,0
Alex Kuznetsov,Lucas Pouille,clay,1,2,0,15
Alex Kuznetsov,Lucas Pouille,clay,1,1,15,15
Alex Kuznetsov,Lucas Pouille,clay,1,2,15,30
Alex Kuznetsov,Lucas Pouille,clay,1,1,30,30
Alex Kuznetsov,Lucas Pouille,clay,1,2,30,40
Alex Kuznetsov,Lucas Pouille,clay,1,1,40,40
Alex Kuznetsov,Lucas Pouille,clay,1,2,40,AD
Alex Kuznetsov,Lucas Pouille,clay,1,1,40,40
Alex Kuznetsov,Lucas Pouille,clay,1,2,40,AD
Alex Kuznetsov,Lucas Pouille,clay,1,2,0,0
Bernard Tomic,Victor Hanescu,clay,2,1,15,0
Bernard Tomic,Victor Hanescu,clay,2,1,30,0
Bernard Tomic,Victor Hanescu,clay,2,1,40,0
Bernard Tomic,Victor Hanescu,clay,2,2,40,15
Bernard Tomic,Victor Hanescu,clay,2,2,40,30
Bernard Tomic,Victor Hanescu,clay,2,2,40,40
Bernard Tomic,Victor Hanescu,clay,2,2,40,AD
Bernard Tomic,Victor Hanescu,clay,2,1,40,40
Bernard Tomic,Victor Hanescu,clay,2,2,40,AD
Bernard Tomic,Victor Hanescu,clay,2,2,0,0
Bernard Tomic,Victor Hanescu,clay,1,1,15,0
Bernard Tomic,Victor Hanescu,clay,1,2,15,15
Bernard Tomic,Victor Hanescu,clay,1,1,30,15
Bernard Tomic,Victor Hanescu,clay,1,1,40,15
Bernard Tomic,Victor Hanescu,clay,1,2,40,30
Bernard Tomic,Victor Hanescu,clay,1,1,0,0
Bernard Tomic,Victor Hanescu,clay,2,2,0,15
Bernard Tomic,Victor Hanescu,clay,2,1,15,15
Bernard Tomic,Victor Hanescu,clay,2,1,30,15
Bernard Tomic,Victor Hanescu,clay,2,2,30,30
Bernard Tomic,Victor Hanescu,clay,2,1,40,30
Bernard Tomic,Victor Hanescu,clay,2,2,40,40
Bernard Tomic,Victor Hanescu,clay,2,1,AD,40
Bernard Tomic,Victor Hanescu,clay,2,1,0,0
Bernard Tomic,Victor Hanescu,clay,1,1,15,0
Bernard Tomic,Victor Hanescu,clay,1,2,15,15
Bernard Tomic,Victor Hanescu,clay,1,1,30,15
Bernard Tomic,Victor Hanescu,clay,1,1,40,15
Bernard Tomic,Victor Hanescu,clay,1,1,0,0
Bernard Tomic,Victor Hanescu,clay,2,1,15,0
Bernard Tomic,Victor Hanescu,clay,2,2,15,15
Bernard Tomic,Victor Hanescu,clay,2,1,30,15
Bernard Tomic,Victor Hanescu,clay,2,2,30,30
Bernard Tomic,Victor Hanescu,clay,2,2,30,40
Bernard Tomic,Victor Hanescu,clay,2,1,40,40
Bernard Tomic,Victor Hanescu,clay,2,2,40,AD
Bernard Tomic,Victor Hanescu,clay,2,2,0,0
Bernard Tomic,Victor Hanescu,clay,1,1,15,0
Bernard Tomic,Victor Hanescu,clay,1,1,30,0
Bernard Tomic,Victor Hanescu,clay,1,2,30,15
Bernard Tomic,Victor Hanescu,clay,1,2,30,30
Bernard Tomic,Victor Hanescu,clay,1,1,40,30
Bernard Tomic,Victor Hanescu,clay,1,1,0,0
Bernard Tomic,Victor Hanescu,clay,2,2,0,15
Bernard Tomic,Victor Hanescu,clay,2,2,0,30
Bernard Tomic,Victor Hanescu,clay,2,2,0,40
Bernard Tomic,Victor Hanescu,clay,2,1,15,40
Bernard Tomic,Victor Hanescu,clay,2,2,0,0
Bernard Tomic,Victor Hanescu,clay,1,2,0,15
Bernard Tomic,Victor Hanescu,clay,1,2,0,30
Bernard Tomic,Victor Hanescu,clay,1,2,0,40
Bernard Tomic,Victor Hanescu,clay,1,2,0,0
Bernard Tomic,Victor Hanescu,clay,2,2,0,15
Bernard Tomic,Victor Hanescu,clay,2,2,0,30
Bernard Tomic,Victor Hanescu,clay,2,2,0,40
Bernard Tomic,Victor Hanescu,clay,2,2,0,0
Bernard Tomic,Victor Hanescu,clay,1,1,15,0
Bernard Tomic,Victor Hanescu,clay,1,1,30,0
Bernard Tomic,Victor Hanescu,clay,1,1,40,0
Bernard Tomic,Victor Hanescu,clay,1,2,40,15
Bernard Tomic,Victor Hanescu,clay,1,1,0,0
Bernard Tomic,Victor Hanescu,clay,2,2,0,15
Bernard Tomic,Victor Hanescu,clay,2,1,15,15
Bernard Tomic,Victor Hanescu,clay,2,2,15,30
Bernard Tomic,Victor Hanescu,clay,2,2,15,40
Bernard Tomic,Victor Hanescu,clay,2,1,30,40
Bernard Tomic,Victor Hanescu,clay,2,2,0,0
Bernard Tomic,Victor Hanescu,clay,1,2,0,15
Bernard Tomic,Victor Hanescu,clay,1,1,15,15
Bernard Tomic,Victor Hanescu,clay,1,2,15,30
Bernard Tomic,Victor Hanescu,clay,1,1,30,30
Bernard Tomic,Victor Hanescu,clay,1,1,40,30
Bernard Tomic,Victor Hanescu,clay,1,2,40,40
Bernard Tomic,Victor Hanescu,clay,1,2,40,AD
Bernard Tomic,Victor Hanescu,clay,1,2,0,0
Bernard Tomic,Victor Hanescu,clay,2,1,15,0
Bernard Tomic,Victor Hanescu,clay,2,1,30,0
Bernard Tomic,Victor Hanescu,clay,2,2,30,15
Bernard Tomic,Victor Hanescu,clay,2,1,40,15
Bernard Tomic,Victor Hanescu,clay,2,2,40,30
Bernard Tomic,Victor Hanescu,clay,2,2,40,40
